Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,12.320912,14.30,14.57,14.03,14.05,AMAT,18615100
2010-01-05,12.226136,14.19,14.38,14.04,14.24,AMAT,15173200
2010-01-06,12.200288,14.16,14.40,14.10,14.23,AMAT,13704800
2010-01-07,12.071048,14.01,14.21,13.96,14.14,AMAT,21543200
2010-01-08,12.536313,14.55,14.59,14.11,14.24,AMAT,41212100
2010-01-11,12.812025,14.87,14.94,14.45,14.84,AMAT,33667800
2010-01-12,12.234752,14.20,14.77,14.03,14.76,AMAT,40350900
2010-01-13,12.295064,14.27,14.42,13.92,14.29,AMAT,25137300
2010-01-14,12.363993,14.35,14.38,14.02,14.22,AMAT,26920500
2010-01-15,11.829798,13.73,14.34,13.67,14.16,AMAT,36020100
2010-01-19,12.036584,13.97,14.02,13.75,13.77,AMAT,14620900
2010-01-20,11.890111,13.80,13.89,13.65,13.83,AMAT,19220200
2010-01-21,11.700558,13.58,14.09,13.52,13.86,AMAT,25265000
2010-01-22,10.882036,12.63,13.39,12.61,13.35,AMAT,48104300
2010-01-25,10.890653,12.64,12.94,12.59,12.66,AMAT,39765000
2010-01-26,10.899268,12.65,13.01,12.64,12.72,AMAT,36897100
2010-01-27,11.235293,13.04,13.07,12.69,12.75,AMAT,30448800
2010-01-28,10.864804,12.61,13.09,12.35,13.08,AMAT,35016600
2010-01-29,10.494316,12.18,12.85,12.15,12.78,AMAT,25601600
2010-02-01,10.787261,12.52,12.56,12.23,12.34,AMAT,20227300
2010-02-02,10.778644,12.51,12.59,12.35,12.59,AMAT,21525000
2010-02-03,10.580475,12.28,12.48,12.12,12.35,AMAT,36170300
2010-02-04,10.166907,11.80,12.22,11.66,12.22,AMAT,40737400
2010-02-05,10.537395,12.23,12.27,11.68,11.80,AMAT,43781500
2010-02-08,10.399539,12.07,12.33,12.03,12.25,AMAT,17976400
2010-02-09,10.468467,12.15,12.40,12.04,12.24,AMAT,21123700
2010-02-10,10.537395,12.23,12.32,12.10,12.20,AMAT,17213400
2010-02-11,10.74418,12.47,12.53,12.06,12.22,AMAT,18388100
2010-02-12,10.74418,12.47,12.72,12.15,12.30,AMAT,23748600
2010-02-16,11.157749,12.95,12.97,12.56,12.67,AMAT,21663600
2010-02-17,11.192213,12.99,13.15,12.75,13.09,AMAT,25202600
2010-02-18,10.925117,12.68,12.79,12.31,12.78,AMAT,45212200
2010-02-19,10.770028,12.50,12.64,12.35,12.62,AMAT,29090400
2010-02-22,10.778686,12.45,12.59,12.39,12.53,AMAT,22697700
2010-02-23,10.397753,12.01,12.48,11.94,12.45,AMAT,30237000
2010-02-24,10.62285,12.27,12.42,12.05,12.08,AMAT,25624000
2010-02-25,10.579562,12.22,12.25,11.94,12.07,AMAT,21748200
2010-02-26,10.596877,12.24,12.30,12.03,12.27,AMAT,15882200
2010-03-01,10.821974,12.50,12.50,12.29,12.30,AMAT,16465100
2010-03-02,10.752714,12.42,12.64,12.35,12.55,AMAT,22421700
2010-03-03,10.726741,12.39,12.55,12.34,12.45,AMAT,17029600
2010-03-04,10.614193,12.26,12.48,12.09,12.40,AMAT,27418900
2010-03-05,10.640165,12.29,12.43,12.23,12.33,AMAT,23992500
2010-03-08,10.700768,12.36,12.53,12.31,12.52,AMAT,29715700
2010-03-09,10.640165,12.29,12.42,12.24,12.30,AMAT,24562200
2010-03-10,10.847947,12.53,12.55,12.26,12.29,AMAT,35119100
2010-03-11,10.744056,12.41,12.52,12.28,12.50,AMAT,30593800
2010-03-12,10.700768,12.36,12.55,12.30,12.55,AMAT,25069900
2010-03-15,10.588219,12.23,12.33,12.12,12.33,AMAT,23660300
2010-03-16,10.778686,12.45,12.49,12.20,12.23,AMAT,29795900
2010-03-17,10.960495,12.66,12.69,12.45,12.50,AMAT,27773300
2010-03-18,10.934523,12.63,12.77,12.53,12.67,AMAT,18686400
2010-03-19,10.813316,12.49,12.71,12.37,12.67,AMAT,24762900
2010-03-22,11.064386,12.78,12.82,12.39,12.44,AMAT,26257100
2010-03-23,11.462635,13.24,13.32,12.80,12.82,AMAT,39649700
2010-03-24,11.254853,13.00,13.23,12.91,13.18,AMAT,34127100
2010-03-25,11.393374,13.16,13.38,13.09,13.10,AMAT,38278400
2010-03-26,11.436662,13.21,13.45,13.01,13.28,AMAT,30090900
2010-03-29,11.523239,13.31,13.45,13.22,13.28,AMAT,27827600
2010-03-30,11.644444,13.45,13.60,13.23,13.38,AMAT,39364900
2010-03-31,11.66176,13.47,13.75,13.43,13.44,AMAT,40814400
2010-04-01,11.557869,13.35,13.73,13.27,13.63,AMAT,37110700
2010-04-05,11.705048,13.52,13.61,13.37,13.42,AMAT,29330500
2010-04-06,11.670417,13.48,13.56,13.39,13.43,AMAT,16452500
2010-04-07,11.756993,13.58,13.71,13.37,13.47,AMAT,20870600
2010-04-08,11.549211,13.34,13.50,13.30,13.50,AMAT,29173200
2010-04-09,11.66176,13.47,13.47,13.31,13.36,AMAT,15446100
2010-04-12,11.800281,13.63,13.74,13.42,13.50,AMAT,24211600
2010-04-13,11.94746,13.80,13.84,13.56,13.60,AMAT,28384400
2010-04-14,12.475572,14.41,14.50,14.00,14.04,AMAT,45410300
2010-04-15,12.414969,14.34,14.49,14.26,14.45,AMAT,22965700
2010-04-16,12.432284,14.36,14.45,14.18,14.27,AMAT,33765600
2010-04-19,12.380339,14.30,14.39,13.99,14.26,AMAT,25694500
2010-04-20,12.51886,14.46,14.46,14.23,14.37,AMAT,18477900
2010-04-21,12.492887,14.43,14.50,14.12,14.47,AMAT,19225700
2010-04-22,12.440942,14.37,14.41,13.97,14.22,AMAT,33118300
2010-04-23,12.527518,14.47,14.48,14.18,14.37,AMAT,23701600
2010-04-26,12.432284,14.36,14.57,14.30,14.45,AMAT,17270800
2010-04-27,12.060008,13.93,14.39,13.90,14.31,AMAT,30107900
2010-04-28,12.163899,14.05,14.16,13.85,14.02,AMAT,23997800
2010-04-29,12.345708,14.26,14.28,14.01,14.10,AMAT,20898500
2010-04-30,11.930144,13.78,14.31,13.76,14.31,AMAT,25896300
