Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,11.996437,12.88,12.91,12.43,12.43,AUO,3935600
2010-01-05,11.903296,12.78,12.80,12.60,12.60,AUO,6568000
2010-01-06,12.28517,13.19,13.26,13.05,13.14,AUO,4198500
2010-01-07,12.219973,13.12,13.19,12.86,12.95,AUO,3316000
2010-01-08,12.341055,13.25,13.30,12.96,13.07,AUO,3069000
2010-01-11,12.164089,13.06,13.17,12.96,13.07,AUO,3820400
2010-01-12,11.959181,12.84,13.04,12.78,12.80,AUO,2339100
2010-01-13,11.707702,12.57,12.70,12.48,12.59,AUO,3857700
2010-01-14,11.912611,12.79,12.88,12.72,12.74,AUO,3708700
2010-01-15,11.707702,12.57,12.88,12.49,12.80,AUO,5787300
2010-01-19,11.493481,12.34,12.44,12.12,12.44,AUO,5618300
2010-01-20,11.316514,12.15,12.25,12.01,12.19,AUO,3805800
2010-01-21,11.018466,11.83,12.10,11.78,11.98,AUO,4104900
2010-01-22,10.88807,11.69,11.96,11.69,11.85,AUO,3321900
2010-01-25,11.102292,11.92,12.10,11.80,11.80,AUO,3683400
2010-01-26,10.683162,11.47,11.68,11.41,11.68,AUO,3859500
2010-01-27,10.74836,11.54,11.56,11.35,11.55,AUO,1970800
2010-01-28,10.860128,11.66,11.85,11.57,11.81,AUO,3830100
2010-01-29,10.18952,10.94,11.32,10.88,11.26,AUO,5079200
2010-02-01,10.23609,10.99,10.99,10.81,10.81,AUO,4443300
2010-02-02,10.245404,11.00,11.04,10.80,10.96,AUO,2698700
2010-02-03,10.3758,11.14,11.21,11.00,11.03,AUO,2936000
2010-02-04,9.9101,10.64,11.03,10.63,11.03,AUO,3324600
2010-02-05,9.81696,10.54,10.69,10.29,10.69,AUO,2660100
2010-02-08,10.087066,10.83,11.24,10.70,10.88,AUO,2586400
2010-02-09,10.459626,11.23,11.46,11.09,11.36,AUO,4526800
2010-02-10,10.403742,11.17,11.30,10.98,11.30,AUO,1413200
2010-02-11,10.571394,11.35,11.38,11.01,11.17,AUO,2143100
2010-02-12,10.46894,11.24,11.32,11.01,11.29,AUO,2239200
2010-02-16,10.580708,11.36,11.42,11.33,11.39,AUO,1028800
2010-02-17,10.74836,11.54,11.61,11.44,11.46,AUO,1239800
2010-02-18,10.720418,11.51,11.55,11.41,11.51,AUO,1278900
2010-02-19,10.711104,11.50,11.58,11.27,11.46,AUO,3100700
2010-02-22,10.245404,11.00,11.25,10.91,11.23,AUO,3463800
2010-02-23,9.705192,10.42,10.65,10.37,10.61,AUO,6982200
2010-02-24,9.891472,10.62,10.81,10.39,10.73,AUO,3248900
