Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,17.321882,18.860001,18.90,18.01,18.299999,AVGO,538700
2010-01-05,17.450464,19.00,19.24,18.10,18.950001,AVGO,301100
2010-01-06,17.58823,19.15,19.299999,18.59,18.950001,AVGO,533100
2010-01-07,17.478018,19.030001,19.17,18.65,19.040001,AVGO,271800
2010-01-08,17.6066,19.17,19.299999,18.85,18.90,AVGO,289900
2010-01-11,17.716814,19.290001,19.549999,19.030001,19.200001,AVGO,512700
2010-01-12,17.450464,19.00,19.139999,18.74,19.139999,AVGO,916700
2010-01-13,16.917766,18.42,18.959999,18.25,18.959999,AVGO,943900
2010-01-14,16.92695,18.43,18.870001,18.15,18.48,AVGO,1065400
2010-01-15,16.752445,18.24,18.559999,18.15,18.559999,AVGO,158700
2010-01-19,16.357513,17.809999,18.15,17.299999,17.90,AVGO,381300
2010-01-20,16.49528,17.959999,18.01,17.440001,17.709999,AVGO,193800
2010-01-21,16.522834,17.99,18.49,17.790001,17.870001,AVGO,338600
2010-01-22,16.127902,17.559999,18.059999,17.379999,17.879999,AVGO,923500
2010-01-25,16.210562,17.65,17.799999,17.459999,17.67,AVGO,261400
2010-01-26,16.311592,17.76,18.00,16.84,17.030001,AVGO,765400
2010-01-27,15.990135,17.41,17.950001,17.25,17.639999,AVGO,696300
2010-01-28,16.274853,17.719999,17.74,17.25,17.549999,AVGO,14457600
2010-01-29,15.962581,17.379999,17.860001,17.25,17.719999,AVGO,3357000
2010-02-01,16.072796,17.50,17.690001,17.290001,17.379999,AVGO,509500
2010-02-02,16.256485,17.700001,17.799999,17.35,17.51,AVGO,1772900
2010-02-03,16.18301,17.620001,17.690001,17.48,17.540001,AVGO,1285700
2010-02-04,15.81563,17.219999,17.58,17.059999,17.379999,AVGO,1376700
2010-02-05,15.797263,17.200001,17.32,16.60,17.25,AVGO,538700
2010-02-08,15.622758,17.01,17.290001,16.870001,17.08,AVGO,498300
2010-02-09,15.604388,16.99,17.379999,16.82,17.040001,AVGO,189600
2010-02-10,15.429883,16.799999,16.940001,16.51,16.860001,AVGO,578000
2010-02-11,15.73297,17.129999,17.25,16.50,16.76,AVGO,370000
2010-02-12,15.944214,17.360001,17.389999,16.790001,16.98,AVGO,163200
2010-02-16,16.054426,17.48,17.51,17.27,17.40,AVGO,422700
2010-02-17,15.990135,17.41,17.60,17.17,17.60,AVGO,507700
2010-02-18,16.026874,17.450001,17.50,17.299999,17.469999,AVGO,461900
2010-02-19,16.10035,17.530001,17.620001,17.360001,17.50,AVGO,374600
2010-02-22,15.935029,17.35,17.59,17.23,17.50,AVGO,846500
2010-02-23,15.962581,17.379999,17.49,17.129999,17.35,AVGO,1820200
2010-02-24,16.293222,17.74,17.870001,17.41,17.50,AVGO,852300
2010-02-25,16.614679,18.09,18.389999,17.690001,18.00,AVGO,2319700
2010-02-26,16.669785,18.15,18.190001,17.959999,18.049999,AVGO,280700
2010-03-01,16.807551,18.299999,18.799999,18.120001,18.700001,AVGO,872200
2010-03-02,17.193299,18.719999,18.74,18.190001,18.190001,AVGO,981000
2010-03-03,17.367804,18.91,19.940001,18.75,18.75,AVGO,1063400
2010-03-04,17.50557,19.059999,19.24,18.50,19.01,AVGO,396600
2010-03-05,17.781105,19.360001,19.66,19.049999,19.049999,AVGO,376700
2010-03-08,17.735181,19.309999,19.52,19.09,19.48,AVGO,222000
2010-03-09,17.77192,19.35,20.00,19.15,19.440001,AVGO,922700
2010-03-10,18.130113,19.74,19.98,19.360001,19.459999,AVGO,544900
2010-03-11,18.240328,19.860001,19.969999,19.790001,19.790001,AVGO,394700
2010-03-12,18.047453,19.65,20.00,19.440001,19.90,AVGO,498400
2010-03-15,17.836211,19.42,19.559999,19.030001,19.559999,AVGO,179200
2010-03-16,17.909687,19.50,19.68,19.16,19.42,AVGO,162300
2010-03-17,18.26788,19.889999,19.99,19.559999,19.59,AVGO,309400
2010-03-18,18.35054,19.98,20.00,19.48,19.940001,AVGO,211200
2010-03-19,18.469939,20.110001,20.280001,19.690001,20.110001,AVGO,636500
2010-03-22,18.313803,19.940001,20.15,19.700001,19.870001,AVGO,473400
2010-03-23,18.570967,20.219999,20.299999,19.950001,19.98,AVGO,281900
2010-03-24,18.019901,19.620001,20.200001,19.57,20.200001,AVGO,153500
2010-03-25,18.047453,19.65,19.75,19.309999,19.75,AVGO,583500
2010-03-26,18.286249,19.91,20.200001,19.66,19.66,AVGO,525000
2010-03-29,18.570967,20.219999,20.40,19.940001,20.09,AVGO,296100
2010-03-30,18.717918,20.379999,20.51,19.959999,20.280001,AVGO,353900
2010-03-31,18.883238,20.559999,20.68,20.17,20.389999,AVGO,662000
2010-04-01,18.828132,20.50,20.799999,20.09,20.690001,AVGO,324600
2010-04-05,18.607705,20.26,20.700001,19.790001,20.690001,AVGO,612000
2010-04-06,18.993453,20.68,20.83,20.00,20.049999,AVGO,235800
2010-04-07,18.809763,20.48,20.74,20.40,20.58,AVGO,144600
2010-04-08,18.460754,20.10,20.48,20.08,20.48,AVGO,140200
2010-04-09,18.378094,20.01,20.139999,19.83,20.10,AVGO,198300
2010-04-12,18.387279,20.02,20.15,19.67,19.92,AVGO,286700
2010-04-13,18.506676,20.15,20.24,19.75,19.860001,AVGO,236700
2010-04-14,19.792499,21.549999,21.559999,20.50,20.629999,AVGO,478300
2010-04-15,20.169062,21.959999,22.00,21.60,21.60,AVGO,614800
2010-04-16,20.095586,21.879999,21.98,21.67,21.969999,AVGO,343900
2010-04-19,20.113955,21.90,22.040001,21.299999,21.68,AVGO,486700
2010-04-20,20.545626,22.370001,22.879999,22.18,22.469999,AVGO,850600
2010-04-21,20.058849,21.84,22.83,21.459999,22.50,AVGO,540200
2010-04-22,19.774132,21.530001,21.860001,20.969999,21.84,AVGO,644100
2010-04-23,19.737393,21.49,21.620001,21.08,21.43,AVGO,188600
2010-04-26,20.012928,21.790001,22.030001,21.299999,21.35,AVGO,255000
2010-04-27,19.287355,21.00,21.860001,20.82,21.860001,AVGO,250600
2010-04-28,19.296539,21.01,21.290001,20.68,21.18,AVGO,313900
2010-04-29,19.654733,21.40,21.799999,21.33,21.33,AVGO,318500
2010-04-30,18.837317,20.51,21.690001,20.49,21.57,AVGO,360300
2010-05-03,19.397569,21.120001,21.469999,20.389999,20.65,AVGO,423900
2010-05-04,18.414831,20.049999,20.969999,19.92,20.969999,AVGO,554000
2010-05-05,17.992347,19.59,20.059999,19.200001,19.940001,AVGO,626600
2010-05-06,17.634154,19.200001,19.58,18.549999,19.57,AVGO,915500
2010-05-07,17.716814,19.290001,19.50,18.379999,19.24,AVGO,602500
2010-05-10,19.048559,20.74,20.91,20.00,20.00,AVGO,894400
2010-05-11,18.975083,20.66,20.799999,20.17,20.33,AVGO,217400
2010-05-12,19.030189,20.719999,20.92,20.50,20.559999,AVGO,353300
2010-05-13,18.791393,20.459999,20.83,20.32,20.83,AVGO,291900
2010-05-14,18.580151,20.23,20.49,19.719999,20.41,AVGO,504900
2010-05-17,18.846501,20.52,20.52,19.92,20.25,AVGO,292900
2010-05-18,18.442385,20.08,20.879999,19.940001,20.60,AVGO,338400
2010-05-19,18.387279,20.02,20.280001,18.93,19.84,AVGO,579000
2010-05-20,18.460754,20.10,20.299999,19.440001,19.77,AVGO,1112300
2010-05-21,18.194404,19.809999,20.25,19.540001,19.90,AVGO,823300
2010-05-24,17.808657,19.389999,20.00,19.309999,19.75,AVGO,480200
2010-05-25,17.661706,19.23,19.34,18.52,19.00,AVGO,680400
2010-05-26,18.387279,20.02,20.42,19.48,19.559999,AVGO,946200
2010-05-27,19.599626,21.34,21.549999,20.290001,20.370001,AVGO,1065700
2010-05-28,18.965899,20.65,21.49,20.299999,21.43,AVGO,795500
2010-06-01,18.727103,20.389999,20.99,20.34,20.66,AVGO,456100
2010-06-02,19.388384,21.110001,21.110001,20.34,20.34,AVGO,861800
2010-06-03,19.893529,21.66,22.00,21.059999,21.059999,AVGO,646300
2010-06-04,19.11285,20.809999,21.440001,20.58,21.40,AVGO,315700
2010-06-07,19.076113,20.77,21.10,20.549999,20.879999,AVGO,735300
2010-06-08,19.370015,21.09,21.10,20.620001,20.940001,AVGO,1192400
2010-06-09,19.351646,21.07,21.90,20.959999,21.25,AVGO,802500
2010-06-10,20.022111,21.799999,21.969999,21.49,21.50,AVGO,1009900
2010-06-11,20.141509,21.93,21.98,21.43,21.50,AVGO,792900
2010-06-14,19.755762,21.51,22.16,21.309999,22.15,AVGO,1340900
2010-06-15,20.435412,22.25,22.700001,21.57,21.75,AVGO,1208200
2010-06-16,21.014032,22.879999,23.49,22.049999,22.219999,AVGO,2692300
2010-06-17,21.445702,23.35,23.690001,23.030001,23.290001,AVGO,2053600
2010-06-18,21.160984,23.040001,23.530001,22.809999,23.290001,AVGO,1272000
2010-06-21,21.115061,22.99,23.40,22.379999,23.389999,AVGO,711100
2010-06-22,20.444596,22.26,23.040001,22.10,22.889999,AVGO,1200800
2010-06-23,20.701762,22.540001,22.700001,21.51,22.50,AVGO,1144100
2010-06-24,19.507782,21.24,22.68,20.73,22.65,AVGO,1777100
2010-06-25,19.719024,21.469999,22.07,21.129999,21.440001,AVGO,9588300
2010-06-28,19.976189,21.75,21.860001,20.52,21.540001,AVGO,966300
2010-06-29,19.259801,20.969999,21.290001,20.360001,21.280001,AVGO,1327400
2010-06-30,19.342461,21.059999,21.309999,20.67,20.889999,AVGO,1344400
2010-07-01,19.663917,21.41,21.549999,20.68,21.32,AVGO,1150300
2010-07-02,19.810868,21.57,21.690001,21.27,21.48,AVGO,553400
2010-07-06,19.167958,20.870001,22.209999,20.75,21.809999,AVGO,1058800
2010-07-07,19.902713,21.67,21.690001,20.50,20.75,AVGO,949300
2010-07-08,20.012928,21.790001,22.00,21.35,21.76,AVGO,291400
2010-07-09,20.214985,22.01,22.01,21.50,21.74,AVGO,325500
2010-07-12,20.297645,22.10,22.379999,21.450001,21.85,AVGO,499500
2010-07-13,20.646654,22.48,22.50,22.139999,22.309999,AVGO,658900
2010-07-14,20.47215,22.290001,22.860001,22.219999,22.50,AVGO,538400
2010-07-15,21.041586,22.91,23.00,21.91,22.25,AVGO,835500
2010-07-16,20.196616,21.99,22.950001,21.98,22.690001,AVGO,659900
2010-07-19,20.453781,22.27,22.370001,21.780001,22.049999,AVGO,526200
2010-07-20,20.2058,22.00,22.09,21.60,22.030001,AVGO,712200
2010-07-21,19.994558,21.77,22.360001,21.719999,22.17,AVGO,503600
2010-07-22,20.986479,22.85,22.940001,21.889999,22.030001,AVGO,839700
2010-07-23,21.014032,22.879999,23.129999,22.50,22.90,AVGO,631700
2010-07-26,20.940556,22.799999,22.950001,21.91,22.889999,AVGO,689200
2010-07-27,20.591547,22.42,23.059999,22.23,22.85,AVGO,972000
2010-07-28,20.022111,21.799999,22.549999,21.77,22.379999,AVGO,355000
2010-07-29,19.994558,21.77,21.99,21.360001,21.91,AVGO,510300
2010-07-30,19.985374,21.76,21.91,21.09,21.58,AVGO,277500
2010-08-02,20.049664,21.83,22.799999,21.60,21.98,AVGO,1010500
2010-08-03,19.838422,21.60,21.90,21.370001,21.719999,AVGO,417600
2010-08-04,20.518072,22.34,22.450001,21.25,21.690001,AVGO,616800
2010-08-05,20.88545,22.74,22.75,22.110001,22.110001,AVGO,463900
2010-08-06,20.747683,22.59,22.73,22.389999,22.559999,AVGO,271600
2010-08-09,21.032401,22.90,22.93,22.48,22.68,AVGO,226700
2010-08-10,20.481333,22.299999,22.82,22.200001,22.58,AVGO,372200
2010-08-11,18.580151,20.23,20.75,19.280001,20.540001,AVGO,2330000
2010-08-12,18.745472,20.41,20.889999,20.200001,20.450001,AVGO,1832400
2010-08-13,18.359725,19.99,20.549999,19.950001,20.379999,AVGO,3957800
2010-08-16,18.61689,20.27,20.299999,19.709999,19.99,AVGO,1485800
2010-08-17,18.708735,20.370001,20.709999,20.290001,20.389999,AVGO,774900
2010-08-18,19.057743,20.75,20.82,20.09,20.32,AVGO,833900
2010-08-19,18.837317,20.51,20.85,20.379999,20.67,AVGO,589100
2010-08-20,18.763841,20.43,20.549999,20.290001,20.290001,AVGO,415800
2010-08-23,18.736287,20.40,20.57,20.219999,20.440001,AVGO,577200
2010-08-24,18.589336,20.24,20.48,19.950001,20.00,AVGO,1092600
2010-08-25,18.635259,20.290001,20.42,19.709999,20.25,AVGO,1122100
2010-08-26,18.919977,20.60,21.02,20.26,20.52,AVGO,776900
2010-08-27,18.653627,20.309999,20.65,20.01,20.620001,AVGO,1051800
2010-08-30,18.368909,20.00,20.360001,19.93,20.209999,AVGO,590400
2010-08-31,18.506676,20.15,20.25,19.700001,19.799999,AVGO,633900
2010-09-01,19.287355,21.00,21.360001,20.16,20.299999,AVGO,1109500
2010-09-02,19.333276,21.049999,21.24,20.83,21.209999,AVGO,304700
2010-09-03,19.268985,20.98,21.209999,20.73,21.17,AVGO,524000
2010-09-07,18.901608,20.58,20.99,20.469999,20.790001,AVGO,439300
2010-09-08,18.442385,20.08,20.690001,19.790001,20.559999,AVGO,1060400
2010-09-09,18.065822,19.67,20.299999,19.49,20.129999,AVGO,1550000
2010-09-10,17.129008,18.65,19.65,18.41,19.540001,AVGO,2553700
2010-09-13,17.404542,18.950001,19.07,18.76,18.77,AVGO,1164100
2010-09-14,18.277064,19.90,20.18,18.610001,18.83,AVGO,1211500
2010-09-15,17.551493,19.110001,20.110001,18.91,19.799999,AVGO,1106400
2010-09-16,17.680075,19.25,19.65,19.00,19.01,AVGO,857600
2010-09-17,18.405648,20.040001,20.32,19.299999,19.40,AVGO,1540800
2010-09-20,18.947529,20.629999,20.98,19.790001,20.139999,AVGO,1249800
2010-09-21,19.076113,20.77,21.92,20.43,20.75,AVGO,971900
2010-09-22,19.066928,20.76,21.450001,20.700001,20.799999,AVGO,1423800
2010-09-23,19.590442,21.33,21.65,20.219999,20.65,AVGO,1033700
2010-09-24,19.820053,21.58,21.780001,21.32,21.379999,AVGO,793400
2010-09-27,20.159879,21.950001,22.110001,21.73,21.98,AVGO,666300
2010-09-28,20.481333,22.299999,22.42,21.809999,22.10,AVGO,654700
2010-09-29,20.508887,22.33,22.50,22.120001,22.299999,AVGO,388000
2010-09-30,20.674208,22.51,23.00,22.34,22.379999,AVGO,1046400
2010-10-01,20.78442,22.629999,22.66,22.35,22.620001,AVGO,633000
2010-10-04,20.490518,22.309999,22.629999,21.92,22.60,AVGO,785600
2010-10-05,20.619101,22.450001,22.620001,22.25,22.440001,AVGO,409900
2010-10-06,20.462966,22.280001,22.690001,21.84,22.42,AVGO,1026300
2010-10-07,21.014032,22.879999,22.969999,22.26,22.34,AVGO,815800
2010-10-08,20.38949,22.200001,22.709999,22.049999,22.65,AVGO,1114400
2010-10-11,20.518072,22.34,22.459999,22.07,22.26,AVGO,387600
2010-10-12,20.22417,22.02,22.389999,21.74,22.389999,AVGO,855000
2010-10-13,20.2058,22.00,22.24,21.540001,22.209999,AVGO,949000
2010-10-14,20.591547,22.42,22.50,21.790001,22.030001,AVGO,848800
2010-10-15,20.839528,22.690001,22.719999,21.91,22.549999,AVGO,865000
2010-10-18,20.88545,22.74,22.780001,22.41,22.76,AVGO,462600
2010-10-19,20.563993,22.389999,22.719999,22.10,22.370001,AVGO,521700
2010-10-20,20.297645,22.10,22.65,22.08,22.540001,AVGO,306100
2010-10-21,20.159879,21.950001,22.209999,21.90,22.200001,AVGO,346700
2010-10-22,20.646654,22.48,22.49,21.950001,22.00,AVGO,524400
2010-10-25,20.995664,22.860001,23.120001,22.41,22.50,AVGO,647500
2010-10-26,21.509993,23.42,23.48,22.639999,22.799999,AVGO,1478700
2010-10-27,21.767158,23.700001,23.75,23.190001,23.41,AVGO,1125100
2010-10-28,21.519178,23.43,24.049999,23.09,23.959999,AVGO,1351800
2010-10-29,22.667234,24.68,24.950001,23.360001,23.51,AVGO,1360700
2010-11-01,21.886555,23.83,24.73,23.77,24.50,AVGO,857500
2010-11-02,22.116167,24.08,24.440001,23.870001,24.10,AVGO,404000
2010-11-03,22.667234,24.68,24.77,23.959999,24.120001,AVGO,584900
2010-11-04,23.227487,25.290001,25.370001,24.67,24.959999,AVGO,983100
2010-11-05,23.300962,25.370001,25.700001,25.15,25.360001,AVGO,629500
2010-11-08,23.190748,25.25,25.58,24.93,25.15,AVGO,374400
2010-11-09,22.805001,24.83,25.450001,24.780001,25.33,AVGO,407900
2010-11-10,22.602944,24.610001,24.93,24.379999,24.85,AVGO,268000
2010-11-11,22.82337,24.85,25.10,23.85,24.40,AVGO,1211800
2010-11-12,23.622417,25.719999,25.809999,24.559999,24.809999,AVGO,1007500
2010-11-15,23.117272,25.17,25.959999,25.08,25.950001,AVGO,498700
2010-11-16,22.869292,24.90,25.07,24.42,25.02,AVGO,569700
2010-11-17,22.593759,24.60,25.200001,24.50,24.870001,AVGO,637800
2010-11-18,23.025428,25.07,25.16,24.68,24.77,AVGO,664000
2010-11-19,23.209117,25.27,25.33,24.84,24.93,AVGO,345400
2010-11-22,23.888767,26.01,26.01,25.33,25.33,AVGO,907800
2010-11-23,23.861213,25.98,26.059999,25.66,25.90,AVGO,645400
2010-11-24,24.155115,26.299999,26.40,26.07,26.120001,AVGO,823900
2010-11-26,24.807212,27.01,27.049999,26.17,26.25,AVGO,626800
2010-11-29,24.724552,26.92,27.10,26.360001,27.07,AVGO,1020500
2010-11-30,23.980612,26.110001,27.25,26.09,26.92,AVGO,5435500
2010-12-01,24.669446,26.860001,27.00,26.290001,26.48,AVGO,1652200
2010-12-02,26.093036,28.41,28.48,26.83,26.959999,AVGO,1906000
2010-12-03,24.384726,26.549999,28.00,26.450001,28.00,AVGO,2627900
2010-12-06,24.660261,26.85,26.889999,26.290001,26.85,AVGO,897100
2010-12-07,22.832555,24.860001,25.290001,24.48,24.76,AVGO,11738100
2010-12-08,23.328515,25.40,25.74,24.860001,24.99,AVGO,4907700
2010-12-09,24.256145,26.41,26.51,25.57,25.74,AVGO,3405100
2010-12-10,24.24696,26.40,26.700001,26.16,26.700001,AVGO,1405200
2010-12-13,24.477183,26.58,26.700001,26.35,26.60,AVGO,1217700
2010-12-14,24.210126,26.290001,26.75,25.969999,26.65,AVGO,946000
2010-12-15,24.311423,26.40,26.870001,25.91,26.299999,AVGO,1800500
2010-12-16,25.453323,27.639999,27.65,26.42,26.60,AVGO,2442500
2010-12-17,25.941393,28.17,28.40,27.530001,27.719999,AVGO,3640100
2010-12-20,25.609873,27.809999,28.440001,27.700001,27.889999,AVGO,1460200
2010-12-21,25.674335,27.879999,28.09,27.67,27.950001,AVGO,1495000
2010-12-22,25.913766,28.139999,28.190001,27.389999,27.950001,AVGO,960000
2010-12-23,25.904557,28.129999,28.459999,27.91,28.129999,AVGO,588500
2010-12-27,26.484717,28.76,28.940001,27.82,28.10,AVGO,1331100
2010-12-28,26.061108,28.299999,28.799999,28.219999,28.77,AVGO,583600
2010-12-29,26.365001,28.629999,28.67,28.15,28.450001,AVGO,629600
2010-12-30,26.595222,28.879999,28.93,28.35,28.639999,AVGO,681500
2010-12-31,26.162406,28.41,28.90,28.290001,28.90,AVGO,617700
2011-01-03,25.600664,27.799999,28.700001,27.68,28.700001,AVGO,1443600
2011-01-04,25.784842,28.00,28.299999,26.969999,27.799999,AVGO,1626200
2011-01-05,25.775633,27.99,28.17,27.75,27.85,AVGO,953700
2011-01-06,26.263704,28.52,28.530001,27.77,28.040001,AVGO,959800
2011-01-07,26.042692,28.280001,28.51,27.780001,28.469999,AVGO,877400
2011-01-10,26.613641,28.90,29.10,27.93,28.26,AVGO,1538500
2011-01-11,26.926742,29.24,29.26,28.84,29.139999,AVGO,1354900
2011-01-12,25.941393,28.17,29.33,28.02,29.280001,AVGO,1559900
2011-01-13,26.107153,28.35,28.66,28.02,28.40,AVGO,964500
2011-01-14,26.714939,29.01,29.059999,28.00,28.34,AVGO,977600
2011-01-18,25.554621,27.75,27.889999,27.23,27.65,AVGO,10018200
2011-01-19,25.56383,27.76,28.50,27.51,28.00,AVGO,2979500
2011-01-20,25.508577,27.700001,27.82,27.280001,27.690001,AVGO,2096300
2011-01-21,25.573039,27.77,28.17,27.66,27.99,AVGO,1249000
2011-01-24,25.867722,28.09,28.219999,27.58,28.219999,AVGO,2149500
2011-01-25,25.803261,28.02,28.15,27.40,28.15,AVGO,1454800
2011-01-26,26.015064,28.25,28.379999,27.799999,28.129999,AVGO,1520900
2011-01-27,26.908324,29.219999,29.440001,28.42,28.42,AVGO,3730200
2011-01-28,25.830886,28.049999,29.360001,27.870001,29.299999,AVGO,1372200
2011-01-31,26.438672,28.709999,28.879999,27.950001,28.040001,AVGO,1310400
2011-02-01,26.770192,29.07,29.50,28.76,28.92,AVGO,1583500
2011-02-02,26.521552,28.799999,29.40,28.700001,29.02,AVGO,1130000
2011-02-03,27.083293,29.41,29.58,28.60,28.780001,AVGO,1232600
2011-02-04,28.731682,31.200001,31.219999,29.719999,29.790001,AVGO,2550000
2011-02-07,28.354119,30.790001,31.48,30.559999,31.17,AVGO,976200
2011-02-08,29.385511,31.91,32.25,31.00,31.40,AVGO,3468400
2011-02-09,30.177475,32.77,32.950001,31.75,31.93,AVGO,4291600
2011-02-10,29.910417,32.48,33.00,32.150002,32.990002,AVGO,3504300
2011-02-11,30.656337,33.290001,33.349998,32.32,32.529999,AVGO,2772500
2011-02-14,31.347002,34.040001,34.349998,33.580002,33.580002,AVGO,2599700
2011-02-15,31.043108,33.709999,34.259998,33.419998,33.889999,AVGO,1978800
2011-02-16,31.660104,34.380001,34.599998,33.810001,33.91,AVGO,1260500
2011-02-17,30.969439,33.630001,34.419998,33.310001,34.330002,AVGO,3438700
2011-02-18,31.172031,33.849998,34.07,33.630001,33.77,AVGO,1563900
2011-02-22,30.020922,32.599998,33.240002,32.130001,33.240002,AVGO,2011800
2011-02-23,28.860606,31.34,33.00,30.92,32.98,AVGO,3327200
2011-02-24,31.291748,33.98,34.119999,31.66,31.85,AVGO,3533100
2011-02-25,31.641686,34.360001,34.59,33.799999,34.240002,AVGO,1913200
2011-02-28,31.300959,33.990002,34.529999,33.490002,34.34,AVGO,1626300
2011-03-01,29.532853,32.07,32.470001,31.84,32.25,AVGO,10131800
2011-03-02,29.891999,32.459999,32.540001,32.040001,32.110001,AVGO,2661700
2011-03-03,30.389279,33.00,33.080002,32.349998,32.790001,AVGO,3284800
2011-03-04,30.195893,32.790001,33.150002,32.509998,33.060001,AVGO,2049800
2011-03-07,29.449973,31.98,33.00,31.57,33.00,AVGO,1670900
2011-03-08,29.827537,32.389999,32.549999,31.59,31.92,AVGO,1960300
2011-03-09,28.547504,31.00,31.889999,30.940001,31.74,AVGO,4392900
2011-03-10,28.556713,31.01,31.120001,30.15,30.809999,AVGO,3619100
2011-03-11,28.759308,31.23,31.52,30.709999,30.98,AVGO,1313500
2011-03-14,28.547504,31.00,31.17,30.719999,31.09,AVGO,1641400
2011-03-15,28.611966,31.07,31.280001,29.85,30.24,AVGO,1979600
2011-03-16,27.291698,29.559999,31.09,29.40,30.950001,AVGO,2872400
2011-03-17,27.070115,29.32,30.309999,28.27,30.27,AVGO,3814300
2011-03-18,27.993379,30.32,30.49,29.860001,30.07,AVGO,3069700
2011-03-21,28.611967,30.99,31.15,30.58,30.799999,AVGO,1994700
2011-03-22,28.353452,30.709999,31.299999,30.450001,31.15,AVGO,1517600
2011-03-23,28.630432,31.01,31.02,30.35,30.719999,AVGO,1236400
2011-03-24,28.685828,31.07,31.33,30.60,31.27,AVGO,1337100
