Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,7.623174,7.86,7.95,7.67,7.68,BRCD,14406500
2010-01-05,7.642571,7.88,7.99,7.76,7.88,BRCD,10077700
2010-01-06,7.613475,7.85,7.99,7.75,7.91,BRCD,11734500
2010-01-07,7.594078,7.83,7.93,7.75,7.89,BRCD,7648700
2010-01-08,7.516488,7.75,7.86,7.63,7.78,BRCD,9218700
2010-01-11,7.506789,7.74,7.85,7.65,7.80,BRCD,6376700
2010-01-12,7.700763,7.94,7.99,7.76,7.76,BRCD,21944100
2010-01-13,7.710462,7.95,8.05,7.88,7.95,BRCD,20619900
2010-01-14,7.661969,7.90,7.95,7.82,7.94,BRCD,8145800
2010-01-15,7.526187,7.76,7.91,7.73,7.90,BRCD,10064800
2010-01-19,7.642571,7.88,7.89,7.74,7.74,BRCD,6522300
2010-01-20,7.497091,7.73,7.87,7.66,7.87,BRCD,11906400
2010-01-21,7.555283,7.79,8.04,7.73,7.79,BRCD,25959600
2010-01-22,7.186732,7.41,7.83,7.35,7.80,BRCD,18097500
2010-01-25,7.293418,7.52,7.63,7.44,7.45,BRCD,10848700
2010-01-26,7.225527,7.45,7.64,7.43,7.55,BRCD,11826200
2010-01-27,7.20613,7.43,7.47,7.28,7.47,BRCD,11039200
2010-01-28,6.915169,7.13,7.43,7.01,7.41,BRCD,19332400
2010-01-29,6.663003,6.87,7.24,6.67,7.22,BRCD,33603600
2010-02-01,6.439933,6.64,7.01,6.47,6.95,BRCD,41519500
2010-02-02,6.546619,6.75,6.78,6.56,6.70,BRCD,26738600
2010-02-03,6.498125,6.70,6.76,6.63,6.73,BRCD,15389900
2010-02-04,6.226562,6.42,6.81,6.41,6.81,BRCD,24263600
2010-02-05,6.352645,6.55,6.55,6.30,6.50,BRCD,20350500
2010-02-08,6.226562,6.42,6.56,6.41,6.53,BRCD,14366400
2010-02-09,6.100479,6.29,6.53,6.24,6.51,BRCD,28227900
2010-02-10,6.401138,6.60,6.67,6.31,6.32,BRCD,37295000
2010-02-11,6.439933,6.64,6.67,6.46,6.54,BRCD,24134300
2010-02-12,6.39144,6.59,6.59,6.49,6.55,BRCD,16891200
2010-02-16,6.488427,6.69,6.71,6.52,6.63,BRCD,15240800
2010-02-17,6.556318,6.76,6.81,6.62,6.67,BRCD,13552100
2010-02-18,6.575715,6.78,6.81,6.65,6.74,BRCD,19084100
2010-02-19,6.633907,6.84,6.86,6.71,6.75,BRCD,12988600
2010-02-22,6.750291,6.96,6.99,6.82,6.92,BRCD,31120100
2010-02-23,5.1985,5.36,5.67,5.26,5.63,BRCD,183420100
