Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,10.389341,10.94,10.97,10.76,10.80,CVG,1131800
2010-01-05,10.370348,10.92,11.06,10.83,10.89,CVG,921300
2010-01-06,10.503301,11.06,11.06,10.83,10.89,CVG,974800
2010-01-07,10.465315,11.02,11.09,10.74,11.00,CVG,4300000
2010-01-08,10.484308,11.04,11.07,10.86,10.97,CVG,643500
2010-01-11,10.95914,11.54,11.81,11.28,11.28,CVG,1778300
2010-01-12,10.740718,11.31,11.48,11.27,11.48,CVG,1095200
2010-01-13,10.940148,11.52,11.57,11.29,11.38,CVG,641600
2010-01-14,11.025617,11.61,11.61,11.38,11.46,CVG,623000
2010-01-15,11.025617,11.61,11.67,11.46,11.57,CVG,1273200
2010-01-19,10.854677,11.43,11.70,11.35,11.61,CVG,1483400
2010-01-20,10.930651,11.51,11.66,11.02,11.34,CVG,1293500
2010-01-21,10.740718,11.31,11.64,11.26,11.49,CVG,1133800
2010-01-22,10.550784,11.11,11.41,11.04,11.29,CVG,905800
2010-01-25,10.493804,11.05,11.20,11.00,11.15,CVG,1212800
2010-01-26,10.503301,11.06,11.25,10.93,11.05,CVG,1106500
2010-01-27,10.265885,10.81,11.05,10.61,10.99,CVG,1759500
2010-01-28,10.170918,10.71,10.83,10.57,10.82,CVG,1424400
2010-01-29,10.161421,10.70,10.82,10.64,10.72,CVG,1414200
2010-02-01,10.189911,10.73,10.87,10.66,10.74,CVG,1447100
2010-02-02,10.455818,11.01,11.03,10.65,10.70,CVG,1082000
2010-02-03,10.474811,11.03,11.05,10.81,10.93,CVG,1131600
2010-02-04,10.237394,10.78,11.00,10.75,10.93,CVG,1190300
2010-02-05,10.237394,10.78,10.88,10.57,10.78,CVG,1073600
2010-02-08,10.142428,10.68,10.86,10.63,10.75,CVG,824100
2010-02-09,10.332361,10.88,10.90,10.65,10.80,CVG,1048000
2010-02-10,10.322864,10.87,11.03,10.81,10.85,CVG,990200
2010-02-11,11.016121,11.60,11.99,11.20,11.45,CVG,3787800
2010-02-12,11.206054,11.80,11.82,11.40,11.50,CVG,3160200
2010-02-16,11.690383,12.31,12.33,11.88,11.89,CVG,1664600
2010-02-17,11.55743,12.17,12.52,12.09,12.37,CVG,1990400
2010-02-18,11.75686,12.38,12.46,12.10,12.10,CVG,1163200
2010-02-19,11.899309,12.53,12.76,12.32,12.33,CVG,1330200
2010-02-22,11.823336,12.45,12.69,12.43,12.58,CVG,964000
2010-02-23,11.718873,12.34,12.50,12.30,12.45,CVG,876000
2010-02-24,11.880316,12.51,12.56,12.33,12.33,CVG,1157000
2010-02-25,11.794846,12.42,12.43,12.21,12.31,CVG,1226700
2010-02-26,11.718873,12.34,12.47,12.28,12.42,CVG,697800
2010-03-01,11.975282,12.61,12.63,12.32,12.41,CVG,896300
2010-03-02,11.889813,12.52,12.64,12.46,12.58,CVG,881400
2010-03-03,11.965786,12.60,12.75,12.53,12.53,CVG,960900
2010-03-04,11.956289,12.59,12.62,12.00,12.23,CVG,2414200
2010-03-05,12.393136,13.05,13.05,12.53,12.63,CVG,1798900
2010-03-08,12.222195,12.87,13.09,12.80,13.01,CVG,977000
2010-03-09,12.070249,12.71,12.90,12.65,12.84,CVG,1195300
2010-03-10,12.165216,12.81,13.01,12.68,12.68,CVG,1250200
2010-03-11,12.098739,12.74,12.75,12.63,12.75,CVG,847900
2010-03-12,12.203203,12.85,12.85,12.64,12.75,CVG,559500
2010-03-15,12.260182,12.91,12.94,12.71,12.86,CVG,637300
2010-03-16,12.117733,12.76,12.93,12.71,12.92,CVG,780800
2010-03-17,12.174712,12.82,12.86,12.62,12.84,CVG,1137400
2010-03-18,12.098739,12.74,12.82,12.60,12.75,CVG,736600
2010-03-19,12.041759,12.68,12.92,12.48,12.68,CVG,1322900
2010-03-22,12.117733,12.76,12.88,12.50,12.57,CVG,713400
2010-03-23,12.288672,12.94,13.05,12.64,12.80,CVG,1435200
2010-03-24,12.212699,12.86,12.95,12.67,12.86,CVG,1499000
2010-03-25,11.965786,12.60,12.93,12.59,12.92,CVG,1232600
2010-03-26,11.937296,12.57,12.78,12.51,12.61,CVG,699700
2010-03-29,12.051255,12.69,12.79,12.58,12.64,CVG,795200
2010-03-30,11.937296,12.57,12.78,12.50,12.74,CVG,639700
2010-03-31,11.6429,12.26,12.55,12.26,12.55,CVG,1224900
2010-04-01,11.652397,12.27,12.37,12.12,12.34,CVG,1029600
2010-04-05,11.937296,12.57,12.61,12.27,12.35,CVG,676200
2010-04-06,12.060752,12.70,12.77,12.47,12.51,CVG,729600
2010-04-07,11.984779,12.62,12.68,12.55,12.64,CVG,650400
2010-04-08,12.136725,12.78,12.80,12.53,12.60,CVG,1000800
2010-04-09,12.174712,12.82,12.83,12.71,12.82,CVG,598400
2010-04-12,12.336155,12.99,12.99,12.76,12.76,CVG,460900
