Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,8.811386,10.58,10.72,10.51,10.56,CY,2143200
2010-01-05,9.011266,10.82,10.87,10.52,10.53,CY,3043200
2010-01-06,9.136191,10.97,11.01,10.69,10.69,CY,3186600
2010-01-07,9.061236,10.88,11.05,10.80,11.00,CY,2106600
2010-01-08,9.669205,11.61,11.70,10.88,10.96,CY,6847900
2010-01-11,9.619235,11.55,11.76,11.39,11.76,CY,2965000
2010-01-12,9.236131,11.09,11.65,11.03,11.63,CY,3337000
2010-01-13,9.527623,11.44,11.48,10.84,11.14,CY,3064300
2010-01-14,9.369385,11.25,11.50,11.17,11.50,CY,2015600
2010-01-15,9.194489,11.04,11.30,10.96,11.30,CY,2753600
2010-01-19,9.269445,11.13,11.22,11.00,11.02,CY,3228300
2010-01-20,9.202818,11.05,11.11,10.91,11.09,CY,2444100
2010-01-21,9.535951,11.45,11.59,11.16,11.42,CY,4914700
2010-01-22,8.911326,10.70,11.44,10.57,11.42,CY,4886000
2010-01-25,9.027923,10.84,11.00,10.70,10.80,CY,2222200
2010-01-26,9.044579,10.86,11.03,10.74,10.91,CY,2661100
2010-01-27,9.211146,11.06,11.07,10.62,10.74,CY,2966100
2010-01-28,8.952967,10.75,11.39,10.47,11.26,CY,4951300
2010-01-29,8.369984,10.05,10.96,9.96,10.86,CY,6702500
2010-02-01,9.036251,10.85,10.89,10.15,10.18,CY,5996300
2010-02-02,9.386042,11.27,11.37,10.83,10.90,CY,4935100
2010-02-03,9.469325,11.37,11.42,11.07,11.13,CY,3999800
2010-02-04,8.828043,10.60,11.22,10.59,11.16,CY,4261800
2010-02-05,9.027923,10.84,10.96,10.45,10.58,CY,5032500
2010-02-08,8.911326,10.70,10.99,10.68,10.99,CY,2213500
2010-02-09,9.069565,10.89,10.97,10.67,10.94,CY,3048200
2010-02-10,8.986281,10.79,11.00,10.73,10.92,CY,2170900
2010-02-11,9.411026,11.30,11.32,10.70,10.85,CY,3693900
2010-02-12,9.602578,11.53,11.70,11.08,11.24,CY,4974300
2010-02-16,9.852428,11.83,11.96,11.60,11.71,CY,3339100
2010-02-17,9.827444,11.80,11.95,11.50,11.94,CY,2799600
2010-02-18,9.919055,11.91,12.02,11.64,11.75,CY,5451500
2010-02-19,10.243861,12.30,12.46,11.78,11.78,CY,8113900
2010-02-22,10.118935,12.15,12.45,12.09,12.33,CY,3690800
2010-02-23,9.885742,11.87,12.09,11.71,12.09,CY,3506500
2010-02-24,9.94404,11.94,12.03,11.76,11.92,CY,3261000
2010-02-25,9.935712,11.93,11.93,11.52,11.73,CY,2610500
2010-02-26,9.852428,11.83,11.91,11.65,11.78,CY,3918400
2010-03-01,9.960697,11.96,12.18,11.80,11.84,CY,4997700
2010-03-02,10.085622,12.11,12.30,11.98,12.01,CY,4145400
2010-03-03,9.977353,11.98,12.39,11.86,12.12,CY,2814900
2010-03-04,9.977353,11.98,12.12,11.76,12.12,CY,2177900
2010-03-05,10.09395,12.12,12.20,11.92,12.04,CY,2952700
2010-03-08,10.102279,12.13,12.17,11.85,12.10,CY,2749600
2010-03-09,10.218876,12.27,12.40,11.98,11.99,CY,4495400
2010-03-10,10.302159,12.37,12.46,12.23,12.25,CY,2958700
2010-03-11,10.302159,12.37,12.38,12.17,12.36,CY,1935500
2010-03-12,10.352129,12.43,12.53,12.32,12.46,CY,3318600
2010-03-15,10.285502,12.35,12.40,12.23,12.38,CY,1865400
2010-03-16,10.243861,12.30,12.47,12.20,12.35,CY,3250200
