Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,17.337474,17.459999,17.59,17.309999,17.540001,IM,1978400
2010-01-05,17.675088,17.799999,17.809999,17.360001,17.49,IM,2845100
2010-01-06,17.526141,17.65,17.870001,17.48,17.790001,IM,1732900
2010-01-07,17.377194,17.50,17.709999,17.379999,17.66,IM,1331300
2010-01-08,17.436772,17.559999,17.60,17.370001,17.50,IM,631500
2010-01-11,17.575791,17.700001,17.700001,17.34,17.610001,IM,1222000
2010-01-12,17.436772,17.559999,17.75,17.370001,17.610001,IM,1780600
2010-01-13,17.744598,17.870001,17.889999,17.48,17.629999,IM,1095800
2010-01-14,17.694948,17.82,17.940001,17.51,17.77,IM,800000
2010-01-15,17.426842,17.549999,17.879999,17.52,17.809999,IM,944200
2010-01-19,17.714808,17.84,17.84,17.48,17.540001,IM,1102800
2010-01-20,17.675088,17.799999,17.84,17.559999,17.66,IM,1386900
2010-01-21,17.575791,17.700001,18.00,17.51,17.809999,IM,2123200
2010-01-22,17.148808,17.27,17.76,17.24,17.709999,IM,1807400
2010-01-25,17.436772,17.559999,18.190001,17.49,18.190001,IM,2646800
2010-01-26,17.06937,17.190001,17.559999,17.120001,17.51,IM,1577000
2010-01-27,16.999861,17.120001,17.24,16.67,17.190001,IM,1937300
2010-01-28,17.119018,17.24,17.33,16.67,17.09,IM,2368900
2010-01-29,16.781404,16.90,17.32,16.84,17.25,IM,1698100
2010-02-01,17.605579,17.73,17.75,17.139999,17.18,IM,3006200
2010-02-02,17.923333,18.049999,18.07,17.68,17.719999,IM,1848200
2010-02-03,17.843895,17.969999,18.15,17.90,18.01,IM,1550200
2010-02-04,17.198457,17.32,17.969999,17.32,17.889999,IM,1851400
2010-02-05,17.01972,17.139999,17.35,16.90,17.280001,IM,1794900
2010-02-08,16.920423,17.040001,17.219999,16.799999,17.120001,IM,1493700
2010-02-09,17.168668,17.290001,17.32,16.92,17.25,IM,1725300
