Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,17.370001,17.370001,17.370001,16.879999,16.889999,IPGP,100800
2010-01-05,17.07,17.07,17.40,17.040001,17.40,IPGP,81100
2010-01-06,16.92,16.92,17.07,16.75,17.02,IPGP,70900
2010-01-07,17.200001,17.200001,17.23,16.629999,16.959999,IPGP,49900
2010-01-08,17.34,17.34,17.42,17.09,17.09,IPGP,42300
2010-01-11,17.02,17.02,17.35,16.860001,17.35,IPGP,67300
2010-01-12,16.77,16.77,17.00,16.620001,16.85,IPGP,37300
2010-01-13,16.9,16.90,17.10,16.59,16.780001,IPGP,52700
2010-01-14,16.6,16.60,16.799999,16.389999,16.790001,IPGP,55300
2010-01-15,15.3,15.30,16.66,15.27,16.66,IPGP,176200
2010-01-19,15.2,15.20,15.49,15.11,15.43,IPGP,178500
2010-01-20,14.57,14.57,15.14,14.37,15.07,IPGP,157500
2010-01-21,13.62,13.62,14.64,13.32,14.64,IPGP,320800
2010-01-22,14.29,14.29,15.25,14.20,14.50,IPGP,347600
2010-01-25,14.45,14.45,14.59,14.17,14.48,IPGP,845200
2010-01-26,14.4,14.40,14.55,14.33,14.44,IPGP,131700
2010-01-27,14.62,14.62,14.66,14.15,14.32,IPGP,86300
2010-01-28,14.42,14.42,14.68,14.26,14.61,IPGP,104400
2010-01-29,14.4,14.40,14.60,14.34,14.49,IPGP,160100
2010-02-01,14.54,14.54,14.63,14.20,14.42,IPGP,74700
2010-02-02,14.5,14.50,14.60,14.38,14.51,IPGP,85000
2010-02-03,14.77,14.77,14.84,14.40,14.48,IPGP,112700
2010-02-04,14.35,14.35,14.80,14.01,14.58,IPGP,166100
2010-02-05,14.49,14.49,14.55,14.11,14.34,IPGP,121500
2010-02-08,14.37,14.37,14.57,14.29,14.50,IPGP,134600
2010-02-09,14.41,14.41,14.63,14.21,14.52,IPGP,65100
2010-02-10,14.64,14.64,14.73,14.31,14.31,IPGP,132500
2010-02-11,14.79,14.79,14.96,14.34,14.55,IPGP,90100
2010-02-12,15.13,15.13,15.15,14.53,14.66,IPGP,91000
2010-02-16,15.4,15.40,15.40,15.17,15.18,IPGP,46700
2010-02-17,15.55,15.55,15.66,15.21,15.40,IPGP,67000
2010-02-18,15.76,15.76,15.77,15.48,15.58,IPGP,31500
2010-02-19,16.02,16.02,16.200001,15.51,15.76,IPGP,98600
2010-02-22,15.9,15.90,16.290001,15.82,16.030001,IPGP,80400
2010-02-23,15.6,15.60,15.95,15.04,15.83,IPGP,118200
2010-02-24,16.360001,16.360001,16.379999,15.53,15.65,IPGP,209600
2010-02-25,15.93,15.93,16.10,15.75,16.09,IPGP,86400
2010-02-26,15.82,15.82,16.02,15.60,15.91,IPGP,74200
