Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,6.2025,24.809999,24.83,23.93,24.33,MANH,370000
2010-01-05,6.1175,24.469999,24.90,24.17,24.709999,MANH,338400
2010-01-06,6.025,24.10,24.48,23.940001,24.07,MANH,268400
2010-01-07,5.9425,23.77,24.030001,23.51,24.030001,MANH,261200
2010-01-08,5.9325,23.73,23.84,23.549999,23.76,MANH,173200
2010-01-11,5.805,23.219999,23.76,22.75,23.76,MANH,367200
2010-01-12,5.815,23.26,23.370001,22.959999,23.09,MANH,363600
2010-01-13,5.7875,23.15,23.32,22.77,23.32,MANH,342000
2010-01-14,5.8325,23.33,23.48,23.049999,23.16,MANH,226400
2010-01-15,5.7075,22.83,23.450001,22.559999,23.43,MANH,560000
2010-01-19,5.8775,23.51,23.530001,22.690001,22.799999,MANH,626400
2010-01-20,5.725,22.90,23.360001,22.51,23.290001,MANH,505600
2010-01-21,5.7075,22.83,23.129999,22.33,23.00,MANH,679200
2010-01-22,5.4925,21.969999,22.860001,21.92,22.75,MANH,235200
2010-01-25,5.3775,21.51,22.18,21.459999,22.18,MANH,309600
2010-01-26,5.4,21.60,21.889999,21.360001,21.389999,MANH,263200
2010-01-27,5.5325,22.129999,22.17,21.299999,21.450001,MANH,202000
2010-01-28,5.3325,21.33,22.370001,21.09,22.129999,MANH,331200
2010-01-29,5.2425,20.969999,21.58,20.940001,21.52,MANH,478800
2010-02-01,5.4125,21.65,21.66,20.969999,21.02,MANH,395200
2010-02-02,5.41,21.639999,21.790001,21.450001,21.60,MANH,563600
2010-02-03,5.5575,22.23,23.67,22.10,22.719999,MANH,1063600
2010-02-04,5.58,22.32,22.700001,21.51,21.549999,MANH,1198800
2010-02-05,5.665,22.66,23.24,22.33,22.459999,MANH,1113200
2010-02-08,5.6725,22.690001,22.93,22.35,22.709999,MANH,456400
2010-02-09,5.705,22.82,23.40,22.700001,23.02,MANH,919600
2010-02-10,5.725,22.90,23.040001,22.610001,22.68,MANH,505200
2010-02-11,5.7525,23.01,23.139999,22.719999,22.780001,MANH,644800
2010-02-12,5.9225,23.690001,23.690001,22.799999,22.799999,MANH,726800
2010-02-16,6.1125,24.450001,24.59,23.700001,23.700001,MANH,784400
2010-02-17,6.1125,24.450001,24.59,24.360001,24.58,MANH,446400
2010-02-18,6.1675,24.67,24.68,24.450001,24.450001,MANH,354800
2010-02-19,6.2225,24.889999,25.00,24.65,24.67,MANH,792000
2010-02-22,6.3175,25.27,25.42,24.82,24.82,MANH,540000
2010-02-23,6.375,25.50,25.799999,25.030001,25.290001,MANH,927600
2010-02-24,6.43,25.719999,25.940001,25.530001,25.629999,MANH,400400
2010-02-25,6.315,25.26,25.549999,25.02,25.35,MANH,524000
2010-02-26,6.3175,25.27,25.620001,25.17,25.34,MANH,394400
2010-03-01,6.4575,25.83,25.84,25.25,25.32,MANH,488400
2010-03-02,6.5225,26.09,26.219999,25.73,25.940001,MANH,508400
2010-03-03,6.495,25.98,26.469999,25.92,25.99,MANH,546000
2010-03-04,6.485,25.940001,26.280001,25.84,26.09,MANH,381200
2010-03-05,6.74,26.959999,26.959999,25.92,26.049999,MANH,751200
2010-03-08,6.745,26.98,27.200001,26.76,26.879999,MANH,869200
2010-03-09,6.81,27.24,27.440001,26.85,26.950001,MANH,412800
2010-03-10,6.8475,27.389999,27.559999,27.10,27.16,MANH,420400
2010-03-11,6.79,27.16,27.57,26.790001,27.27,MANH,628400
2010-03-12,6.865,27.459999,27.530001,27.09,27.139999,MANH,693200
2010-03-15,6.83,27.32,27.360001,26.389999,27.129999,MANH,695200
2010-03-16,6.7375,26.950001,27.50,26.700001,27.469999,MANH,368000
2010-03-17,6.7375,26.950001,27.26,26.90,26.91,MANH,426800
2010-03-18,6.7225,26.889999,27.110001,26.75,27.040001,MANH,452800
2010-03-19,6.6025,26.41,27.049999,26.23,27.049999,MANH,697200
2010-03-22,6.71,26.84,26.889999,26.16,26.32,MANH,715200
2010-03-23,6.7175,26.870001,27.00,26.690001,26.85,MANH,250800
2010-03-24,6.6075,26.43,26.77,26.389999,26.77,MANH,383600
2010-03-25,6.5325,26.129999,26.65,26.110001,26.49,MANH,236000
2010-03-26,6.46,25.84,26.34,25.530001,26.280001,MANH,356400
2010-03-29,6.3875,25.549999,25.940001,25.25,25.940001,MANH,1202400
2010-03-30,6.475,25.90,25.92,25.17,25.549999,MANH,601600
2010-03-31,6.37,25.48,26.129999,25.48,25.73,MANH,561600
2010-04-01,6.3975,25.59,25.90,25.129999,25.540001,MANH,496000
2010-04-05,6.6,26.40,26.40,25.68,25.860001,MANH,442400
2010-04-06,6.665,26.66,27.01,26.200001,26.219999,MANH,664000
2010-04-07,6.5425,26.17,26.59,26.01,26.559999,MANH,505200
2010-04-08,6.5525,26.209999,26.43,25.719999,25.98,MANH,635600
2010-04-09,6.7175,26.870001,26.879999,25.98,26.219999,MANH,710400
2010-04-12,6.72,26.879999,26.940001,26.610001,26.870001,MANH,263600
2010-04-13,6.75,27.00,27.01,26.67,26.77,MANH,158800
2010-04-14,6.875,27.50,27.58,27.030001,27.030001,MANH,474400
2010-04-15,6.855,27.42,27.77,27.370001,27.379999,MANH,212800
2010-04-16,6.8225,27.290001,27.50,26.940001,27.280001,MANH,320800
2010-04-19,6.725,26.90,27.530001,26.379999,27.129999,MANH,612000
2010-04-20,6.8275,27.309999,27.32,26.809999,27.059999,MANH,200000
2010-04-21,7.6075,30.43,31.48,29.870001,30.48,MANH,2509600
2010-04-22,7.71,30.84,31.639999,30.25,30.370001,MANH,1499600
2010-04-23,7.3625,29.450001,30.16,29.15,29.98,MANH,1915600
2010-04-26,7.38,29.52,29.639999,28.790001,28.83,MANH,1030400
2010-04-27,7.4475,29.790001,30.120001,29.299999,29.450001,MANH,1272000
2010-04-28,7.3275,29.309999,29.84,29.10,29.84,MANH,704400
2010-04-29,7.26,29.040001,29.639999,28.82,29.48,MANH,738400
2010-04-30,7.165,28.66,29.24,28.66,29.17,MANH,824000
2010-05-03,7.2675,29.07,29.200001,28.65,28.68,MANH,272400
2010-05-04,7.1125,28.450001,28.719999,28.17,28.719999,MANH,375200
2010-05-05,7.1625,28.65,28.860001,27.99,28.26,MANH,632000
2010-05-06,7.235,28.940001,29.219999,28.00,28.60,MANH,1466400
2010-05-07,7.0625,28.25,28.93,27.18,28.93,MANH,1249600
2010-05-10,7.3725,29.49,29.530001,28.82,29.00,MANH,814800
2010-05-11,7.49,29.959999,30.43,29.34,29.34,MANH,1083200
2010-05-12,7.73,30.92,30.950001,29.889999,29.98,MANH,1198000
2010-05-13,7.57,30.280001,30.99,30.040001,30.700001,MANH,860800
2010-05-14,7.365,29.459999,30.209999,29.07,30.209999,MANH,661600
2010-05-17,7.5525,30.209999,30.23,29.42,30.00,MANH,1050000
2010-05-18,7.5275,30.110001,30.50,29.870001,30.309999,MANH,971200
2010-05-19,7.47,29.879999,30.50,29.459999,29.959999,MANH,1018000
2010-05-20,6.9675,27.870001,29.549999,27.809999,29.450001,MANH,1399600
2010-05-21,6.9725,27.889999,28.02,26.860001,27.24,MANH,2017200
2010-05-24,6.945,27.780001,28.219999,27.379999,27.790001,MANH,441200
2010-05-25,6.795,27.18,27.32,26.370001,27.120001,MANH,624800
2010-05-26,6.9525,27.809999,28.66,27.280001,27.280001,MANH,716400
2010-05-27,7.25,29.00,29.030001,28.040001,28.41,MANH,657200
2010-05-28,7.2375,28.950001,29.379999,28.75,28.870001,MANH,468000
2010-06-01,7.2325,28.93,29.790001,28.620001,28.879999,MANH,927600
2010-06-02,7.215,28.860001,29.01,28.129999,29.01,MANH,845600
2010-06-03,7.375,29.50,29.639999,28.690001,28.889999,MANH,502800
2010-06-04,7.135,28.540001,29.40,28.50,29.129999,MANH,562400
2010-06-07,6.9325,27.73,28.66,26.34,28.620001,MANH,484800
2010-06-08,6.8775,27.51,27.85,26.950001,27.799999,MANH,468400
2010-06-09,6.94,27.76,28.530001,27.73,27.82,MANH,426400
2010-06-10,7.13,28.52,28.540001,27.75,28.07,MANH,489600
2010-06-11,7.2675,29.07,29.15,28.299999,28.299999,MANH,451600
2010-06-14,7.235,28.940001,29.610001,28.889999,29.40,MANH,301200
2010-06-15,7.3525,29.41,29.48,28.84,28.940001,MANH,610000
2010-06-16,7.31,29.24,29.639999,28.93,29.209999,MANH,441200
2010-06-17,7.3075,29.23,29.43,29.049999,29.32,MANH,265600
2010-06-18,7.3775,29.51,29.700001,29.07,29.389999,MANH,686400
2010-06-21,7.5175,30.07,30.49,29.940001,30.030001,MANH,819200
2010-06-22,7.3025,29.209999,30.469999,29.16,30.26,MANH,670000
2010-06-23,7.305,29.219999,29.469999,28.92,29.209999,MANH,248400
2010-06-24,7.2325,28.93,29.65,28.90,29.049999,MANH,514800
2010-06-25,7.2975,29.190001,29.25,28.799999,28.959999,MANH,1213600
2010-06-28,7.2875,29.15,29.52,28.950001,29.23,MANH,274000
