Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,8.01,16.02,16.040001,15.59,15.84,MDSO,278200
2010-01-05,7.78,15.56,16.200001,15.38,16.00,MDSO,438000
2010-01-06,7.9,15.80,15.93,15.37,15.60,MDSO,363800
2010-01-07,8.0,16.00,16.129999,15.53,15.73,MDSO,307000
2010-01-08,7.81,15.62,16.00,15.47,15.86,MDSO,420200
2010-01-11,7.99,15.98,16.01,15.62,15.62,MDSO,295800
2010-01-12,7.945,15.89,16.15,15.59,15.91,MDSO,187600
2010-01-13,7.93,15.86,15.98,15.56,15.87,MDSO,245400
2010-01-14,7.88,15.76,16.00,15.69,15.80,MDSO,393000
2010-01-15,7.78,15.56,15.97,15.40,15.83,MDSO,232200
2010-01-19,8.005,16.01,16.049999,15.48,15.58,MDSO,355200
2010-01-20,8.155,16.309999,16.379999,15.68,15.91,MDSO,608400
2010-01-21,7.985,15.97,16.299999,15.77,16.290001,MDSO,241600
2010-01-22,7.94,15.88,16.24,15.72,15.90,MDSO,384400
2010-01-25,7.85,15.70,16.01,15.66,15.93,MDSO,184800
2010-01-26,8.125,16.25,16.68,15.51,15.60,MDSO,556200
2010-01-27,8.335,16.67,16.690001,16.00,16.139999,MDSO,584000
2010-01-28,8.32,16.639999,16.889999,16.370001,16.57,MDSO,399800
2010-01-29,8.34,16.68,16.84,16.43,16.65,MDSO,376400
2010-02-01,8.385,16.77,16.91,16.50,16.65,MDSO,467800
2010-02-02,8.39,16.780001,16.98,15.85,15.99,MDSO,479200
2010-02-03,8.36,16.719999,16.780001,16.299999,16.66,MDSO,170400
2010-02-04,8.035,16.07,16.700001,16.049999,16.700001,MDSO,179200
2010-02-05,7.485,14.97,15.75,14.90,15.75,MDSO,1589400
2010-02-08,7.435,14.87,15.21,14.82,14.95,MDSO,205800
2010-02-09,7.63,15.26,15.29,14.84,15.01,MDSO,349000
2010-02-10,7.535,15.07,15.24,14.88,15.24,MDSO,194000
2010-02-11,7.545,15.09,15.19,14.95,15.07,MDSO,244800
2010-02-12,7.545,15.09,15.11,14.50,14.92,MDSO,439800
2010-02-16,7.5,15.00,15.15,14.95,15.15,MDSO,151200
2010-02-17,7.505,15.01,15.32,14.79,15.10,MDSO,281600
2010-02-18,7.635,15.27,15.31,14.85,15.04,MDSO,251800
2010-02-19,7.595,15.19,15.40,15.10,15.25,MDSO,98600
2010-02-22,7.51,15.02,15.20,14.82,15.16,MDSO,94600
2010-02-23,7.635,15.27,15.41,14.86,14.96,MDSO,192000
2010-02-24,7.515,15.03,15.33,14.84,15.27,MDSO,230400
2010-02-25,7.535,15.07,15.16,14.84,14.98,MDSO,128800
2010-02-26,7.71,15.42,15.51,14.86,15.05,MDSO,87000
2010-03-01,7.775,15.55,15.55,15.22,15.43,MDSO,109800
2010-03-02,7.94,15.88,16.120001,15.56,15.64,MDSO,312600
2010-03-03,7.845,15.69,15.96,15.60,15.90,MDSO,336800
2010-03-04,7.875,15.75,15.78,15.38,15.78,MDSO,201200
2010-03-05,7.925,15.85,16.17,15.83,16.00,MDSO,983800
2010-03-08,7.685,15.37,15.86,15.12,15.80,MDSO,469200
2010-03-09,7.695,15.39,15.49,15.10,15.26,MDSO,257800
2010-03-10,7.515,15.03,15.43,14.99,15.34,MDSO,352200
2010-03-11,7.625,15.25,15.27,14.97,15.00,MDSO,327600
2010-03-12,7.66,15.32,15.36,15.11,15.26,MDSO,173800
