Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,96.160004,96.160004,96.25,94.470001,94.470001,MSTR,71600
2010-01-05,97.839996,97.839996,98.599998,96.669998,96.940002,MSTR,139400
2010-01-06,96.339996,96.339996,98.639999,96.099998,98.260002,MSTR,64700
2010-01-07,92.489998,92.489998,97.330002,92.209999,96.089996,MSTR,170700
2010-01-08,95.0,95.00,95.410004,92.57,92.57,MSTR,65200
2010-01-11,90.769997,90.769997,96.769997,90.50,95.779999,MSTR,133400
2010-01-12,99.57,99.57,99.699997,92.169998,93.75,MSTR,334200
2010-01-13,98.089996,98.089996,103.230003,97.00,100.00,MSTR,577100
2010-01-14,99.07,99.07,99.290001,97.720001,98.360001,MSTR,69800
2010-01-15,103.589996,103.589996,106.059998,102.110001,102.25,MSTR,332500
2010-01-19,105.099998,105.099998,106.860001,103.860001,104.690002,MSTR,150800
2010-01-20,102.440002,102.440002,104.980003,100.800003,104.68,MSTR,101800
2010-01-21,99.449997,99.449997,104.160004,98.50,102.849998,MSTR,102700
2010-01-22,97.010002,97.010002,99.800003,96.830002,99.099998,MSTR,87600
2010-01-25,95.489998,95.489998,98.540001,95.010002,97.260002,MSTR,98900
2010-01-26,97.349998,97.349998,98.43,94.019997,95.07,MSTR,103400
2010-01-27,96.830002,96.830002,97.940002,95.699997,96.629997,MSTR,132400
2010-01-28,95.5,95.50,97.839996,95.150002,96.720001,MSTR,67500
2010-01-29,93.720001,93.720001,97.330002,93.720001,96.010002,MSTR,111800
2010-02-01,94.370003,94.370003,95.00,92.760002,94.089996,MSTR,59500
2010-02-02,94.660004,94.660004,95.620003,94.029999,94.370003,MSTR,60700
2010-02-03,96.639999,96.639999,97.660004,94.559998,94.580002,MSTR,132500
2010-02-04,79.029999,79.029999,86.209999,77.790001,84.010002,MSTR,1147300
2010-02-05,79.129997,79.129997,80.779999,77.25,79.029999,MSTR,300900
2010-02-08,81.260002,81.260002,81.940002,78.099998,79.330002,MSTR,192600
2010-02-09,82.419998,82.419998,83.160004,81.040001,81.949997,MSTR,136000
2010-02-10,84.029999,84.029999,84.809998,81.150002,82.099998,MSTR,222900
2010-02-11,84.540001,84.540001,84.989998,82.540001,83.620003,MSTR,151700
2010-02-12,84.800003,84.800003,84.940002,83.75,83.879997,MSTR,135800
2010-02-16,86.139999,86.139999,86.489998,84.949997,85.150002,MSTR,145700
2010-02-17,86.0,86.00,87.120003,85.839996,86.50,MSTR,69700
2010-02-18,85.040001,85.040001,86.00,84.50,85.690002,MSTR,84500
2010-02-19,85.660004,85.660004,86.18,84.019997,85.129997,MSTR,170100
2010-02-22,86.360001,86.360001,87.239998,85.00,85.610001,MSTR,65500
2010-02-23,86.120003,86.120003,86.709999,85.510002,85.900002,MSTR,60700
2010-02-24,87.190002,87.190002,87.410004,85.870003,85.93,MSTR,45500
2010-02-25,87.239998,87.239998,87.349998,85.260002,86.260002,MSTR,105400
2010-02-26,88.620003,88.620003,88.93,86.790001,87.349998,MSTR,88000
2010-03-01,90.669998,90.669998,91.260002,89.099998,89.099998,MSTR,106600
2010-03-02,88.309998,88.309998,91.129997,87.919998,91.029999,MSTR,167000
2010-03-03,88.970001,88.970001,89.18,88.150002,88.550003,MSTR,85500
2010-03-04,89.279999,89.279999,89.459999,88.550003,88.959999,MSTR,47900
2010-03-05,91.330002,91.330002,91.540001,89.400002,89.769997,MSTR,128900
2010-03-08,86.540001,86.540001,89.169998,86.099998,89.169998,MSTR,293600
2010-03-09,85.389999,85.389999,86.68,85.059998,86.059998,MSTR,196600
2010-03-10,86.5,86.50,86.739998,84.660004,85.150002,MSTR,109800
2010-03-11,86.690002,86.690002,86.720001,85.449997,85.900002,MSTR,51800
2010-03-12,87.480003,87.480003,87.790001,86.75,87.169998,MSTR,59000
2010-03-15,87.07,87.07,87.660004,85.910004,87.120003,MSTR,103700
2010-03-16,86.470001,86.470001,87.889999,85.739998,87.529999,MSTR,70200
2010-03-17,85.830002,85.830002,87.25,84.75,86.839996,MSTR,72000
2010-03-18,85.019997,85.019997,86.610001,84.800003,86.599998,MSTR,103900
2010-03-19,89.269997,89.269997,90.410004,87.889999,89.489998,MSTR,268300
2010-03-22,89.120003,89.120003,89.949997,88.610001,88.720001,MSTR,105600
2010-03-23,89.400002,89.400002,89.650002,88.739998,89.089996,MSTR,107300
2010-03-24,87.510002,87.510002,89.419998,87.279999,89.419998,MSTR,116800
2010-03-25,86.300003,86.300003,88.339996,86.190002,88.330002,MSTR,83600
2010-03-26,85.0,85.00,86.769997,84.660004,86.760002,MSTR,87700
2010-03-29,85.510002,85.510002,85.739998,84.309998,85.089996,MSTR,46800
2010-03-30,85.559998,85.559998,86.389999,84.900002,85.339996,MSTR,89500
2010-03-31,85.07,85.07,85.580002,84.800003,85.099998,MSTR,117000
2010-04-01,85.470001,85.470001,86.50,84.830002,85.949997,MSTR,32300
2010-04-05,85.809998,85.809998,85.949997,85.419998,85.68,MSTR,47500
2010-04-06,85.93,85.93,86.169998,85.559998,85.669998,MSTR,67900
2010-04-07,86.269997,86.269997,86.449997,85.610001,85.610001,MSTR,84400
2010-04-08,85.989998,85.989998,86.199997,85.660004,86.00,MSTR,70000
2010-04-09,85.459999,85.459999,86.019997,85.349998,86.00,MSTR,62500
2010-04-12,84.419998,84.419998,85.400002,84.260002,85.400002,MSTR,82800
2010-04-13,84.860001,84.860001,85.339996,84.010002,84.440002,MSTR,134300
2010-04-14,85.199997,85.199997,85.620003,84.940002,85.029999,MSTR,114100
2010-04-15,84.739998,84.739998,85.599998,84.669998,85.019997,MSTR,87100
2010-04-16,84.290001,84.290001,84.949997,84.010002,84.849998,MSTR,141900
2010-04-19,83.949997,83.949997,84.82,82.489998,84.139999,MSTR,104400
2010-04-20,86.709999,86.709999,86.720001,83.900002,84.379997,MSTR,148000
2010-04-21,87.169998,87.169998,87.580002,86.279999,87.040001,MSTR,54600
2010-04-22,87.489998,87.489998,87.540001,85.50,86.519997,MSTR,49700
2010-04-23,87.779999,87.779999,88.279999,87.25,87.25,MSTR,91100
2010-04-26,88.370003,88.370003,88.730003,87.309998,87.309998,MSTR,52700
2010-04-27,87.93,87.93,89.550003,87.650002,87.989998,MSTR,87200
2010-04-28,88.68,88.68,89.910004,88.440002,88.440002,MSTR,130800
2010-04-29,90.010002,90.010002,90.720001,89.089996,89.269997,MSTR,1310600
2010-04-30,76.599998,76.599998,80.449997,76.190002,80.00,MSTR,1009000
2010-05-03,76.089996,76.089996,77.540001,74.43,76.389999,MSTR,390600
2010-05-04,74.589996,74.589996,75.089996,74.019997,74.82,MSTR,163100
2010-05-05,72.449997,72.449997,75.410004,71.730003,73.040001,MSTR,342400
2010-05-06,69.889999,69.889999,72.199997,66.00,72.080002,MSTR,407500
2010-05-07,68.830002,68.830002,70.559998,67.220001,69.290001,MSTR,276600
2010-05-10,71.309998,71.309998,71.699997,70.50,71.010002,MSTR,130300
2010-05-11,72.849998,72.849998,73.279999,70.75,70.75,MSTR,207900
2010-05-12,76.199997,76.199997,76.290001,73.040001,73.209999,MSTR,206900
2010-05-13,77.610001,77.610001,78.910004,76.00,76.230003,MSTR,228300
2010-05-14,77.089996,77.089996,78.190002,75.790001,77.099998,MSTR,146300
2010-05-17,77.379997,77.379997,77.760002,75.849998,77.43,MSTR,264600
2010-05-18,77.080002,77.080002,78.440002,76.510002,78.190002,MSTR,137600
2010-05-19,77.139999,77.139999,77.709999,76.029999,76.790001,MSTR,160600
2010-05-20,74.68,74.68,76.779999,74.610001,76.50,MSTR,249800
2010-05-21,76.400002,76.400002,77.889999,73.32,73.620003,MSTR,209900
2010-05-24,76.0,76.00,77.410004,75.720001,76.050003,MSTR,121200
2010-05-25,76.139999,76.139999,76.529999,73.459999,74.75,MSTR,153000
2010-05-26,74.959999,74.959999,77.199997,74.720001,76.239998,MSTR,144800
2010-05-27,78.269997,78.269997,78.290001,75.510002,75.660004,MSTR,102200
2010-05-28,77.059998,77.059998,78.629997,76.870003,78.32,MSTR,75900
2010-06-01,75.089996,75.089996,77.629997,73.269997,76.440002,MSTR,167400
2010-06-02,76.099998,76.099998,76.459999,74.040001,75.099998,MSTR,159000
2010-06-03,77.510002,77.510002,78.279999,76.339996,77.00,MSTR,123100
2010-06-04,74.599998,74.599998,77.080002,74.599998,75.449997,MSTR,109500
2010-06-07,73.150002,73.150002,75.629997,72.93,74.989998,MSTR,140800
2010-06-08,72.260002,72.260002,74.099998,71.290001,73.300003,MSTR,168900
2010-06-09,72.730003,72.730003,74.230003,71.720001,72.870003,MSTR,159900
2010-06-10,74.989998,74.989998,74.989998,73.800003,73.800003,MSTR,88100
2010-06-11,75.699997,75.699997,76.290001,71.620003,73.790001,MSTR,126300
2010-06-14,75.809998,75.809998,78.07,75.209999,76.449997,MSTR,62200
2010-06-15,77.370003,77.370003,77.599998,76.010002,76.300003,MSTR,98900
2010-06-16,78.129997,78.129997,78.389999,76.190002,76.760002,MSTR,85300
2010-06-17,78.610001,78.610001,79.529999,77.639999,78.150002,MSTR,61500
2010-06-18,78.510002,78.510002,79.720001,78.199997,79.07,MSTR,108400
2010-06-21,79.160004,79.160004,81.019997,78.699997,79.550003,MSTR,130100
2010-06-22,77.68,77.68,79.989998,77.519997,79.230003,MSTR,77200
2010-06-23,77.660004,77.660004,78.199997,76.339996,77.900002,MSTR,79800
2010-06-24,75.709999,75.709999,77.860001,75.550003,77.220001,MSTR,48400
2010-06-25,75.989998,75.989998,76.50,74.489998,76.019997,MSTR,107800
2010-06-28,76.370003,76.370003,76.910004,75.099998,75.980003,MSTR,57400
2010-06-29,75.510002,75.510002,77.629997,74.650002,75.349998,MSTR,266900
2010-06-30,75.089996,75.089996,77.139999,75.089996,75.290001,MSTR,91500
2010-07-01,74.32,74.32,75.669998,73.68,74.800003,MSTR,102000
2010-07-02,74.480003,74.480003,75.50,74.190002,74.93,MSTR,53900
2010-07-06,74.580002,74.580002,77.959999,74.18,75.599998,MSTR,107100
2010-07-07,74.949997,74.949997,75.639999,74.389999,74.809998,MSTR,170200
2010-07-08,74.970001,74.970001,75.93,74.75,75.459999,MSTR,282500
2010-07-09,75.43,75.43,76.959999,75.019997,75.050003,MSTR,163000
2010-07-12,77.220001,77.220001,77.360001,75.330002,75.330002,MSTR,149100
2010-07-13,79.239998,79.239998,79.540001,77.260002,77.970001,MSTR,171000
2010-07-14,78.68,78.68,79.849998,78.489998,78.489998,MSTR,93900
2010-07-15,77.629997,77.629997,79.160004,77.199997,78.970001,MSTR,123500
2010-07-16,75.690002,75.690002,78.360001,75.57,77.519997,MSTR,331100
2010-07-19,77.239998,77.239998,77.400002,74.650002,75.879997,MSTR,256900
2010-07-20,80.550003,80.550003,80.709999,76.459999,76.459999,MSTR,204900
2010-07-21,79.25,79.25,81.550003,79.25,81.269997,MSTR,121300
2010-07-22,80.0,80.00,80.910004,79.209999,80.239998,MSTR,147700
2010-07-23,81.5,81.50,81.75,79.50,79.540001,MSTR,110000
2010-07-26,81.400002,81.400002,82.440002,81.160004,81.860001,MSTR,107700
2010-07-27,82.919998,82.919998,83.220001,81.650002,81.889999,MSTR,175800
2010-07-28,81.580002,81.580002,83.470001,81.279999,82.620003,MSTR,92900
2010-07-29,80.050003,80.050003,82.220001,80.040001,82.220001,MSTR,137900
2010-07-30,82.989998,82.989998,83.029999,80.040001,80.75,MSTR,114400
2010-08-02,84.379997,84.379997,84.830002,83.669998,84.010002,MSTR,141000
