Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,16.294324,20.49,20.709999,20.33,20.709999,MXIM,2541100
2010-01-05,16.071658,20.209999,20.549999,20.10,20.50,MXIM,3906700
2010-01-06,15.896708,19.99,20.40,19.91,20.120001,MXIM,3572000
2010-01-07,15.809232,19.879999,19.969999,19.43,19.90,MXIM,3251500
2010-01-08,15.90466,20.00,20.030001,19.75,19.879999,MXIM,2567600
2010-01-11,15.769471,19.83,20.049999,19.620001,19.860001,MXIM,2615000
2010-01-12,15.125332,19.02,19.75,19.00,19.75,MXIM,4269700
2010-01-13,15.379807,19.34,19.51,18.65,19.27,MXIM,5571700
2010-01-14,15.32414,19.27,19.32,19.02,19.23,MXIM,2798200
2010-01-15,14.831095,18.65,19.41,18.549999,19.41,MXIM,4633700
2010-01-19,14.998095,18.860001,18.969999,18.530001,18.690001,MXIM,3249900
2010-01-20,15.021951,18.889999,18.959999,18.34,18.75,MXIM,4838600
2010-01-21,14.902666,18.74,19.34,18.49,18.91,MXIM,3931300
2010-01-22,14.274433,17.950001,18.809999,17.879999,18.74,MXIM,4929700
2010-01-25,14.409623,18.120001,18.27,17.83,17.90,MXIM,2916000
2010-01-26,14.274433,17.950001,18.299999,17.780001,17.959999,MXIM,2751900
2010-01-27,14.632287,18.40,18.42,17.610001,17.790001,MXIM,4812400
2010-01-28,14.409623,18.120001,18.42,17.48,18.389999,MXIM,8101100
2010-01-29,13.900673,17.48,19.040001,17.280001,18.969999,MXIM,9718500
2010-02-01,14.234671,17.90,17.91,17.52,17.60,MXIM,6741500
2010-02-02,14.584574,18.34,18.389999,17.889999,18.00,MXIM,5278700
2010-02-03,14.449384,18.17,18.41,17.91,18.209999,MXIM,3933900
2010-02-04,13.845007,17.41,17.93,17.26,17.93,MXIM,4700400
2010-02-05,14.043815,17.66,17.77,17.280001,17.42,MXIM,4998600
2010-02-08,14.019957,17.629999,17.93,17.450001,17.91,MXIM,2808100
2010-02-09,14.147196,17.790001,17.959999,17.530001,17.84,MXIM,3160800
2010-02-10,14.290337,17.969999,18.10,17.65,17.719999,MXIM,3185000
2010-02-11,14.417574,18.129999,18.32,17.66,17.92,MXIM,4247000
2010-02-12,14.520955,18.26,18.370001,17.709999,17.780001,MXIM,2930700
2010-02-16,14.847,18.67,18.68,18.200001,18.299999,MXIM,2957300
2010-02-17,14.822886,18.440001,18.620001,18.10,18.620001,MXIM,2218300
2010-02-18,15.088154,18.77,18.870001,18.370001,18.469999,MXIM,2555100
2010-02-19,15.047961,18.719999,18.84,18.50,18.719999,MXIM,2099900
2010-02-22,15.096193,18.780001,18.940001,18.620001,18.85,MXIM,1822000
2010-02-23,14.638,18.209999,18.84,18.120001,18.780001,MXIM,2583500
2010-02-24,15.023847,18.690001,18.73,18.309999,18.34,MXIM,2629900
2010-02-25,14.863077,18.49,18.49,18.139999,18.370001,MXIM,3146300
2010-02-26,14.887193,18.52,18.60,18.120001,18.450001,MXIM,3942900
2010-03-01,15.1605,18.860001,18.92,18.59,18.639999,MXIM,2077700
2010-03-02,15.144423,18.84,19.049999,18.75,18.889999,MXIM,2182700
2010-03-03,15.031885,18.700001,19.08,18.65,18.84,MXIM,1573600
2010-03-04,15.096193,18.780001,18.799999,18.48,18.66,MXIM,2062600
2010-03-05,15.289115,19.02,19.10,18.709999,18.780001,MXIM,2148200
2010-03-08,15.200692,18.91,19.15,18.879999,19.040001,MXIM,1583800
2010-03-09,15.20873,18.92,19.030001,18.709999,18.74,MXIM,2240200
2010-03-10,15.506153,19.290001,19.32,18.92,18.92,MXIM,1812100
2010-03-11,15.385575,19.139999,19.190001,18.93,19.190001,MXIM,1839900
2010-03-12,15.361461,19.110001,19.26,19.040001,19.15,MXIM,2591900
2010-03-15,15.305192,19.040001,19.25,18.959999,19.110001,MXIM,2899600
2010-03-16,15.642805,19.459999,19.48,18.860001,19.09,MXIM,2650400
2010-03-17,15.739267,19.58,19.84,19.40,19.43,MXIM,1645800
2010-03-18,15.522229,19.309999,19.709999,19.24,19.67,MXIM,1802800
2010-03-19,15.385575,19.139999,19.51,18.92,19.42,MXIM,4154700
2010-03-22,15.650844,19.469999,19.610001,19.00,19.10,MXIM,2840200
2010-03-23,15.867882,19.74,19.870001,19.440001,19.60,MXIM,1943400
2010-03-24,15.67496,19.50,19.969999,19.450001,19.719999,MXIM,4883800
2010-03-25,15.570461,19.370001,19.790001,19.35,19.57,MXIM,3126600
2010-03-26,15.449883,19.219999,19.610001,19.17,19.459999,MXIM,2243000
2010-03-29,15.490076,19.27,19.50,19.16,19.190001,MXIM,2690200
2010-03-30,15.62673,19.440001,19.530001,19.18,19.26,MXIM,2104000
2010-03-31,15.586536,19.389999,19.73,19.32,19.469999,MXIM,3065600
2010-04-01,15.62673,19.440001,19.98,19.26,19.50,MXIM,2341400
2010-04-05,15.940228,19.83,19.959999,19.50,19.549999,MXIM,1876600
2010-04-06,15.867882,19.74,19.969999,19.639999,19.690001,MXIM,1911400
2010-04-07,15.996497,19.90,19.99,19.59,19.67,MXIM,1946100
2010-04-08,15.642805,19.459999,19.75,19.280001,19.59,MXIM,2326900
2010-04-09,15.948267,19.84,19.870001,19.48,19.549999,MXIM,2673700
2010-04-12,15.988459,19.889999,19.99,19.639999,19.780001,MXIM,1914000
2010-04-13,16.229613,20.190001,20.24,19.83,20.00,MXIM,2787300
2010-04-14,17.009341,21.16,21.299999,20.27,20.27,MXIM,6465000
2010-04-15,17.097764,21.27,21.360001,20.889999,21.129999,MXIM,3026300
2010-04-16,16.816419,20.92,21.280001,20.530001,21.24,MXIM,3950900
2010-04-19,16.543111,20.58,20.889999,20.25,20.889999,MXIM,2738600
2010-04-20,16.727995,20.809999,20.92,20.65,20.700001,MXIM,2248300
2010-04-21,16.478804,20.50,21.049999,20.290001,20.75,MXIM,3667200
2010-04-22,16.518996,20.549999,20.60,19.84,20.18,MXIM,3038800
2010-04-23,16.663688,20.73,20.75,20.190001,20.459999,MXIM,2278000
2010-04-26,16.703881,20.780001,20.879999,20.51,20.700001,MXIM,2416100
2010-04-27,16.181381,20.129999,20.85,20.10,20.700001,MXIM,4547200
2010-04-28,16.34215,20.33,20.559999,19.98,20.290001,MXIM,2347000
2010-04-29,16.679765,20.75,20.83,20.190001,20.389999,MXIM,4211200
2010-04-30,15.602614,19.41,20.10,18.99,20.030001,MXIM,11543900
2010-05-03,15.851805,19.719999,19.870001,19.48,19.66,MXIM,4075700
2010-05-04,15.289115,19.02,19.540001,18.809999,19.440001,MXIM,7725700
2010-05-05,15.031885,18.700001,19.16,18.559999,18.90,MXIM,5283900
2010-05-06,14.372732,17.879999,18.91,16.57,18.620001,MXIM,7676600
2010-05-07,14.871116,18.50,18.610001,17.219999,17.790001,MXIM,11044900
2010-05-10,15.289115,19.02,19.41,18.66,19.35,MXIM,8565000
2010-05-11,15.498115,19.280001,19.540001,18.700001,18.799999,MXIM,6917300
2010-05-12,15.691037,19.52,19.65,19.219999,19.219999,MXIM,5252200
2010-05-13,15.441844,19.209999,19.59,19.049999,19.35,MXIM,7974000
2010-05-14,14.830924,18.450001,19.129999,18.18,19.040001,MXIM,6550100
2010-05-17,14.935423,18.58,18.68,17.91,18.50,MXIM,5217500
2010-05-18,14.621925,18.190001,18.709999,17.969999,18.690001,MXIM,7343000
2010-05-19,14.768225,18.17,18.26,17.610001,17.959999,MXIM,5828400
2010-05-20,14.30494,17.60,18.030001,17.34,17.90,MXIM,5195300
2010-05-21,14.378091,17.690001,18.200001,17.280001,17.33,MXIM,5855000
2010-05-24,14.239918,17.52,17.799999,17.450001,17.65,MXIM,3798200
2010-05-25,14.215534,17.49,17.530001,16.719999,17.129999,MXIM,6305600
2010-05-26,14.142383,17.40,17.799999,17.32,17.360001,MXIM,5706500
2010-05-27,14.605668,17.969999,17.98,17.75,17.799999,MXIM,3241500
2010-05-28,14.434985,17.76,17.969999,17.379999,17.950001,MXIM,6624800
2010-06-01,14.2643,17.549999,18.049999,17.49,17.610001,MXIM,4631000
2010-06-02,14.491879,17.83,17.84,17.48,17.559999,MXIM,4147800
2010-06-03,14.662564,18.040001,18.07,17.49,17.75,MXIM,5498400
2010-06-04,13.914806,17.120001,18.059999,17.040001,17.639999,MXIM,6364400
2010-06-07,13.540926,16.66,17.41,16.629999,17.200001,MXIM,4338100
2010-06-08,13.56531,16.690001,16.77,16.32,16.75,MXIM,3435700
2010-06-09,13.557182,16.68,17.540001,16.66,16.780001,MXIM,5748200
2010-06-10,14.020467,17.25,17.290001,16.91,16.93,MXIM,3629300
2010-06-11,14.239918,17.52,17.68,16.91,17.00,MXIM,4323100
2010-06-14,14.183023,17.450001,17.85,17.440001,17.66,MXIM,3448600
2010-06-15,14.760097,18.16,18.25,17.540001,17.540001,MXIM,4159100
2010-06-16,14.662564,18.040001,18.209999,17.85,18.049999,MXIM,2077500
2010-06-17,14.882014,18.309999,18.34,17.82,18.10,MXIM,3379500
2010-06-18,14.711331,18.10,18.40,18.040001,18.280001,MXIM,2401700
2010-06-21,14.589414,17.950001,18.360001,17.84,18.25,MXIM,1844800
2010-06-22,14.426857,17.75,18.290001,17.66,17.959999,MXIM,2965100
2010-06-23,14.418729,17.74,17.92,17.51,17.82,MXIM,3431700
2010-06-24,14.085489,17.33,17.68,17.190001,17.629999,MXIM,3973400
