Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,16.379999,16.379999,16.42,16.200001,16.35,N,154800
2010-01-05,16.200001,16.200001,16.379999,15.92,16.26,N,98800
2010-01-06,16.120001,16.120001,16.309999,16.030001,16.200001,N,104400
2010-01-07,16.07,16.07,16.299999,15.91,16.15,N,37500
2010-01-08,16.200001,16.200001,16.200001,15.88,15.97,N,47700
2010-01-11,16.16,16.16,16.40,15.99,16.299999,N,84000
2010-01-12,15.63,15.63,16.030001,15.58,16.02,N,69900
2010-01-13,15.84,15.84,15.90,15.34,15.65,N,39400
2010-01-14,17.82,17.82,18.00,16.16,16.25,N,599300
2010-01-15,16.75,16.75,17.90,16.65,17.809999,N,258600
2010-01-19,17.58,17.58,17.58,16.84,16.85,N,180000
2010-01-20,17.25,17.25,17.49,16.889999,17.389999,N,333300
2010-01-21,16.57,16.57,17.620001,16.52,17.33,N,105500
2010-01-22,15.65,15.65,16.530001,15.57,16.440001,N,152800
2010-01-25,15.89,15.89,16.07,15.45,15.81,N,237900
2010-01-26,15.61,15.61,15.88,15.32,15.79,N,239700
2010-01-27,15.82,15.82,15.90,15.41,15.49,N,104900
2010-01-28,15.65,15.65,15.87,15.45,15.85,N,169300
2010-01-29,15.79,15.79,16.10,15.56,15.58,N,260000
2010-02-01,15.4,15.40,15.86,15.28,15.86,N,112500
2010-02-02,15.3,15.30,15.35,15.04,15.33,N,95900
2010-02-03,15.47,15.47,15.57,15.16,15.16,N,133000
2010-02-04,14.51,14.51,15.46,14.38,15.30,N,351100
2010-02-05,12.16,12.16,14.37,11.75,14.19,N,2380300
2010-02-08,12.13,12.13,12.40,11.62,12.40,N,574500
2010-02-09,12.66,12.66,12.83,12.21,12.32,N,286400
2010-02-10,12.63,12.63,12.68,12.36,12.61,N,272800
2010-02-11,12.56,12.56,12.63,12.40,12.56,N,399100
2010-02-12,12.69,12.69,12.69,12.28,12.41,N,193500
2010-02-16,12.7,12.70,12.87,12.50,12.84,N,154600
2010-02-17,12.79,12.79,12.94,12.65,12.69,N,262800
2010-02-18,13.13,13.13,13.18,12.70,12.82,N,153300
2010-02-19,13.03,13.03,13.27,12.90,13.15,N,121400
2010-02-22,12.93,12.93,13.10,12.83,13.03,N,134300
2010-02-23,12.37,12.37,12.88,12.23,12.84,N,400200
2010-02-24,12.4,12.40,12.58,12.38,12.44,N,136700
2010-02-25,12.15,12.15,12.22,12.01,12.18,N,160100
2010-02-26,12.36,12.36,12.41,11.98,12.14,N,175500
2010-03-01,12.48,12.48,12.53,12.27,12.46,N,96300
2010-03-02,12.58,12.58,12.70,12.45,12.50,N,105500
2010-03-03,12.4,12.40,12.65,12.37,12.58,N,92800
2010-03-04,12.41,12.41,12.52,12.32,12.40,N,44200
2010-03-05,12.54,12.54,12.63,12.36,12.45,N,269300
2010-03-08,12.57,12.57,12.63,12.48,12.48,N,54700
2010-03-09,12.69,12.69,12.69,12.49,12.49,N,131800
2010-03-10,13.08,13.08,13.13,12.65,12.65,N,190800
2010-03-11,13.8,13.80,13.87,12.92,12.96,N,482800
2010-03-12,14.06,14.06,14.20,13.81,13.81,N,270300
2010-03-15,13.98,13.98,14.05,13.84,13.99,N,248700
2010-03-16,14.0,14.00,14.08,13.90,14.07,N,168200
2010-03-17,14.25,14.25,14.33,14.03,14.10,N,146700
2010-03-18,14.43,14.43,14.49,14.01,14.21,N,179000
2010-03-19,14.08,14.08,14.51,13.96,14.08,N,161700
2010-03-22,14.59,14.59,14.65,13.93,13.94,N,162500
2010-03-23,14.68,14.68,14.71,14.49,14.55,N,119000
2010-03-24,14.17,14.17,14.66,14.02,14.58,N,243600
2010-03-25,14.21,14.21,14.70,14.05,14.27,N,157900
2010-03-26,14.03,14.03,14.29,13.88,14.22,N,261400
2010-03-29,14.22,14.22,14.28,13.91,14.11,N,121500
2010-03-30,14.43,14.43,14.48,14.13,14.28,N,81200
2010-03-31,14.54,14.54,14.73,14.24,14.31,N,130300
2010-04-01,14.2,14.20,14.83,14.00,14.65,N,150700
2010-04-05,14.51,14.51,14.51,14.13,14.19,N,93600
2010-04-06,14.25,14.25,14.46,14.15,14.34,N,95400
2010-04-07,14.19,14.19,14.44,14.05,14.19,N,89000
2010-04-08,14.12,14.12,14.27,13.98,14.15,N,97800
2010-04-09,14.33,14.33,14.39,13.93,14.21,N,102700
2010-04-12,14.78,14.78,14.78,14.29,14.46,N,150000
2010-04-13,14.56,14.56,14.78,14.53,14.78,N,68800
2010-04-14,14.83,14.83,14.85,14.52,14.58,N,105200
2010-04-15,14.98,14.98,15.13,14.77,14.77,N,110300
2010-04-16,14.33,14.33,15.16,14.33,14.93,N,170700
2010-04-19,14.07,14.07,14.41,13.92,14.37,N,194000
2010-04-20,15.03,15.03,15.03,14.01,14.10,N,224900
2010-04-21,15.23,15.23,15.35,14.92,15.04,N,137900
2010-04-22,15.43,15.43,15.44,14.85,15.19,N,113700
2010-04-23,15.24,15.24,15.47,15.03,15.47,N,102100
2010-04-26,15.39,15.39,15.49,15.03,15.18,N,85800
2010-04-27,14.99,14.99,15.55,14.94,15.35,N,120500
2010-04-28,14.92,14.92,15.36,14.74,15.12,N,71500
2010-04-29,14.79,14.79,15.05,14.66,15.01,N,114700
2010-04-30,14.09,14.09,14.85,14.08,14.75,N,184700
2010-05-03,14.55,14.55,14.56,14.10,14.21,N,279300
2010-05-04,15.14,15.14,15.88,13.96,14.12,N,671200
2010-05-05,16.25,16.25,16.25,14.88,15.00,N,459500
2010-05-06,15.6,15.60,16.41,15.00,16.120001,N,781400
2010-05-07,14.68,14.68,15.55,14.26,15.50,N,621800
2010-05-10,15.23,15.23,15.59,15.05,15.09,N,217900
2010-05-11,15.41,15.41,15.78,15.04,15.04,N,154500
2010-05-12,15.97,15.97,16.00,15.03,15.49,N,229000
2010-05-13,15.91,15.91,16.219999,15.70,15.84,N,148500
2010-05-14,15.41,15.41,15.82,15.16,15.73,N,99300
2010-05-17,15.1,15.10,15.54,14.68,15.36,N,322500
2010-05-18,14.96,14.96,15.49,14.85,15.17,N,164200
