Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,7.64,53.479999,55.73,52.960001,55.519999,NFLX,17239600
2010-01-05,7.358572,51.510001,53.599998,50.810001,53.570001,NFLX,23753100
2010-01-06,7.617143,53.319999,53.710001,50.380002,51.530001,NFLX,23290400
2010-01-07,7.485714,52.400001,54.300001,52.240001,54.12,NFLX,9955400
2010-01-08,7.614286,53.300002,54.199999,52.260001,52.49,NFLX,8180900
2010-01-11,7.604286,53.23,53.929999,52.700001,53.619999,NFLX,6783700
2010-01-12,7.481429,52.37,53.08,52.159999,52.700001,NFLX,6330100
2010-01-13,7.708571,53.96,54.280001,52.909999,53.290001,NFLX,14422100
2010-01-14,7.284286,50.989999,53.029999,50.89,52.63,NFLX,17685500
2010-01-15,7.278572,50.950001,51.849998,50.630001,50.719999,NFLX,13031200
2010-01-19,7.314286,51.20,51.680001,50.699999,50.75,NFLX,5302500
2010-01-20,7.32,51.240001,52.449999,50.549999,50.859999,NFLX,9685200
2010-01-21,7.312857,51.19,52.179999,50.500001,50.520001,NFLX,8614900
2010-01-22,7.27,50.89,52.390001,50.500001,51.080001,NFLX,9395400
2010-01-25,7.018571,49.13,51.50,48.519999,51.05,NFLX,13791400
2010-01-26,7.135714,49.949998,50.249999,48.56,48.72,NFLX,11343500
2010-01-27,7.281428,50.969998,51.18,48.949999,50.00,NFLX,23347100
2010-01-28,9.005714,63.040001,63.849999,60.730001,61.689997,NFLX,77352800
2010-01-29,8.892858,62.250003,64.570003,61.55,62.740001,NFLX,24604300
2010-02-01,8.718572,61.030002,62.869997,59.729999,61.809999,NFLX,18914000
2010-02-02,8.835714,61.85,62.150001,60.869998,60.95,NFLX,10242400
2010-02-03,8.85,61.950003,62.879997,61.330002,61.85,NFLX,8761200
2010-02-04,8.62,60.339999,62.250003,60.130001,61.350002,NFLX,11026400
2010-02-05,8.691428,60.839997,61.010001,59.280002,60.170002,NFLX,11099200
2010-02-08,8.7,60.899999,61.709997,59.999998,60.94,NFLX,9346400
2010-02-09,8.875714,62.13,62.160001,60.97,61.060002,NFLX,8811600
2010-02-10,8.784286,61.489999,62.43,61.040002,62.11,NFLX,5807900
2010-02-11,9.051429,63.360002,63.489998,61.100003,61.209999,NFLX,7203700
2010-02-12,9.025714,63.179997,63.179997,62.079999,63.00,NFLX,8408400
2010-02-16,9.265715,64.860003,65.009999,63.499998,63.620001,NFLX,9922500
2010-02-17,9.215714,64.510001,64.790001,63.430003,64.790001,NFLX,8134000
2010-02-18,9.442857,66.099998,66.270001,63.89,63.910001,NFLX,8806000
2010-02-19,9.521428,66.649997,67.07,65.529998,65.849998,NFLX,8813000
2010-02-22,9.324286,65.269999,67.299998,63.809999,67.039999,NFLX,35298200
2010-02-23,9.192857,64.349998,65.249998,64.17,64.860003,NFLX,13049400
2010-02-24,9.241428,64.689999,65.380001,64.16,64.709999,NFLX,12005700
2010-02-25,9.372857,65.61,65.62,63.100002,63.990003,NFLX,10717700
2010-02-26,9.435715,66.050003,66.830001,65.299999,65.660001,NFLX,8620500
2010-03-01,9.957143,69.70,69.750001,66.020002,66.020002,NFLX,12866700
2010-03-02,9.854285,68.979997,70.00,68.82,69.99,NFLX,11956700
2010-03-03,9.65,67.549997,68.390003,65.62,66.129998,NFLX,22049300
2010-03-04,9.715714,68.010001,68.570001,67.140001,67.200003,NFLX,7063000
2010-03-05,9.664286,67.65,68.699997,67.029999,68.25,NFLX,9117500
2010-03-08,9.811429,68.680003,68.759998,67.819997,67.990001,NFLX,6064100
2010-03-09,9.991428,69.939999,71.349998,68.149998,68.199999,NFLX,14179900
2010-03-10,10.182858,71.280003,71.550002,70.070002,70.27,NFLX,7744800
2010-03-11,10.17,71.190001,71.590003,70.430003,71.099998,NFLX,8457400
2010-03-12,9.997143,69.98,70.499998,69.319998,70.149997,NFLX,9369500
2010-03-15,9.942857,69.599998,69.98,69.160001,69.98,NFLX,7012600
2010-03-16,10.09,70.630001,70.849999,69.550003,69.550003,NFLX,8498000
2010-03-17,10.131429,70.920001,71.74,70.400002,70.900001,NFLX,4390400
2010-03-18,10.077143,70.539999,71.129999,70.439997,70.710003,NFLX,3593100
2010-03-19,10.064285,70.449997,70.900001,70.070002,70.700003,NFLX,9905700
2010-03-22,10.412857,72.889999,73.000002,70.050001,70.350001,NFLX,7216300
2010-03-23,10.422857,72.960001,73.49,72.03,73.000002,NFLX,4979100
2010-03-24,10.338572,72.370001,73.169999,72.249998,72.93,NFLX,3399900
2010-03-25,10.505714,73.540001,75.000001,72.559999,72.680001,NFLX,8349600
2010-03-26,10.614285,74.299998,74.909999,73.340003,73.530001,NFLX,5427800
2010-03-29,10.557143,73.900002,75.000001,73.649997,74.899999,NFLX,5602100
2010-03-30,10.722857,75.060002,75.650002,74.430001,74.899999,NFLX,7662200
2010-03-31,10.534286,73.739999,75.060002,73.719998,74.299998,NFLX,5714800
2010-04-01,10.714286,75.000001,75.699997,73.620003,73.620003,NFLX,13577200
2010-04-05,11.427143,79.990002,80.060003,75.570001,75.580001,NFLX,16663500
2010-04-06,11.91,83.369999,83.969999,79.839998,80.419998,NFLX,27422500
2010-04-07,11.39,79.730002,82.370003,79.199997,82.090003,NFLX,25214700
2010-04-08,11.69,81.829997,82.000001,79.269999,79.269999,NFLX,13912500
2010-04-09,11.774285,82.419997,82.499999,80.429998,81.09,NFLX,11563300
2010-04-12,11.882857,83.180001,83.250003,81.549997,82.300001,NFLX,9430400
2010-04-13,12.34,86.380001,86.650001,82.999997,83.279997,NFLX,17424400
2010-04-14,12.51,87.570002,89.100003,85.820002,86.960001,NFLX,18056500
2010-04-15,12.404285,86.829998,87.870002,85.500001,87.250001,NFLX,11999400
2010-04-16,12.187143,85.310003,86.90,84.179997,86.460003,NFLX,10971800
2010-04-19,12.114285,84.799998,86.599999,82.769999,85.250002,NFLX,13470800
2010-04-20,12.438571,87.069997,87.419998,84.86,85.079998,NFLX,12414500
2010-04-21,12.425714,86.980001,89.000001,85.389998,88.450002,NFLX,24311700
2010-04-22,14.321428,100.249998,102.490003,90.649999,91.00,NFLX,90442100
2010-04-23,14.247143,99.73,100.559999,96.360003,100.009999,NFLX,29817900
2010-04-26,15.452857,108.169999,109.700001,100.440002,100.440002,NFLX,47215000
2010-04-27,14.581429,102.07,106.059998,101.630003,105.070002,NFLX,34263600
2010-04-28,14.198571,99.389998,102.760002,97.800002,101.530001,NFLX,22770300
2010-04-29,14.738571,103.169998,103.950003,99.359998,100.809998,NFLX,18078200
2010-04-30,14.128572,98.900001,103.870001,98.58,103.85,NFLX,13059200
2010-05-03,14.57,101.989998,103.809999,99.000003,99.959998,NFLX,13974100
2010-05-04,14.194285,99.359998,100.889999,97.850003,100.02,NFLX,15383900
2010-05-05,14.032857,98.229999,101.689998,96.209999,97.510002,NFLX,14749700
2010-05-06,13.852858,96.970003,100.990002,89.999997,97.099999,NFLX,24448900
2010-05-07,13.012857,91.090002,99.999999,90.43,96.999997,NFLX,25908400
2010-05-10,13.928572,97.500002,97.959999,95.009998,96.23,NFLX,18567500
2010-05-11,14.26,99.820002,102.150002,95.579998,95.65,NFLX,23100700
2010-05-12,15.404285,107.829998,107.91,101.429998,101.689998,NFLX,27244700
2010-05-13,15.715714,110.010001,119.499998,107.209997,108.449999,NFLX,71549800
2010-05-14,14.365714,100.559999,105.970002,100.03,105.499998,NFLX,34964300
2010-05-17,15.192857,106.349998,107.04,101.310002,101.469999,NFLX,31577700
2010-05-18,14.572857,102.009998,107.730002,100.599999,105.390002,NFLX,27498100
2010-05-19,14.372857,100.61,104.490002,97.359999,101.040003,NFLX,22927100
2010-05-20,13.57,94.989998,97.969999,92.989999,96.749998,NFLX,28922600
2010-05-21,14.21,99.47,99.989999,90.810002,91.430003,NFLX,30009000
2010-05-24,14.517143,101.620003,104.359999,100.009999,101.379997,NFLX,18433100
