Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,15.08,15.08,15.10,14.70,14.83,NTCT,241600
2010-01-05,15.47,15.47,15.66,14.91,15.02,NTCT,410600
2010-01-06,15.1,15.10,15.62,15.00,15.38,NTCT,340900
2010-01-07,14.67,14.67,15.04,14.38,14.98,NTCT,184200
2010-01-08,14.54,14.54,14.72,14.41,14.55,NTCT,235600
2010-01-11,14.9,14.90,14.91,14.30,14.65,NTCT,177300
2010-01-12,14.42,14.42,14.89,14.32,14.81,NTCT,241800
2010-01-13,14.91,14.91,14.93,14.44,14.44,NTCT,165400
2010-01-14,14.97,14.97,15.08,14.84,14.85,NTCT,103400
2010-01-15,14.9,14.90,15.11,14.63,15.02,NTCT,215100
2010-01-19,15.54,15.54,15.54,14.92,14.97,NTCT,201000
2010-01-20,14.97,14.97,15.39,14.81,15.39,NTCT,261700
2010-01-21,14.48,14.48,15.00,14.25,14.97,NTCT,475200
2010-01-22,14.66,14.66,14.93,14.15,14.15,NTCT,464200
2010-01-25,14.81,14.81,14.83,14.51,14.76,NTCT,329200
2010-01-26,14.33,14.33,14.78,14.22,14.69,NTCT,450800
2010-01-27,14.53,14.53,14.55,14.23,14.26,NTCT,173500
2010-01-28,14.27,14.27,14.56,14.00,14.51,NTCT,246200
2010-01-29,14.04,14.04,14.38,13.91,14.27,NTCT,191100
2010-02-01,14.19,14.19,14.22,13.69,13.92,NTCT,212700
2010-02-02,14.54,14.54,14.60,14.15,14.20,NTCT,264900
2010-02-03,14.57,14.57,14.68,14.41,14.43,NTCT,217300
2010-02-04,14.02,14.02,14.46,13.99,14.41,NTCT,225900
2010-02-05,14.67,14.67,14.73,13.84,14.09,NTCT,327200
2010-02-08,14.54,14.54,14.65,14.46,14.57,NTCT,351900
2010-02-09,14.75,14.75,15.00,14.56,14.64,NTCT,294100
2010-02-10,14.53,14.53,14.71,14.46,14.67,NTCT,183900
2010-02-11,14.64,14.64,14.71,14.42,14.45,NTCT,147800
2010-02-12,15.09,15.09,15.09,14.44,14.48,NTCT,276100
2010-02-16,15.29,15.29,15.29,14.97,15.11,NTCT,233800
2010-02-17,15.12,15.12,15.36,14.95,15.27,NTCT,159800
2010-02-18,15.24,15.24,15.26,15.01,15.08,NTCT,128600
2010-02-19,15.27,15.27,15.27,14.99,15.20,NTCT,181200
2010-02-22,15.11,15.11,15.25,14.82,15.25,NTCT,317500
2010-02-23,14.7,14.70,15.16,14.60,15.01,NTCT,388600
2010-02-24,14.76,14.76,14.99,14.67,14.78,NTCT,262200
2010-02-25,14.49,14.49,14.59,14.32,14.56,NTCT,168900
2010-02-26,14.59,14.59,14.75,14.50,14.50,NTCT,147200
2010-03-01,14.92,14.92,14.95,14.51,14.62,NTCT,146300
2010-03-02,15.01,15.01,15.05,14.84,14.90,NTCT,253400
2010-03-03,15.1,15.10,15.32,14.84,15.06,NTCT,256800
2010-03-04,15.1,15.10,15.24,14.87,15.10,NTCT,228800
2010-03-05,15.31,15.31,15.46,15.03,15.12,NTCT,309300
2010-03-08,15.37,15.37,15.39,15.09,15.19,NTCT,190400
2010-03-09,15.5,15.50,15.58,15.20,15.35,NTCT,343100
2010-03-10,15.57,15.57,15.79,15.36,15.51,NTCT,221700
2010-03-11,15.49,15.49,15.52,15.15,15.41,NTCT,249900
2010-03-12,15.5,15.50,15.57,15.30,15.49,NTCT,100400
2010-03-15,15.53,15.53,15.62,15.42,15.43,NTCT,200200
2010-03-16,15.39,15.39,15.55,15.24,15.53,NTCT,205500
2010-03-17,15.43,15.43,15.53,15.31,15.46,NTCT,176900
2010-03-18,15.51,15.51,15.72,15.39,15.40,NTCT,228900
2010-03-19,15.38,15.38,15.69,15.28,15.50,NTCT,344900
2010-03-22,15.16,15.16,15.33,15.04,15.24,NTCT,211800
2010-03-23,15.29,15.29,15.40,15.00,15.12,NTCT,178700
2010-03-24,15.11,15.11,15.36,15.10,15.26,NTCT,152400
