Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,23.09,23.09,23.09,21.25,21.440001,RAX,2680500
2010-01-05,22.82,22.82,23.41,22.52,23.26,RAX,1239900
2010-01-06,22.049999,22.049999,22.959999,21.940001,22.75,RAX,885500
2010-01-07,21.73,21.73,22.27,21.60,22.24,RAX,942300
2010-01-08,21.85,21.85,21.99,21.60,21.610001,RAX,571200
2010-01-11,21.91,21.91,22.120001,21.540001,22.120001,RAX,729200
2010-01-12,21.18,21.18,22.00,20.799999,21.709999,RAX,865100
2010-01-13,22.139999,22.139999,22.42,21.15,21.41,RAX,1193900
2010-01-14,22.440001,22.440001,22.77,22.00,22.77,RAX,861600
2010-01-15,22.120001,22.120001,22.75,21.790001,22.620001,RAX,1284000
2010-01-19,22.440001,22.440001,22.469999,22.02,22.10,RAX,704600
2010-01-20,22.690001,22.690001,23.26,22.15,22.43,RAX,1305200
2010-01-21,22.309999,22.309999,23.09,21.620001,22.780001,RAX,1312800
2010-01-22,20.370001,20.370001,22.209999,20.32,22.209999,RAX,1733200
2010-01-25,20.469999,20.469999,21.17,20.42,21.17,RAX,914500
2010-01-26,19.709999,19.709999,20.459999,19.620001,20.459999,RAX,1049100
2010-01-27,19.290001,19.290001,19.99,19.01,19.76,RAX,1958100
2010-01-28,19.030001,19.030001,19.50,18.459999,19.290001,RAX,1314800
2010-01-29,18.219999,18.219999,19.389999,18.120001,19.139999,RAX,1657400
2010-02-01,18.92,18.92,18.959999,17.73,18.309999,RAX,1357700
2010-02-02,18.73,18.73,19.00,18.40,19.00,RAX,1169700
2010-02-03,18.870001,18.870001,19.290001,18.43,18.559999,RAX,1124600
2010-02-04,17.57,17.57,18.799999,17.50,18.799999,RAX,1492300
2010-02-05,17.450001,17.450001,17.549999,16.450001,17.549999,RAX,2231900
2010-02-08,17.110001,17.110001,17.700001,17.07,17.440001,RAX,663900
2010-02-09,17.25,17.25,17.50,16.84,17.25,RAX,1011800
2010-02-10,17.26,17.26,17.50,17.030001,17.15,RAX,600800
2010-02-11,18.24,18.24,18.27,17.10,17.280001,RAX,1087700
2010-02-12,18.24,18.24,18.379999,17.76,18.030001,RAX,1010100
2010-02-16,18.809999,18.809999,18.90,18.23,18.57,RAX,1445900
2010-02-17,20.110001,20.110001,20.24,19.129999,19.129999,RAX,2807800
2010-02-18,19.65,19.65,20.059999,19.48,20.00,RAX,1503900
2010-02-19,19.809999,19.809999,19.92,19.35,19.559999,RAX,1104400
2010-02-22,19.35,19.35,19.92,19.27,19.92,RAX,1204900
2010-02-23,19.639999,19.639999,19.84,18.92,19.27,RAX,2156700
2010-02-24,20.32,20.32,20.41,19.66,19.84,RAX,1615500
2010-02-25,19.92,19.92,20.129999,19.68,19.99,RAX,1239600
2010-02-26,19.83,19.83,20.040001,19.65,19.90,RAX,1186600
2010-03-01,19.83,19.83,20.09,19.709999,20.01,RAX,2564200
2010-03-02,19.379999,19.379999,20.09,19.309999,19.99,RAX,1575200
2010-03-03,19.1,19.10,19.76,18.889999,19.41,RAX,1536100
2010-03-04,19.18,19.18,19.290001,18.90,19.040001,RAX,1514500
2010-03-05,19.190001,19.190001,19.34,19.09,19.25,RAX,1359500
2010-03-08,19.16,19.16,19.50,19.049999,19.120001,RAX,1849300
2010-03-09,19.07,19.07,19.280001,19.00,19.110001,RAX,1542600
2010-03-10,19.51,19.51,19.51,18.91,19.00,RAX,1710800
2010-03-11,19.1,19.10,19.43,18.58,19.43,RAX,1803600
2010-03-12,18.75,18.75,19.24,18.549999,19.16,RAX,2914900
