Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,22.440001,22.440001,22.57,22.209999,22.209999,SNPS,1883600
2010-01-05,22.25,22.25,22.50,22.09,22.370001,SNPS,1723700
2010-01-06,22.209999,22.209999,22.290001,22.07,22.190001,SNPS,1214800
2010-01-07,22.15,22.15,22.219999,22.02,22.209999,SNPS,1024100
2010-01-08,22.309999,22.309999,22.32,22.059999,22.10,SNPS,736000
2010-01-11,22.120001,22.120001,22.35,22.02,22.33,SNPS,1097800
2010-01-12,21.799999,21.799999,22.08,21.780001,21.969999,SNPS,1981200
2010-01-13,22.01,22.01,22.049999,21.74,21.790001,SNPS,999700
2010-01-14,22.190001,22.190001,22.219999,21.950001,21.969999,SNPS,1026900
2010-01-15,21.969999,21.969999,22.200001,21.92,22.120001,SNPS,1210800
2010-01-19,21.98,21.98,22.040001,21.85,21.93,SNPS,1850700
2010-01-20,21.98,21.98,22.040001,21.700001,21.889999,SNPS,1636400
2010-01-21,22.219999,22.219999,22.35,21.950001,22.049999,SNPS,1906600
2010-01-22,21.889999,21.889999,22.27,21.879999,22.219999,SNPS,2363200
2010-01-25,21.74,21.74,22.030001,21.65,21.98,SNPS,1416100
2010-01-26,21.459999,21.459999,21.719999,21.389999,21.68,SNPS,1016300
2010-01-27,21.530001,21.530001,21.59,21.200001,21.379999,SNPS,1301500
2010-01-28,21.139999,21.139999,21.52,20.92,21.49,SNPS,1464800
2010-01-29,21.27,21.27,21.50,21.10,21.23,SNPS,1974700
2010-02-01,21.360001,21.360001,21.459999,21.219999,21.370001,SNPS,993800
2010-02-02,21.34,21.34,21.719999,21.24,21.33,SNPS,1374800
2010-02-03,21.4,21.40,21.450001,21.129999,21.26,SNPS,1293500
2010-02-04,21.049999,21.049999,21.26,21.02,21.25,SNPS,1207000
2010-02-05,21.17,21.17,21.200001,20.809999,21.07,SNPS,1299900
2010-02-08,20.950001,20.950001,21.24,20.889999,21.139999,SNPS,739000
2010-02-09,21.059999,21.059999,21.209999,20.870001,21.07,SNPS,953400
2010-02-10,21.139999,21.139999,21.24,20.99,21.02,SNPS,680100
2010-02-11,21.07,21.07,21.139999,20.90,21.040001,SNPS,1219600
2010-02-12,21.51,21.51,21.530001,20.709999,20.959999,SNPS,1527000
2010-02-16,21.209999,21.209999,21.620001,21.120001,21.50,SNPS,1799700
2010-02-17,22.1,22.10,22.17,21.15,21.15,SNPS,2296500
2010-02-18,21.790001,21.790001,22.139999,21.75,22.030001,SNPS,2045700
2010-02-19,21.35,21.35,21.809999,21.309999,21.700001,SNPS,2884300
2010-02-22,22.040001,22.040001,22.09,21.33,21.450001,SNPS,2116800
2010-02-23,21.9,21.90,22.16,21.860001,21.93,SNPS,1875700
2010-02-24,22.040001,22.040001,22.049999,21.889999,21.889999,SNPS,1516300
2010-02-25,22.02,22.02,22.030001,21.690001,21.93,SNPS,1411100
2010-02-26,21.9,21.90,22.07,21.85,22.07,SNPS,946800
2010-03-01,22.08,22.08,22.08,21.719999,21.719999,SNPS,2021800
