Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,14.925928,18.889999,18.969999,18.40,18.57,STX,11116900
2010-01-05,14.633574,18.52,19.040001,18.43,18.860001,STX,14536200
2010-01-06,14.530853,18.389999,18.639999,18.219999,18.43,STX,7171200
2010-01-07,14.254302,18.040001,18.41,17.940001,18.40,STX,8556300
2010-01-08,14.135779,17.889999,18.08,17.48,17.58,STX,11329000
2010-01-11,14.499248,18.35,18.65,18.219999,18.26,STX,11497500
2010-01-12,14.001453,17.719999,18.440001,17.57,18.27,STX,11522800
2010-01-13,14.372824,18.190001,18.299999,17.59,17.950001,STX,8800200
2010-01-14,14.491347,18.34,18.49,18.01,18.16,STX,6398700
2010-01-15,14.040961,17.77,18.60,17.530001,18.309999,STX,13716200
2010-01-19,14.349119,18.16,18.27,17.77,17.879999,STX,7802900
2010-01-20,14.03306,17.76,18.18,17.459999,18.15,STX,16283900
2010-01-21,15.400018,19.49,20.299999,19.34,19.84,STX,35144100
2010-01-22,14.538755,18.40,19.620001,18.27,19.370001,STX,20111600
2010-01-25,14.949633,18.92,19.059999,18.59,18.790001,STX,15582000
2010-01-26,15.257791,19.309999,19.620001,18.76,18.889999,STX,16018200
2010-01-27,15.076057,19.08,19.43,18.68,19.219999,STX,15416200
2010-01-28,14.50715,18.360001,19.280001,18.139999,19.190001,STX,14128500
2010-01-29,13.203402,16.709999,18.51,16.469999,18.35,STX,28653200
2010-02-01,14.14368,17.90,17.98,17.059999,17.23,STX,18205800
2010-02-02,14.680982,18.58,18.60,17.780001,17.879999,STX,17569900
2010-02-03,14.886421,18.84,18.870001,18.26,18.370001,STX,16905200
2010-02-04,14.238499,18.02,18.48,17.780001,18.17,STX,21505800
2010-02-05,14.238499,18.02,18.190001,17.469999,18.10,STX,23836800
2010-02-08,14.364923,18.18,18.74,17.84,18.049999,STX,14937100
2010-02-09,14.483445,18.33,18.74,18.219999,18.559999,STX,12415000
2010-02-10,14.601967,18.48,18.66,18.17,18.360001,STX,9770100
2010-02-11,14.823209,18.76,18.83,18.190001,18.49,STX,8142000
2010-02-12,14.775801,18.700001,18.870001,18.15,18.549999,STX,11482500
2010-02-16,15.589654,19.73,19.84,18.799999,18.799999,STX,19036400
2010-02-17,15.802995,20.00,20.049999,19.549999,19.940001,STX,13328300
2010-02-18,16.379804,20.73,20.809999,19.719999,19.879999,STX,17442500
2010-02-19,16.205972,20.51,20.940001,20.40,20.549999,STX,15071300
2010-02-22,16.379804,20.73,20.870001,20.379999,20.530001,STX,10665100
2010-02-23,16.063744,20.33,20.719999,20.030001,20.639999,STX,11630800
2010-02-24,15.40792,19.50,20.73,19.40,20.379999,STX,27780900
2010-02-25,15.400018,19.49,19.540001,18.610001,19.16,STX,28118900
2010-02-26,15.731881,19.91,20.00,19.40,19.67,STX,9090300
2010-03-01,16.869697,21.35,21.450001,20.00,20.10,STX,20620200
2010-03-02,16.601046,21.01,21.58,20.91,21.50,STX,13412000
2010-03-03,15.510639,19.629999,20.84,19.610001,20.75,STX,25207200
2010-03-04,15.589654,19.73,19.82,19.139999,19.809999,STX,15528100
2010-03-05,15.739783,19.92,20.10,19.51,19.84,STX,10340300
2010-03-08,15.716078,19.889999,20.24,19.639999,20.190001,STX,9933400
2010-03-09,15.486935,19.60,20.139999,19.50,19.879999,STX,12782500
2010-03-10,15.147171,19.17,19.90,19.00,19.719999,STX,25708800
2010-03-11,15.194579,19.23,19.27,18.389999,18.799999,STX,26402500
2010-03-12,15.226186,19.27,19.35,18.85,19.35,STX,14388000
2010-03-15,14.839013,18.780001,19.16,18.58,19.139999,STX,11815100
2010-03-16,15.115564,19.129999,19.25,18.67,18.98,STX,11810000
2010-03-17,15.265693,19.32,19.59,19.02,19.209999,STX,11421100
2010-03-18,15.265693,19.32,19.52,19.200001,19.41,STX,6879500
2010-03-19,14.957535,18.93,19.469999,18.77,19.40,STX,12289900
2010-03-22,15.573851,19.709999,19.940001,18.67,18.790001,STX,15350900
2010-03-23,16.158563,20.450001,20.610001,19.690001,19.76,STX,20338400
2010-03-24,15.8267,20.030001,20.299999,20.00,20.25,STX,10619300
2010-03-25,15.502739,19.620001,20.27,19.620001,20.17,STX,10167400
2010-03-26,14.957535,18.93,19.360001,18.799999,19.209999,STX,21547800
2010-03-29,14.93383,18.90,19.379999,18.83,19.120001,STX,10719000
2010-03-30,14.357021,18.17,18.93,18.129999,18.83,STX,25804100
2010-03-31,14.428135,18.26,18.610001,17.879999,17.969999,STX,12664100
2010-04-01,14.309612,18.110001,18.60,17.879999,18.52,STX,11090900
2010-04-05,14.601967,18.48,18.60,18.18,18.32,STX,14810100
2010-04-06,15.060254,19.059999,19.23,18.299999,18.41,STX,15020600
2010-04-07,14.894323,18.85,19.00,18.440001,18.84,STX,15168200
2010-04-08,14.759998,18.68,18.870001,18.389999,18.84,STX,9454200
2010-04-09,15.123466,19.139999,19.17,18.690001,18.83,STX,7965900
2010-04-12,15.076057,19.08,19.450001,19.030001,19.10,STX,10932500
2010-04-13,14.522952,18.379999,19.139999,18.32,18.879999,STX,21400400
2010-04-14,15.226186,19.27,19.58,18.58,18.60,STX,25927400
2010-04-15,15.558049,19.690001,19.91,19.08,19.110001,STX,13541700
2010-04-16,15.210383,19.25,19.950001,19.02,19.59,STX,14669500
2010-04-19,15.083959,19.09,19.10,18.58,19.00,STX,11932900
2010-04-20,15.273595,19.33,19.440001,18.84,19.24,STX,13691300
2010-04-21,15.439527,19.540001,20.32,19.299999,20.07,STX,28733300
2010-04-22,15.558049,19.690001,19.870001,19.030001,19.40,STX,11872000
2010-04-23,16.411411,20.77,20.90,19.82,19.82,STX,24285900
2010-04-26,16.166463,20.459999,20.83,20.27,20.809999,STX,10002200
2010-04-27,15.510639,19.629999,20.33,19.52,20.23,STX,15216000
2010-04-28,15.384215,19.469999,19.84,19.110001,19.719999,STX,16226500
2010-04-29,15.123466,19.139999,19.540001,18.98,19.459999,STX,18822600
2010-04-30,14.499248,18.35,19.209999,18.299999,19.18,STX,15765500
2010-05-03,14.973338,18.950001,19.16,18.51,18.540001,STX,14079600
2010-05-04,14.93383,18.90,18.950001,18.370001,18.92,STX,18722100
2010-05-05,14.50715,18.360001,19.030001,18.139999,18.66,STX,23427400
2010-05-06,14.104173,17.85,18.67,16.01,18.23,STX,28243000
2010-05-07,14.025158,17.75,18.33,17.23,17.76,STX,27272200
2010-05-10,14.601967,18.48,18.799999,18.299999,18.540001,STX,15719900
2010-05-11,14.538755,18.40,18.860001,18.24,18.40,STX,12584800
2010-05-12,15.004944,18.99,19.10,18.42,18.42,STX,10215300
2010-05-13,14.641475,18.530001,19.200001,18.40,18.790001,STX,11340100
2010-05-14,14.206892,17.98,18.32,17.73,18.25,STX,12244100
2010-05-17,14.096272,17.84,18.469999,17.43,18.120001,STX,15089400
2010-05-18,13.479954,17.059999,18.139999,16.75,18.02,STX,25750900
2010-05-19,13.132289,16.620001,17.42,16.450001,17.00,STX,23430600
2010-05-20,12.721411,16.10,16.540001,15.83,16.110001,STX,18181500
2010-05-21,12.918949,16.35,17.48,15.64,15.97,STX,19087900
2010-05-24,12.753016,16.139999,16.49,16.059999,16.17,STX,11175200
2010-05-25,12.263124,15.52,15.59,14.92,15.49,STX,31640500
2010-05-26,11.741625,14.86,16.040001,14.80,15.78,STX,26563700
2010-05-27,12.389548,15.68,15.88,14.86,15.37,STX,20741300
2010-05-28,12.1367,15.36,15.68,15.06,15.67,STX,13729100
2010-06-01,11.425565,14.46,15.46,14.44,15.21,STX,18220800
2010-06-02,12.152503,15.38,15.43,14.54,14.54,STX,17530400
2010-06-03,12.594987,15.94,16.040001,15.22,15.41,STX,21297100
2010-06-04,11.970768,15.15,15.77,15.05,15.42,STX,13224900
2010-06-07,11.472975,14.52,15.28,14.50,15.13,STX,13745600
2010-06-08,11.386058,14.41,14.85,14.19,14.38,STX,18049200
2010-06-09,11.44927,14.49,15.10,14.45,14.55,STX,18944900
2010-06-10,11.757428,14.88,14.95,14.50,14.88,STX,11341200
2010-06-11,11.654709,14.75,15.00,14.46,14.78,STX,14204800
2010-06-14,11.773231,14.90,15.31,14.82,15.00,STX,12525500
2010-06-15,12.342139,15.62,15.66,15.03,15.24,STX,11074900
2010-06-16,12.223617,15.47,15.71,15.34,15.57,STX,8879600
2010-06-17,12.271025,15.53,15.63,15.25,15.53,STX,7557800
2010-06-18,12.128799,15.35,15.56,15.24,15.51,STX,8109100
2010-06-21,11.749527,14.87,15.63,14.66,15.56,STX,12772300
2010-06-22,11.417664,14.45,15.00,14.41,14.93,STX,10019400
2010-06-23,11.307043,14.31,14.59,14.23,14.41,STX,13071000
2010-06-24,10.793445,13.66,14.24,13.31,14.21,STX,22789000
2010-06-25,10.809249,13.68,13.94,13.42,13.70,STX,16681800
2010-06-28,10.967279,13.88,14.24,13.85,14.01,STX,13067000
2010-06-29,10.572204,13.38,13.80,13.29,13.60,STX,15202500
2010-06-30,10.303553,13.04,13.62,13.00,13.40,STX,10643800
2010-07-01,10.50109,13.29,13.47,12.69,13.00,STX,16280400
2010-07-02,10.406272,13.17,13.53,13.05,13.52,STX,7621200
2010-07-06,10.074409,12.75,13.59,12.50,13.34,STX,17837100
2010-07-07,10.635416,13.46,13.60,12.98,13.32,STX,12131000
2010-07-08,10.81715,13.69,13.81,13.36,13.57,STX,12346300
2010-07-09,10.911968,13.81,13.84,13.58,13.75,STX,6378800
2010-07-12,11.117407,14.07,14.31,13.88,13.90,STX,11352400
2010-07-13,11.425565,14.46,14.60,13.96,14.32,STX,11722600
2010-07-14,11.836443,14.98,15.28,14.74,14.81,STX,20972800
2010-07-15,11.670512,14.77,14.99,14.50,14.92,STX,12874100
2010-07-16,11.18852,14.16,14.97,14.07,14.78,STX,9453000
2010-07-19,11.275437,14.27,14.43,13.97,14.16,STX,6073800
2010-07-20,11.480876,14.53,14.56,13.73,13.93,STX,14726500
2010-07-21,10.382568,13.14,14.65,13.01,14.61,STX,43121200
2010-07-22,10.414174,13.18,13.51,13.01,13.16,STX,15607600
2010-07-23,10.106015,12.79,13.20,12.67,13.13,STX,26418700
2010-07-26,10.516893,13.31,13.36,12.72,12.80,STX,17461000
2010-07-27,10.453681,13.23,13.55,13.08,13.30,STX,14705100
2010-07-28,10.145523,12.84,13.28,12.75,13.13,STX,10250100
2010-07-29,9.955887,12.60,12.99,12.38,12.99,STX,12129400
2010-07-30,9.916379,12.55,12.70,12.28,12.45,STX,9686000
2010-08-02,10.216636,12.93,13.04,12.60,12.85,STX,7746500
2010-08-03,9.853168,12.47,12.92,12.45,12.92,STX,12469800
2010-08-04,9.916379,12.55,12.60,12.18,12.44,STX,10880500
2010-08-05,9.876872,12.50,12.74,12.40,12.40,STX,5987900
2010-08-06,9.647728,12.21,12.44,12.17,12.43,STX,19607800
2010-08-09,9.379077,11.87,12.33,11.82,12.21,STX,19702300
2010-08-10,8.770663,11.10,11.70,10.96,11.62,STX,30586000
2010-08-11,8.912889,11.28,11.49,10.66,10.75,STX,30970200
2010-08-12,8.683746,10.99,11.29,10.85,11.00,STX,17926500
2010-08-13,8.833874,11.18,11.24,11.00,11.00,STX,15279700
2010-08-16,8.873381,11.23,11.45,11.00,11.01,STX,13837300
2010-08-17,8.699549,11.01,11.45,11.01,11.31,STX,12410300
2010-08-18,8.904988,11.27,11.45,10.94,11.00,STX,14868100
2010-08-19,8.770663,11.10,11.49,11.06,11.34,STX,11976600
2010-08-20,8.683746,10.99,11.31,10.92,11.21,STX,15925500
2010-08-23,8.581026,10.86,11.15,10.84,11.12,STX,10005800
2010-08-24,8.193853,10.37,10.75,10.35,10.73,STX,14050600
2010-08-25,8.33608,10.55,10.66,9.99,10.33,STX,10253600
2010-08-26,8.012119,10.14,10.61,10.12,10.61,STX,14822900
2010-08-27,8.399292,10.63,10.72,9.84,10.23,STX,16249300
2010-08-30,8.359784,10.58,10.84,10.52,10.64,STX,8835300
2010-08-31,8.012119,10.14,10.49,10.11,10.47,STX,12545600
2010-09-01,8.486208,10.74,11.20,10.40,10.41,STX,11776600
2010-09-02,8.683746,10.99,10.99,10.47,10.83,STX,11290900
2010-09-03,8.833874,11.18,11.38,10.99,11.19,STX,8511800
2010-09-07,8.565223,10.84,11.14,10.82,11.07,STX,8552500
2010-09-08,8.723253,11.04,11.12,10.39,10.69,STX,18083800
2010-09-09,8.715352,11.03,11.21,11.00,11.13,STX,9884200
2010-09-10,8.49411,10.75,11.05,10.59,11.04,STX,11052400
2010-09-13,8.881283,11.24,11.28,10.85,10.85,STX,12736100
2010-09-14,8.778563,11.11,11.40,10.90,11.15,STX,14945900
2010-09-15,8.999806,11.39,11.50,11.00,11.10,STX,13337700
2010-09-16,8.928692,11.30,11.37,11.14,11.35,STX,10312100
2010-09-17,8.818071,11.16,11.46,11.05,11.34,STX,11729500
2010-09-20,8.920791,11.29,11.32,10.92,11.19,STX,10945900
2010-09-21,9.031412,11.43,11.99,10.84,11.28,STX,41211800
2010-09-22,8.770663,11.10,11.35,10.80,11.20,STX,19018200
2010-09-23,8.762761,11.09,11.29,10.92,10.96,STX,12802200
2010-09-24,9.18154,11.62,11.65,11.20,11.22,STX,17772700
2010-09-27,9.12623,11.55,11.70,11.38,11.70,STX,8598100
2010-09-28,9.23685,11.69,11.70,11.26,11.58,STX,13482400
2010-09-29,9.489699,12.01,12.12,11.58,11.58,STX,16284300
2010-09-30,9.307964,11.78,12.12,11.63,12.07,STX,16269500
2010-10-01,9.23685,11.69,11.94,11.59,11.94,STX,10705600
2010-10-04,9.070919,11.48,11.67,11.30,11.63,STX,10609500
2010-10-05,9.426487,11.93,11.95,11.29,11.68,STX,19281000
2010-10-06,9.07882,11.49,11.92,11.42,11.80,STX,20768600
2010-10-07,9.379077,11.87,11.93,11.38,11.66,STX,16009100
2010-10-08,9.639827,12.20,12.41,11.92,12.16,STX,20065400
2010-10-11,9.718842,12.30,12.49,12.19,12.47,STX,12484300
2010-10-12,9.924281,12.56,12.62,12.13,12.44,STX,16318200
2010-10-13,10.074409,12.75,12.99,12.55,12.68,STX,14547900
2010-10-14,10.027,12.69,12.86,12.51,12.68,STX,19295700
2010-10-15,12.255223,15.51,15.62,14.50,15.04,STX,85933700
2010-10-18,12.579184,15.92,16.33,15.66,16.24,STX,40101600
2010-10-19,12.049784,15.25,15.67,15.21,15.58,STX,26065500
2010-10-20,12.018178,15.21,15.52,15.13,15.27,STX,22041500
2010-10-21,12.03398,15.23,15.47,14.83,15.17,STX,24145900
2010-10-22,11.994473,15.18,15.31,14.98,15.16,STX,11849800
