Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,14.15,14.15,14.15,13.93,14.00,TMH,55500
2010-01-05,13.99,13.99,14.20,13.90,14.03,TMH,57600
2010-01-06,14.04,14.04,14.05,13.80,13.86,TMH,70600
2010-01-07,14.0,14.00,14.15,13.82,13.94,TMH,107900
2010-01-08,14.0,14.00,14.05,14.00,14.00,TMH,31000
2010-01-11,14.09,14.09,14.09,14.00,14.00,TMH,41600
2010-01-12,14.12,14.12,14.33,14.04,14.04,TMH,88700
2010-01-13,14.25,14.25,14.26,14.00,14.02,TMH,11400
2010-01-14,14.91,14.91,14.98,14.00,14.09,TMH,75900
2010-01-15,15.3,15.30,15.50,14.72,14.96,TMH,247400
2010-01-19,15.31,15.31,15.31,14.75,15.20,TMH,72700
2010-01-20,15.21,15.21,15.30,14.91,15.30,TMH,141600
2010-01-21,15.07,15.07,15.41,14.86,15.26,TMH,98400
2010-01-22,14.9,14.90,15.16,14.79,14.97,TMH,80300
2010-01-25,14.93,14.93,15.27,14.51,15.18,TMH,112300
2010-01-26,15.0,15.00,15.21,14.76,15.02,TMH,60500
2010-01-27,14.75,14.75,14.98,14.75,14.86,TMH,18400
2010-01-28,14.74,14.74,14.92,14.56,14.72,TMH,44500
2010-01-29,14.75,14.75,15.14,14.63,14.74,TMH,90300
2010-02-01,15.0,15.00,15.00,14.70,14.75,TMH,40500
2010-02-02,14.99,14.99,15.20,14.79,14.97,TMH,32300
2010-02-03,15.0,15.00,15.25,14.62,14.99,TMH,26700
2010-02-04,14.82,14.82,15.09,14.51,14.96,TMH,84600
2010-02-05,14.86,14.86,15.01,14.26,14.45,TMH,44900
2010-02-08,14.4,14.40,14.99,14.27,14.99,TMH,52500
2010-02-09,14.48,14.48,14.65,13.58,14.37,TMH,94200
2010-02-10,14.39,14.39,15.25,14.22,14.45,TMH,136000
2010-02-11,14.98,14.98,15.17,14.07,14.46,TMH,50100
2010-02-12,15.08,15.08,15.11,14.59,14.74,TMH,23900
2010-02-16,14.95,14.95,15.00,14.25,15.00,TMH,35300
2010-02-17,14.75,14.75,14.87,14.43,14.85,TMH,34700
2010-02-18,14.88,14.88,15.00,14.55,14.59,TMH,40000
2010-02-19,14.71,14.71,15.05,14.51,14.95,TMH,67300
2010-02-22,14.97,14.97,15.00,14.67,14.71,TMH,19400
2010-02-23,14.53,14.53,15.00,14.51,15.00,TMH,61700
2010-02-24,14.2,14.20,14.67,14.02,14.53,TMH,35300
2010-02-25,14.31,14.31,14.36,14.00,14.08,TMH,50400
2010-02-26,14.5,14.50,14.62,14.32,14.32,TMH,58000
2010-03-01,14.52,14.52,14.60,14.34,14.60,TMH,40000
2010-03-02,14.49,14.49,14.54,14.25,14.52,TMH,31700
2010-03-03,14.5,14.50,14.62,14.28,14.44,TMH,45600
2010-03-04,14.54,14.54,14.75,14.39,14.57,TMH,60000
2010-03-05,14.3,14.30,14.52,14.25,14.52,TMH,12600
2010-03-08,14.25,14.25,14.40,14.25,14.28,TMH,48300
2010-03-09,14.37,14.37,14.50,14.25,14.29,TMH,50500
2010-03-10,14.41,14.41,14.49,14.26,14.35,TMH,35400
2010-03-11,14.8,14.80,14.93,14.29,14.30,TMH,73800
2010-03-12,15.0,15.00,15.24,14.75,14.78,TMH,77000
2010-03-15,14.81,14.81,15.00,14.62,14.97,TMH,78500
2010-03-16,15.2,15.20,15.53,14.72,14.76,TMH,169500
2010-03-17,15.9,15.90,16.00,15.11,15.12,TMH,84600
2010-03-18,15.73,15.73,15.97,15.57,15.95,TMH,67200
2010-03-19,16.0,16.00,16.00,14.71,16.00,TMH,167500
2010-03-22,16.030001,16.030001,16.629999,15.75,15.95,TMH,186300
2010-03-23,17.059999,17.059999,17.09,16.00,16.00,TMH,93000
2010-03-24,17.9,17.90,18.459999,16.90,17.00,TMH,192500
2010-03-25,17.969999,17.969999,18.10,17.40,18.00,TMH,477300
2010-03-26,17.41,17.41,18.200001,17.309999,17.879999,TMH,349300
2010-03-29,17.200001,17.200001,17.43,16.75,17.40,TMH,129300
2010-03-30,17.0,17.00,17.25,16.91,17.25,TMH,152900
2010-03-31,16.799999,16.799999,17.33,16.799999,17.040001,TMH,1423600
2010-04-01,16.5,16.50,16.870001,16.110001,16.83,TMH,157300
2010-04-05,16.440001,16.440001,16.549999,16.030001,16.50,TMH,129100
2010-04-06,16.139999,16.139999,16.450001,15.98,16.450001,TMH,156300
2010-04-07,16.129999,16.129999,16.139999,15.69,16.049999,TMH,92800
2010-04-08,16.35,16.35,16.450001,16.02,16.120001,TMH,100100
2010-04-09,16.559999,16.559999,16.620001,16.24,16.26,TMH,58000
2010-04-12,16.16,16.16,16.620001,16.02,16.620001,TMH,46600
2010-04-13,16.07,16.07,16.16,15.94,16.16,TMH,113800
2010-04-14,16.200001,16.200001,16.200001,16.01,16.139999,TMH,102500
2010-04-15,15.99,15.99,16.290001,15.90,16.120001,TMH,27100
2010-04-16,16.190001,16.190001,16.40,15.95,16.00,TMH,296800
2010-04-19,16.030001,16.030001,16.389999,15.98,16.07,TMH,121300
2010-04-20,16.16,16.16,16.23,15.94,16.049999,TMH,107300
2010-04-21,16.379999,16.379999,16.41,16.059999,16.25,TMH,198600
2010-04-22,16.299999,16.299999,16.32,16.01,16.27,TMH,36100
2010-04-23,16.610001,16.610001,16.719999,16.08,16.26,TMH,53300
2010-04-26,16.49,16.49,16.959999,16.450001,16.620001,TMH,72000
2010-04-27,16.110001,16.110001,16.52,16.059999,16.370001,TMH,83700
2010-04-28,16.290001,16.290001,16.33,16.07,16.17,TMH,32700
2010-04-29,16.52,16.52,16.940001,16.360001,16.370001,TMH,100200
2010-04-30,15.72,15.72,16.49,15.67,16.450001,TMH,71400
2010-05-03,15.51,15.51,15.75,15.30,15.72,TMH,113700
2010-05-04,15.34,15.34,15.39,15.10,15.34,TMH,129200
2010-05-05,15.26,15.26,15.41,15.13,15.28,TMH,65900
2010-05-06,15.07,15.07,15.34,15.00,15.20,TMH,257100
2010-05-07,15.2,15.20,15.28,14.83,15.00,TMH,250700
2010-05-10,15.62,15.62,15.72,15.30,15.54,TMH,186200
2010-05-11,15.91,15.91,16.16,15.51,15.51,TMH,131200
2010-05-12,14.0,14.00,15.00,13.91,14.99,TMH,782300
2010-05-13,13.72,13.72,14.09,13.55,14.05,TMH,267000
2010-05-14,13.89,13.89,14.05,13.50,13.55,TMH,350800
2010-05-17,13.89,13.89,14.22,13.75,14.02,TMH,79900
2010-05-18,13.92,13.92,14.05,13.79,14.01,TMH,49600
2010-05-19,13.75,13.75,13.95,13.49,13.95,TMH,128400
2010-05-20,13.75,13.75,13.84,13.37,13.48,TMH,107000
2010-05-21,13.99,13.99,14.14,13.62,13.62,TMH,298000
2010-05-24,13.9,13.90,14.16,13.67,14.05,TMH,206200
2010-05-25,13.96,13.96,14.00,13.56,13.87,TMH,117900
2010-05-26,13.88,13.88,14.14,13.76,13.97,TMH,959500
2010-05-27,13.4,13.40,14.09,13.26,13.95,TMH,73600
2010-05-28,12.81,12.81,13.46,12.81,13.40,TMH,49500
2010-06-01,12.35,12.35,12.81,12.32,12.76,TMH,82500
2010-06-02,12.5,12.50,12.59,12.36,12.36,TMH,77500
2010-06-03,12.6,12.60,12.62,12.32,12.37,TMH,81500
2010-06-04,11.85,11.85,12.41,11.83,12.32,TMH,97200
2010-06-07,12.02,12.02,12.12,11.81,11.81,TMH,73700
2010-06-08,12.23,12.23,12.27,11.95,12.04,TMH,86700
2010-06-09,12.28,12.28,12.46,12.16,12.31,TMH,54700
2010-06-10,12.46,12.46,12.46,12.12,12.41,TMH,85400
2010-06-11,12.86,12.86,12.87,12.31,12.35,TMH,38500
2010-06-14,13.48,13.48,13.50,12.95,12.95,TMH,94700
2010-06-15,13.86,13.86,13.89,13.48,13.60,TMH,67500
2010-06-16,14.01,14.01,14.12,13.57,13.79,TMH,554300
2010-06-17,13.99,13.99,14.05,13.89,13.98,TMH,169800
2010-06-18,13.99,13.99,14.20,13.93,14.02,TMH,159200
2010-06-21,13.95,13.95,14.16,13.88,14.12,TMH,116400
2010-06-22,13.94,13.94,14.19,13.79,14.00,TMH,110400
2010-06-23,14.01,14.01,14.08,13.75,14.00,TMH,251900
2010-06-24,13.87,13.87,14.06,13.81,13.95,TMH,263500
2010-06-25,14.45,14.45,14.72,13.80,14.00,TMH,1127800
2010-06-28,14.15,14.15,14.51,14.10,14.39,TMH,361400
2010-06-29,13.18,13.18,14.09,13.08,13.97,TMH,107600
2010-06-30,12.92,12.92,13.48,12.90,13.21,TMH,241000
2010-07-01,12.29,12.29,12.89,12.25,12.89,TMH,91600
2010-07-02,11.85,11.85,12.34,11.85,12.34,TMH,36200
2010-07-06,12.03,12.03,12.18,11.97,12.04,TMH,82100
2010-07-07,12.6,12.60,12.66,12.01,12.04,TMH,98000
2010-07-08,12.72,12.72,12.78,12.58,12.69,TMH,101700
2010-07-09,12.61,12.61,12.72,12.45,12.72,TMH,16400
2010-07-12,12.24,12.24,12.56,12.20,12.56,TMH,20400
2010-07-13,12.8,12.80,13.00,12.28,12.46,TMH,237100
2010-07-14,12.4,12.40,12.70,12.35,12.70,TMH,90900
2010-07-15,12.25,12.25,12.64,12.10,12.45,TMH,133700
2010-07-16,11.7,11.70,12.29,11.55,12.16,TMH,126100
2010-07-19,12.15,12.15,12.23,11.74,11.79,TMH,129200
2010-07-20,12.13,12.13,12.24,11.87,12.03,TMH,80500
2010-07-21,11.94,11.94,12.41,11.92,12.19,TMH,123400
2010-07-22,12.03,12.03,12.15,12.00,12.08,TMH,91200
2010-07-23,12.27,12.27,12.33,11.87,11.95,TMH,82600
2010-07-26,12.72,12.72,12.72,12.12,12.33,TMH,60500
2010-07-27,12.65,12.65,12.83,12.47,12.73,TMH,81800
2010-07-28,12.72,12.72,12.76,12.60,12.61,TMH,108300
2010-07-29,12.76,12.76,12.95,12.63,12.80,TMH,59800
2010-07-30,13.11,13.11,13.16,12.61,12.61,TMH,60500
2010-08-02,13.32,13.32,13.43,12.86,13.29,TMH,64100
2010-08-03,13.24,13.24,13.51,13.16,13.30,TMH,56000
2010-08-04,13.35,13.35,13.46,13.15,13.26,TMH,70300
2010-08-05,13.18,13.18,13.35,13.12,13.35,TMH,65100
2010-08-06,13.59,13.59,13.73,13.07,13.07,TMH,169300
2010-08-09,13.63,13.63,13.72,13.42,13.66,TMH,103200
2010-08-10,13.6,13.60,13.85,13.43,13.50,TMH,113100
2010-08-11,13.63,13.63,14.02,13.39,13.39,TMH,294600
2010-08-12,13.65,13.65,13.86,13.41,13.52,TMH,161600
2010-08-13,13.02,13.02,13.59,12.99,13.58,TMH,44000
2010-08-16,13.13,13.13,13.14,12.55,12.91,TMH,32800
2010-08-17,13.38,13.38,13.85,13.16,13.24,TMH,178200
2010-08-18,12.82,12.82,13.35,12.80,13.35,TMH,61900
2010-08-19,12.15,12.15,12.94,12.15,12.81,TMH,64300
2010-08-20,12.03,12.03,12.13,11.98,12.07,TMH,105500
2010-08-23,12.0,12.00,12.28,12.00,12.17,TMH,42300
2010-08-24,11.9,11.90,12.22,11.90,11.90,TMH,41100
2010-08-25,12.11,12.11,12.13,11.82,11.85,TMH,26700
2010-08-26,12.04,12.04,12.13,11.97,12.13,TMH,28100
2010-08-27,12.3,12.30,12.34,11.81,12.14,TMH,31400
2010-08-30,12.49,12.49,12.73,12.25,12.25,TMH,40500
2010-08-31,12.61,12.61,12.66,12.46,12.47,TMH,19100
2010-09-01,12.96,12.96,13.05,12.67,12.78,TMH,53000
2010-09-02,12.75,12.75,13.01,12.57,12.99,TMH,24900
2010-09-03,12.89,12.89,12.94,12.75,12.86,TMH,45300
2010-09-07,12.23,12.23,13.23,12.17,12.84,TMH,59200
2010-09-08,12.62,12.62,12.70,12.14,12.27,TMH,35800
2010-09-09,12.57,12.57,12.77,12.36,12.77,TMH,21000
2010-09-10,12.73,12.73,12.78,12.40,12.64,TMH,37900
2010-09-13,13.8,13.80,13.90,12.72,12.83,TMH,133700
2010-09-14,13.91,13.91,14.10,13.61,13.80,TMH,64700
2010-09-15,14.1,14.10,14.13,13.73,13.82,TMH,18500
2010-09-16,13.3,13.30,14.05,13.25,14.05,TMH,34500
2010-09-17,13.92,13.92,14.06,13.21,13.40,TMH,222400
2010-09-20,14.1,14.10,14.25,13.74,13.99,TMH,70100
2010-09-21,13.7,13.70,14.08,13.60,14.08,TMH,48900
2010-09-22,13.18,13.18,13.60,13.00,13.60,TMH,36400
2010-09-23,12.73,12.73,13.30,12.72,13.08,TMH,27200
2010-09-24,13.25,13.25,13.37,12.93,12.93,TMH,39200
2010-09-27,13.32,13.32,13.48,13.12,13.30,TMH,17200
2010-09-28,13.43,13.43,13.49,13.33,13.39,TMH,28300
2010-09-29,13.16,13.16,13.93,13.06,13.43,TMH,75100
2010-09-30,12.91,12.91,13.41,12.30,13.32,TMH,134900
2010-10-01,13.34,13.34,13.35,12.90,12.93,TMH,64000
2010-10-04,13.11,13.11,13.48,13.07,13.34,TMH,73200
2010-10-05,13.55,13.55,13.68,13.08,13.25,TMH,51800
2010-10-06,13.13,13.13,13.54,13.01,13.50,TMH,27900
2010-10-07,13.21,13.21,13.43,13.07,13.25,TMH,130500
2010-10-08,13.25,13.25,13.41,13.08,13.21,TMH,79600
2010-10-11,13.33,13.33,13.50,13.15,13.22,TMH,18800
2010-10-12,13.25,13.25,13.32,13.10,13.24,TMH,20200
2010-10-13,13.47,13.47,13.63,13.25,13.25,TMH,165900
2010-10-14,13.49,13.49,13.56,13.20,13.51,TMH,65200
2010-10-15,13.26,13.26,13.60,13.22,13.60,TMH,181800
2010-10-18,13.28,13.28,13.28,13.02,13.25,TMH,60000
2010-10-19,13.23,13.23,13.31,13.05,13.12,TMH,51300
2010-10-20,13.2,13.20,13.41,13.16,13.25,TMH,135600
2010-10-21,13.25,13.25,13.37,13.16,13.25,TMH,99800
2010-10-22,13.7,13.70,13.86,13.24,13.24,TMH,42500
2010-10-25,13.91,13.91,13.99,13.65,13.80,TMH,23600
2010-10-26,13.7,13.70,13.87,13.55,13.79,TMH,45400
2010-10-27,13.71,13.71,13.80,13.60,13.60,TMH,51700
2010-10-28,13.55,13.55,13.85,13.36,13.85,TMH,21500
2010-10-29,13.35,13.35,13.70,13.31,13.47,TMH,24500
2010-11-01,13.33,13.33,13.39,13.20,13.37,TMH,28900
2010-11-02,13.75,13.75,13.97,13.24,13.47,TMH,67400
2010-11-03,13.75,13.75,13.80,13.41,13.80,TMH,32400
2010-11-04,13.75,13.75,13.96,13.51,13.94,TMH,64100
2010-11-05,13.58,13.58,13.76,13.45,13.70,TMH,69000
2010-11-08,13.54,13.54,13.59,13.37,13.50,TMH,47600
2010-11-09,13.48,13.48,13.63,13.43,13.51,TMH,43800
2010-11-10,14.75,14.75,14.91,13.66,13.90,TMH,400900
2010-11-11,15.87,15.87,16.15,14.61,14.61,TMH,155200
2010-11-12,14.97,14.97,15.97,14.81,15.69,TMH,119500
2010-11-15,14.7,14.70,15.18,14.67,15.02,TMH,66600
2010-11-16,14.62,14.62,14.73,14.26,14.57,TMH,65000
2010-11-17,14.87,14.87,14.94,14.67,14.70,TMH,44100
2010-11-18,14.99,14.99,15.00,14.50,15.00,TMH,47300
2010-11-19,14.92,14.92,15.10,14.69,15.00,TMH,89100
2010-11-22,14.86,14.86,14.96,14.40,14.85,TMH,65500
2010-11-23,14.9,14.90,15.05,14.70,14.70,TMH,73600
2010-11-24,14.94,14.94,15.09,14.51,15.01,TMH,51500
2010-11-26,14.98,14.98,15.03,14.77,14.82,TMH,11700
2010-11-29,14.72,14.72,14.94,14.65,14.86,TMH,52500
2010-11-30,13.8,13.80,15.16,13.61,14.57,TMH,697300
2010-12-01,14.19,14.19,14.37,13.80,13.80,TMH,107200
2010-12-02,14.59,14.59,14.60,14.22,14.22,TMH,45200
2010-12-03,14.98,14.98,15.25,14.53,14.53,TMH,114300
2010-12-06,15.2,15.20,15.25,14.85,14.94,TMH,43500
2010-12-07,15.0,15.00,15.36,14.94,15.36,TMH,94500
2010-12-08,14.97,14.97,15.07,14.95,15.05,TMH,51500
2010-12-09,14.94,14.94,15.00,14.83,15.00,TMH,43100
2010-12-10,14.94,14.94,15.12,14.85,14.96,TMH,61300
2010-12-13,14.63,14.63,14.95,14.53,14.95,TMH,28700
2010-12-14,15.0,15.00,15.08,14.72,14.72,TMH,364200
2010-12-15,15.29,15.29,15.40,15.02,15.02,TMH,78700
2010-12-16,15.27,15.27,15.33,15.04,15.30,TMH,47300
2010-12-17,15.46,15.46,15.46,15.22,15.25,TMH,201800
2010-12-20,15.82,15.82,16.02,15.38,15.50,TMH,56900
2010-12-21,15.62,15.62,15.83,15.54,15.83,TMH,37400
2010-12-22,15.61,15.61,15.76,15.52,15.61,TMH,31500
2010-12-23,15.69,15.69,15.73,15.57,15.66,TMH,13400
2010-12-27,15.7,15.70,15.75,15.54,15.58,TMH,7000
2010-12-28,15.53,15.53,15.75,15.48,15.72,TMH,17700
2010-12-29,15.58,15.58,15.64,15.41,15.59,TMH,76400
2010-12-30,15.53,15.53,15.59,15.46,15.58,TMH,8700
2010-12-31,15.54,15.54,15.70,15.44,15.51,TMH,14000
2011-01-03,15.94,15.94,16.040001,15.47,15.67,TMH,53900
2011-01-04,15.67,15.67,15.94,15.50,15.94,TMH,34300
2011-01-05,15.82,15.82,15.83,15.48,15.64,TMH,175500
2011-01-06,15.73,15.73,15.90,15.64,15.77,TMH,46500
2011-01-07,15.5,15.50,15.79,15.32,15.78,TMH,51200
2011-01-10,15.43,15.43,15.55,15.30,15.41,TMH,48900
2011-01-11,15.35,15.35,15.52,15.23,15.47,TMH,28300
2011-01-12,15.44,15.44,15.54,15.37,15.50,TMH,33500
2011-01-13,15.32,15.32,15.49,15.18,15.47,TMH,29700
2011-01-14,15.45,15.45,15.47,14.80,15.31,TMH,45900
2011-01-18,15.63,15.63,15.66,15.14,15.37,TMH,310400
2011-01-19,16.530001,16.530001,17.309999,15.56,15.56,TMH,122900
2011-01-20,16.77,16.77,16.950001,16.50,16.50,TMH,140500
2011-01-21,16.48,16.48,16.82,16.43,16.82,TMH,139900
2011-01-24,16.51,16.51,16.709999,16.42,16.469999,TMH,64600
2011-01-25,16.02,16.02,16.459999,15.87,16.459999,TMH,152600
2011-01-26,15.79,15.79,16.040001,15.65,16.01,TMH,112900
2011-01-27,15.6,15.60,15.82,15.49,15.82,TMH,70700
2011-01-28,15.09,15.09,15.62,14.84,15.62,TMH,110300
2011-01-31,15.46,15.46,15.47,14.81,15.21,TMH,74400
2011-02-01,16.030001,16.030001,16.049999,15.42,15.51,TMH,45200
2011-02-02,16.110001,16.110001,16.24,15.87,15.94,TMH,50100
2011-02-03,16.59,16.59,16.60,15.94,16.049999,TMH,69800
2011-02-04,17.25,17.25,17.299999,16.540001,16.610001,TMH,81300
2011-02-07,17.129999,17.129999,17.51,17.049999,17.299999,TMH,37600
2011-02-08,17.190001,17.190001,17.200001,16.860001,17.129999,TMH,30900
2011-02-09,17.540001,17.540001,19.42,16.25,17.35,TMH,428300
2011-02-10,18.68,18.68,19.35,17.469999,17.52,TMH,239600
2011-02-11,19.040001,19.040001,20.290001,18.51,18.66,TMH,412800
2011-02-14,17.99,17.99,19.110001,17.77,19.040001,TMH,469600
2011-02-15,17.690001,17.690001,18.030001,17.58,18.02,TMH,444800
2011-02-16,17.84,17.84,18.01,17.639999,17.719999,TMH,254100
2011-02-17,18.01,18.01,18.35,17.709999,17.84,TMH,165900
2011-02-18,18.129999,18.129999,18.299999,18.01,18.01,TMH,122000
2011-02-22,17.110001,17.110001,18.00,17.07,18.00,TMH,159700
2011-02-23,16.85,16.85,17.23,16.82,17.17,TMH,159800
2011-02-24,17.23,17.23,17.27,16.790001,16.92,TMH,253500
2011-02-25,18.09,18.09,18.139999,17.26,17.26,TMH,80700
2011-02-28,18.49,18.49,18.690001,18.139999,18.139999,TMH,140400
2011-03-01,17.969999,17.969999,18.620001,17.52,18.33,TMH,301900
2011-03-02,17.49,17.49,17.959999,17.299999,17.73,TMH,383200
2011-03-03,17.309999,17.309999,17.309999,17.01,17.09,TMH,4994000
2011-03-04,17.110001,17.110001,17.33,17.110001,17.18,TMH,622000
2011-03-07,17.1,17.10,17.24,17.10,17.23,TMH,841700
2011-03-08,17.25,17.25,17.33,17.10,17.18,TMH,400400
2011-03-09,17.379999,17.379999,17.50,17.15,17.440001,TMH,376800
2011-03-10,17.16,17.16,17.280001,17.110001,17.190001,TMH,222900
2011-03-11,17.190001,17.190001,17.299999,17.110001,17.200001,TMH,168200
2011-03-14,17.16,17.16,17.459999,17.10,17.10,TMH,199500
2011-03-15,17.18,17.18,17.549999,16.940001,17.10,TMH,596500
2011-03-16,17.120001,17.120001,17.33,17.10,17.129999,TMH,125500
2011-03-17,17.110001,17.110001,17.299999,17.10,17.26,TMH,143100
2011-03-18,17.1,17.10,17.25,17.10,17.24,TMH,248600
2011-03-21,17.120001,17.120001,17.25,17.10,17.23,TMH,173600
2011-03-22,17.25,17.25,17.299999,17.110001,17.110001,TMH,195000
2011-03-23,17.209999,17.209999,17.370001,17.10,17.309999,TMH,323900
2011-03-24,17.309999,17.309999,17.379999,17.209999,17.34,TMH,142100
2011-03-25,17.52,17.52,17.66,17.200001,17.43,TMH,177900
2011-03-28,17.530001,17.530001,17.65,17.33,17.50,TMH,114600
2011-03-29,17.5,17.50,17.629999,17.280001,17.469999,TMH,153600
2011-03-30,17.41,17.41,17.620001,17.280001,17.620001,TMH,160300
2011-03-31,17.48,17.48,17.549999,17.370001,17.379999,TMH,163800
2011-04-01,18.02,18.02,18.02,17.52,17.610001,TMH,183700
2011-04-04,18.469999,18.469999,18.52,18.01,18.15,TMH,204600
2011-04-05,18.91,18.91,18.940001,18.23,18.389999,TMH,222800
2011-04-06,19.16,19.16,19.540001,18.370001,18.799999,TMH,269800
2011-04-07,19.33,19.33,19.40,19.030001,19.110001,TMH,163900
2011-04-08,19.25,19.25,19.370001,19.219999,19.370001,TMH,124400
2011-04-11,19.120001,19.120001,19.299999,18.889999,19.23,TMH,392900
2011-04-12,19.5,19.50,19.969999,19.08,19.110001,TMH,245500
2011-04-13,19.200001,19.200001,19.68,19.190001,19.57,TMH,188400
2011-04-14,19.23,19.23,19.33,18.790001,19.030001,TMH,135900
2011-04-15,19.190001,19.190001,19.290001,18.90,19.190001,TMH,90800
2011-04-18,19.0,19.00,19.17,18.889999,19.00,TMH,79200
2011-04-19,19.219999,19.219999,19.23,18.91,19.07,TMH,190400
2011-04-20,19.5,19.50,19.73,19.049999,19.49,TMH,133200
2011-04-21,19.620001,19.620001,19.65,19.40,19.629999,TMH,65300
2011-04-25,19.27,19.27,19.559999,19.190001,19.530001,TMH,74000
2011-04-26,19.879999,19.879999,20.129999,19.26,19.379999,TMH,139900
2011-04-27,19.959999,19.959999,20.040001,19.52,19.85,TMH,78200
