Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,10.4,10.40,10.60,10.08,10.18,TTWO,3666400
2010-01-05,10.47,10.47,10.49,10.11,10.38,TTWO,4442300
2010-01-06,10.44,10.44,10.66,10.33,10.46,TTWO,2829400
2010-01-07,10.39,10.39,10.43,9.99,10.39,TTWO,2655500
2010-01-08,10.42,10.42,10.49,10.27,10.33,TTWO,2143400
2010-01-11,10.68,10.68,10.82,10.41,10.50,TTWO,3858200
2010-01-12,10.19,10.19,10.56,10.14,10.56,TTWO,2808300
2010-01-13,10.36,10.36,10.37,10.05,10.25,TTWO,1691100
2010-01-14,10.15,10.15,10.38,10.12,10.30,TTWO,1403500
2010-01-15,10.08,10.08,10.29,9.92,10.20,TTWO,2084500
2010-01-19,9.95,9.95,10.25,9.83,10.06,TTWO,3223100
2010-01-20,9.73,9.73,9.98,9.53,9.90,TTWO,3587600
2010-01-21,9.37,9.37,9.89,9.36,9.81,TTWO,2600600
2010-01-22,9.29,9.29,9.88,9.25,9.88,TTWO,2730300
2010-01-25,9.12,9.12,9.35,8.97,9.30,TTWO,3342700
2010-01-26,9.2,9.20,9.29,9.06,9.06,TTWO,2461700
2010-01-27,9.33,9.33,9.37,9.13,9.15,TTWO,1938400
2010-01-28,9.28,9.28,9.42,9.08,9.34,TTWO,1946700
2010-01-29,9.28,9.28,9.75,9.25,9.75,TTWO,4289600
2010-02-01,9.34,9.34,9.41,9.28,9.29,TTWO,1705400
2010-02-02,9.34,9.34,9.40,9.20,9.32,TTWO,1847300
2010-02-03,9.6,9.60,9.82,9.33,9.33,TTWO,4273300
2010-02-04,9.25,9.25,9.76,9.15,9.55,TTWO,2636800
2010-02-05,9.29,9.29,9.35,9.09,9.27,TTWO,2604200
2010-02-08,9.45,9.45,9.54,9.18,9.33,TTWO,1760700
2010-02-09,9.52,9.52,9.66,9.35,9.56,TTWO,1960200
2010-02-10,9.71,9.71,9.74,9.48,9.50,TTWO,1729500
2010-02-11,9.86,9.86,9.96,9.57,9.64,TTWO,1771000
2010-02-12,9.65,9.65,9.75,9.50,9.74,TTWO,1384900
2010-02-16,9.75,9.75,9.83,9.57,9.70,TTWO,1072200
2010-02-17,9.66,9.66,9.93,9.63,9.79,TTWO,2178500
2010-02-18,9.64,9.64,9.69,9.50,9.68,TTWO,1523000
2010-02-19,9.5,9.50,9.68,9.41,9.59,TTWO,1641600
2010-02-22,9.24,9.24,9.57,9.19,9.52,TTWO,2405200
2010-02-23,9.32,9.32,9.33,9.14,9.24,TTWO,1630300
2010-02-24,9.22,9.22,9.34,9.16,9.32,TTWO,1390300
2010-02-25,9.28,9.28,9.28,9.03,9.12,TTWO,1538400
