Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,30.0,30.00,30.16,29.620001,29.620001,ULTI,103900
2010-01-05,29.84,29.84,30.129999,29.799999,30.00,ULTI,62100
2010-01-06,29.52,29.52,30.190001,29.459999,29.860001,ULTI,79600
2010-01-07,29.4,29.40,29.719999,29.120001,29.58,ULTI,39900
2010-01-08,29.719999,29.719999,29.73,29.00,29.40,ULTI,63700
2010-01-11,29.77,29.77,29.889999,29.33,29.889999,ULTI,64600
2010-01-12,29.450001,29.450001,29.559999,28.82,29.469999,ULTI,252800
2010-01-13,29.66,29.66,29.83,29.389999,29.41,ULTI,91000
2010-01-14,30.52,30.52,30.83,29.68,29.68,ULTI,204800
2010-01-15,30.549999,30.549999,30.940001,30.139999,30.67,ULTI,200800
2010-01-19,31.65,31.65,31.780001,30.00,30.50,ULTI,154500
2010-01-20,31.0,31.00,31.76,30.629999,31.52,ULTI,128400
2010-01-21,30.700001,30.700001,31.40,30.379999,30.940001,ULTI,193200
2010-01-22,30.1,30.10,30.93,30.049999,30.690001,ULTI,475300
2010-01-25,29.92,29.92,30.57,29.809999,30.57,ULTI,227400
2010-01-26,29.959999,29.959999,30.10,29.43,29.809999,ULTI,239200
2010-01-27,30.43,30.43,30.57,29.76,29.76,ULTI,139600
2010-01-28,30.08,30.08,30.450001,29.450001,30.389999,ULTI,156500
2010-01-29,29.9,29.90,30.51,29.870001,30.280001,ULTI,276000
2010-02-01,30.08,30.08,30.209999,29.73,30.00,ULTI,157900
2010-02-02,30.0,30.00,30.389999,29.719999,30.01,ULTI,127600
2010-02-03,29.690001,29.690001,30.33,29.68,29.83,ULTI,163800
2010-02-04,28.450001,28.450001,29.559999,28.41,29.559999,ULTI,185100
2010-02-05,28.68,28.68,28.700001,27.76,28.60,ULTI,245800
2010-02-08,28.540001,28.540001,29.08,28.08,28.33,ULTI,171400
2010-02-09,28.84,28.84,29.08,28.25,28.959999,ULTI,276600
2010-02-10,28.18,28.18,28.42,26.809999,26.85,ULTI,1221600
2010-02-11,27.690001,27.690001,28.15,27.40,27.950001,ULTI,440800
2010-02-12,28.67,28.67,28.67,27.190001,27.50,ULTI,268000
2010-02-16,29.02,29.02,29.190001,28.74,28.74,ULTI,135400
2010-02-17,29.84,29.84,30.00,28.99,29.200001,ULTI,192600
2010-02-18,30.0,30.00,30.08,29.719999,29.85,ULTI,81600
2010-02-19,30.290001,30.290001,30.389999,29.90,30.01,ULTI,226400
2010-02-22,30.25,30.25,30.93,30.200001,30.469999,ULTI,272600
2010-02-23,30.299999,30.299999,30.33,29.780001,30.26,ULTI,210400
2010-02-24,31.07,31.07,31.15,30.40,30.74,ULTI,117000
