Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,38.52,38.52,39.139999,38.049999,38.970001,AER,768400
2015-01-05,38.27,38.27,38.700001,37.630001,38.299999,AER,1188000
2015-01-06,38.240002,38.240002,38.73,37.419998,38.349998,AER,2183200
2015-01-07,38.599998,38.599998,38.790001,38.349998,38.57,AER,1106000
2015-01-08,39.549999,39.549999,39.959999,39.00,39.029999,AER,1120600
2015-01-09,39.150002,39.150002,39.740002,38.790001,39.599998,AER,865900
2015-01-12,38.990002,38.990002,39.259998,38.82,39.25,AER,1994100
2015-01-13,38.59,38.59,39.549999,38.400002,39.220001,AER,1514100
2015-01-14,38.119999,38.119999,38.50,37.619999,38.009998,AER,1265300
2015-01-15,37.84,37.84,38.639999,37.799999,38.23,AER,796400
2015-01-16,38.060001,38.060001,38.18,37.669998,37.93,AER,702000
2015-01-20,39.240002,39.240002,39.450001,38.25,38.25,AER,1219200
2015-01-21,39.810001,39.810001,40.200001,39.029999,39.119999,AER,1193700
2015-01-22,40.400002,40.400002,40.639999,39.830002,40.169998,AER,1444900
2015-01-23,40.41,40.41,40.639999,40.27,40.439999,AER,1005600
2015-01-26,40.689999,40.689999,40.880001,40.150002,40.41,AER,522900
2015-01-27,40.360001,40.360001,40.73,39.919998,40.080002,AER,764100
2015-01-28,39.84,39.84,40.66,39.66,40.529999,AER,1044400
2015-01-29,40.439999,40.439999,40.68,39.560001,39.860001,AER,912300
2015-01-30,39.529999,39.529999,40.150002,39.50,39.959999,AER,935500
2015-02-02,40.77,40.77,40.77,39.630001,39.849998,AER,912300
2015-02-03,41.689999,41.689999,41.75,40.810001,40.950001,AER,1046100
2015-02-04,41.689999,41.689999,42.029999,41.279999,41.50,AER,948600
2015-02-05,42.0,42.00,42.209999,41.540001,41.869999,AER,1025900
2015-02-06,42.02,42.02,42.630001,41.900002,42.119999,AER,682700
2015-02-09,42.040001,42.040001,42.259998,41.779999,41.939999,AER,1102000
2015-02-10,42.040001,42.040001,42.34,41.82,42.299999,AER,817600
2015-02-11,42.369999,42.369999,42.57,41.669998,41.919998,AER,1235700
2015-02-12,42.43,42.43,42.799999,42.029999,42.549999,AER,910000
2015-02-13,43.02,43.02,43.02,42.380001,42.580002,AER,900600
2015-02-17,43.27,43.27,43.330002,42.57,42.959999,AER,575900
2015-02-18,43.740002,43.740002,43.810001,43.139999,43.27,AER,637700
2015-02-19,43.720001,43.720001,44.189999,43.509998,43.740002,AER,882900
2015-02-20,44.34,44.34,44.380001,43.470001,43.740002,AER,1290800
2015-02-23,45.939999,45.939999,47.09,45.50,46.16,AER,2717100
2015-02-24,45.16,45.16,46.07,45.060001,46.00,AER,1582500
2015-02-25,44.200001,44.200001,45.099998,44.119999,44.959999,AER,774600
2015-02-26,44.950001,44.950001,45.16,43.869999,44.200001,AER,1504900
2015-02-27,44.5,44.50,45.25,44.27,45.00,AER,859300
2015-03-02,43.849998,43.849998,44.549999,43.200001,44.50,AER,1930100
2015-03-03,44.439999,44.439999,44.470001,43.68,43.68,AER,662400
2015-03-04,44.779999,44.779999,44.799999,44.09,44.32,AER,724700
2015-03-05,44.990002,44.990002,45.27,44.93,44.93,AER,984700
2015-03-06,43.959999,43.959999,45.029999,43.82,44.82,AER,728900
2015-03-09,43.790001,43.790001,44.200001,43.400002,44.139999,AER,1088300
2015-03-10,43.060001,43.060001,43.52,42.900002,43.34,AER,1091800
2015-03-11,43.18,43.18,43.540001,43.029999,43.080002,AER,686300
2015-03-12,43.459999,43.459999,43.900002,43.07,43.150002,AER,502600
2015-03-13,43.610001,43.610001,43.810001,43.00,43.400002,AER,554800
2015-03-16,43.779999,43.779999,44.759998,43.599998,43.759998,AER,555500
2015-03-17,43.450001,43.450001,43.91,43.259998,43.529999,AER,624900
2015-03-18,44.490002,44.490002,44.580002,43.27,43.41,AER,484300
2015-03-19,43.970001,43.970001,44.459999,43.700001,44.32,AER,323800
2015-03-20,44.610001,44.610001,44.709999,44.009998,44.18,AER,704300
2015-03-23,44.41,44.41,44.939999,44.389999,44.68,AER,476300
2015-03-24,44.240002,44.240002,44.75,43.950001,44.41,AER,348200
2015-03-25,43.860001,43.860001,44.43,43.849998,44.330002,AER,621500
2015-03-26,43.82,43.82,44.200001,43.470001,43.66,AER,762900
2015-03-27,43.970001,43.970001,44.009998,43.459999,43.849998,AER,344500
2015-03-30,44.59,44.59,44.790001,43.990002,44.00,AER,506000
2015-03-31,43.650002,43.650002,44.43,43.549999,44.43,AER,3522000
2015-04-01,44.490002,44.490002,44.860001,43.549999,43.619999,AER,1415700
2015-04-02,44.759998,44.759998,45.73,44.68,44.720001,AER,1170600
2015-04-06,44.529999,44.529999,45.07,44.439999,44.549999,AER,950900
2015-04-07,45.049999,45.049999,45.869999,44.900002,45.25,AER,1886400
2015-04-08,45.43,45.43,45.75,45.009998,45.139999,AER,1334000
2015-04-09,45.860001,45.860001,45.98,45.279999,45.34,AER,1048200
2015-04-10,46.75,46.75,46.830002,45.720001,45.889999,AER,1200200
2015-04-13,46.470001,46.470001,47.220001,46.43,46.790001,AER,528700
2015-04-14,46.400002,46.400002,46.599998,46.09,46.48,AER,457100
2015-04-15,46.16,46.16,46.630001,46.119999,46.630001,AER,451400
2015-04-16,46.080002,46.080002,46.18,45.610001,46.119999,AER,644500
2015-04-17,45.959999,45.959999,46.23,45.73,46.040001,AER,436200
2015-04-20,46.540001,46.540001,46.830002,46.049999,46.209999,AER,800300
2015-04-21,46.25,46.25,46.919998,46.16,46.709999,AER,747300
2015-04-22,46.439999,46.439999,46.639999,45.880001,46.25,AER,641700
2015-04-23,46.610001,46.610001,46.84,46.25,46.259998,AER,478100
2015-04-24,46.860001,46.860001,46.860001,46.189999,46.450001,AER,471300
2015-04-27,46.799999,46.799999,47.220001,46.66,46.950001,AER,1015100
2015-04-28,46.91,46.91,47.029999,46.23,46.619999,AER,614900
2015-04-29,46.75,46.75,47.169998,46.619999,46.75,AER,1070600
2015-04-30,46.68,46.68,47.080002,46.450001,46.799999,AER,1814100
2015-05-01,49.040001,49.040001,49.259998,46.810001,46.990002,AER,3770400
2015-05-04,49.18,49.18,49.790001,48.98,49.529999,AER,1407900
2015-05-05,48.490002,48.490002,49.380001,48.41,49.23,AER,1276100
2015-05-06,48.209999,48.209999,48.66,48.009998,48.57,AER,655700
2015-05-07,48.349998,48.349998,48.450001,47.689999,48.040001,AER,700000
2015-05-08,49.07,49.07,49.509998,48.689999,48.689999,AER,1175400
2015-05-11,48.18,48.18,49.849998,47.189999,49.25,AER,1664800
2015-05-12,48.48,48.48,48.779999,47.900002,48.349998,AER,1129700
2015-05-13,49.0,49.00,49.599998,48.540001,48.59,AER,772900
2015-05-14,48.990002,48.990002,49.25,48.75,49.25,AER,549700
2015-05-15,48.959999,48.959999,49.00,48.599998,48.830002,AER,912300
2015-05-18,48.799999,48.799999,49.110001,48.540001,48.869999,AER,513100
2015-05-19,48.220001,48.220001,48.990002,48.049999,48.810001,AER,817700
2015-05-20,47.959999,47.959999,48.50,47.310001,48.50,AER,814500
2015-05-21,48.209999,48.209999,48.529999,47.849998,47.849998,AER,424000
2015-05-22,48.07,48.07,48.349998,47.959999,48.18,AER,235000
2015-05-26,47.799999,47.799999,48.029999,47.540001,48.029999,AER,753600
2015-05-27,48.619999,48.619999,48.82,47.759998,47.849998,AER,788400
2015-05-28,48.880001,48.880001,48.889999,48.259998,48.50,AER,776600
2015-05-29,48.240002,48.240002,49.119999,48.200001,48.959999,AER,703700
2015-06-01,48.240002,48.240002,48.689999,47.830002,48.439999,AER,429000
2015-06-02,49.93,49.93,50.669998,47.279999,47.32,AER,2642900
2015-06-03,50.34,50.34,51.50,49.849998,50.290001,AER,4207400
2015-06-04,48.5,48.50,49.209999,48.50,48.959999,AER,40781000
2015-06-05,48.529999,48.529999,48.75,47.900002,48.619999,AER,9178300
2015-06-08,47.950001,47.950001,48.75,47.91,48.50,AER,6323300
2015-06-09,48.099998,48.099998,48.470001,47.849998,47.950001,AER,5491000
2015-06-10,48.349998,48.349998,48.57,48.080002,48.240002,AER,4407600
2015-06-11,47.689999,47.689999,48.450001,47.220001,48.380001,AER,4860300
2015-06-12,47.299999,47.299999,47.889999,47.099998,47.650002,AER,3798600
2015-06-15,46.560001,46.560001,47.23,46.50,47.07,AER,3635500
2015-06-16,46.610001,46.610001,47.040001,46.48,46.610001,AER,2517200
2015-06-17,46.860001,46.860001,47.200001,46.349998,46.720001,AER,2989600
2015-06-18,47.080002,47.080002,47.810001,46.169998,46.790001,AER,2485000
2015-06-19,46.419998,46.419998,47.080002,46.369999,46.950001,AER,1662100
2015-06-22,46.82,46.82,47.25,46.740002,46.849998,AER,1441500
2015-06-23,47.98,47.98,48.07,46.82,46.849998,AER,3328800
2015-06-24,47.700001,47.700001,48.09,47.529999,47.77,AER,2633300
2015-06-25,47.23,47.23,47.950001,47.18,47.939999,AER,1330300
2015-06-26,46.889999,46.889999,47.50,46.84,47.299999,AER,1136400
2015-06-29,45.990002,45.990002,46.720001,45.889999,46.450001,AER,1831300
