Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,35.02,35.02,35.93,34.560001,35.240002,AZPN,361500
2015-01-05,34.689999,34.689999,35.419998,34.41,34.740002,AZPN,773700
2015-01-06,34.110001,34.110001,35.220001,34.00,34.709999,AZPN,658900
2015-01-07,34.099998,34.099998,34.810001,34.040001,34.279999,AZPN,616100
2015-01-08,34.459999,34.459999,34.66,34.02,34.439999,AZPN,1291200
2015-01-09,34.360001,34.360001,35.00,34.07,34.419998,AZPN,1143300
2015-01-12,33.990002,33.990002,34.610001,33.669998,34.259998,AZPN,1041600
2015-01-13,33.580002,33.580002,34.959999,33.209999,34.23,AZPN,778700
2015-01-14,33.68,33.68,33.990002,33.119999,33.119999,AZPN,839200
2015-01-15,33.02,33.02,33.93,32.849998,33.830002,AZPN,640600
2015-01-16,33.830002,33.830002,33.869999,32.919998,32.919998,AZPN,554900
2015-01-20,34.200001,34.200001,34.900002,33.630001,33.939999,AZPN,736100
2015-01-21,34.48,34.48,34.939999,33.84,34.110001,AZPN,409700
2015-01-22,32.25,32.25,33.529999,31.629999,33.450001,AZPN,2049600
2015-01-23,32.59,32.59,32.970001,32.07,32.290001,AZPN,1059700
2015-01-26,32.779999,32.779999,32.900002,32.330002,32.529999,AZPN,952700
2015-01-27,32.619999,32.619999,33.27,32.00,32.240002,AZPN,794400
2015-01-28,33.02,33.02,33.34,32.200001,32.939999,AZPN,1326800
2015-01-29,36.490002,36.490002,36.830002,34.220001,36.00,AZPN,2992300
2015-01-30,35.349998,35.349998,36.450001,35.009998,36.150002,AZPN,1876800
2015-02-02,35.619999,35.619999,35.709999,34.849998,35.419998,AZPN,731900
2015-02-03,37.139999,37.139999,37.580002,35.450001,35.599998,AZPN,1523700
2015-02-04,37.5,37.50,38.23,36.599998,36.950001,AZPN,1405800
2015-02-05,38.200001,38.200001,38.43,37.66,37.759998,AZPN,857500
2015-02-06,37.740002,37.740002,38.560001,37.50,38.27,AZPN,903300
2015-02-09,37.77,37.77,38.00,37.490002,37.619999,AZPN,703900
2015-02-10,37.66,37.66,38.439999,37.139999,38.02,AZPN,635900
2015-02-11,37.759998,37.759998,38.00,37.459999,37.66,AZPN,501400
2015-02-12,37.610001,37.610001,37.889999,37.150002,37.740002,AZPN,803300
2015-02-13,38.400002,38.400002,38.630001,37.740002,37.740002,AZPN,493000
2015-02-17,38.82,38.82,38.950001,37.830002,38.32,AZPN,730200
2015-02-18,39.009998,39.009998,39.419998,38.639999,38.639999,AZPN,555200
2015-02-19,39.93,39.93,40.330002,38.98,38.98,AZPN,974200
2015-02-20,39.07,39.07,40.290001,38.849998,39.98,AZPN,1196300
2015-02-23,38.529999,38.529999,39.400002,38.279999,39.060001,AZPN,841700
2015-02-24,38.779999,38.779999,38.970001,38.400002,38.450001,AZPN,802100
2015-02-25,39.369999,39.369999,39.91,38.830002,38.880001,AZPN,1006700
2015-02-26,38.849998,38.849998,39.720001,38.75,39.27,AZPN,632400
2015-02-27,38.599998,38.599998,39.09,38.580002,38.779999,AZPN,538700
2015-03-02,38.310001,38.310001,38.75,38.16,38.650002,AZPN,651100
2015-03-03,38.07,38.07,38.709999,37.93,38.099998,AZPN,739200
2015-03-04,38.040001,38.040001,38.209999,37.48,37.889999,AZPN,467400
2015-03-05,38.32,38.32,38.540001,37.75,38.209999,AZPN,605600
2015-03-06,37.130001,37.130001,38.560001,37.119999,38.029999,AZPN,554700
2015-03-09,36.720001,36.720001,37.25,36.700001,37.200001,AZPN,480200
2015-03-10,36.25,36.25,36.540001,35.900002,36.43,AZPN,699900
2015-03-11,36.459999,36.459999,37.009998,36.080002,36.200001,AZPN,459300
2015-03-12,36.650002,36.650002,36.98,36.060001,36.529999,AZPN,584200
2015-03-13,36.849998,36.849998,37.029999,36.279999,36.709999,AZPN,451700
2015-03-16,36.779999,36.779999,37.00,36.470001,37.00,AZPN,516800
2015-03-17,36.77,36.77,37.189999,36.549999,36.549999,AZPN,424900
2015-03-18,37.450001,37.450001,37.66,36.630001,36.779999,AZPN,581200
