Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,15.45,15.45,15.62,15.10,15.10,CMCM,654300
2015-01-05,16.940001,16.940001,17.139999,15.55,15.58,CMCM,1668800
2015-01-06,16.85,16.85,17.200001,16.129999,17.00,CMCM,1222900
2015-01-07,17.889999,17.889999,17.969999,16.90,17.049999,CMCM,783900
2015-01-08,18.93,18.93,19.00,17.620001,18.00,CMCM,904500
2015-01-09,19.209999,19.209999,19.319,18.450001,19.01,CMCM,560900
2015-01-12,17.75,17.75,19.10,17.059999,19.10,CMCM,1505900
2015-01-13,18.02,18.02,18.280001,17.75,17.860001,CMCM,366600
2015-01-14,17.75,17.75,18.215,17.66,18.01,CMCM,464200
2015-01-15,17.33,17.33,17.91,17.32,17.790001,CMCM,422400
2015-01-16,17.209999,17.209999,17.90,17.16,17.309999,CMCM,473900
2015-01-20,18.18,18.18,18.24,17.16,17.27,CMCM,380000
2015-01-21,18.950001,18.950001,19.00,18.219999,18.26,CMCM,492400
2015-01-22,18.85,18.85,18.995001,18.549999,18.969999,CMCM,341500
2015-01-23,19.190001,19.190001,19.50,18.700001,18.709999,CMCM,415500
2015-01-26,19.440001,19.440001,19.690001,19.299999,19.42,CMCM,366300
2015-01-27,19.379999,19.379999,19.440001,18.379999,19.290001,CMCM,671200
2015-01-28,19.540001,19.540001,20.459999,19.360001,19.50,CMCM,987000
2015-01-29,20.23,20.23,20.379999,18.92,19.700001,CMCM,944000
2015-01-30,19.52,19.52,20.40,18.68,20.280001,CMCM,705600
2015-02-02,19.57,19.57,19.60,18.841,19.52,CMCM,547900
2015-02-03,20.07,20.07,20.370001,19.469999,19.549999,CMCM,512200
2015-02-04,20.120001,20.120001,20.26,19.75,20.00,CMCM,278600
2015-02-05,20.950001,20.950001,21.124001,20.00,20.35,CMCM,739200
2015-02-06,20.290001,20.290001,20.853001,19.92,20.73,CMCM,817500
2015-02-09,20.219999,20.219999,20.49,20.02,20.16,CMCM,367100
2015-02-10,21.469999,21.469999,21.49,20.129999,20.280001,CMCM,625000
2015-02-11,19.93,19.93,21.540001,19.92,21.540001,CMCM,706500
2015-02-12,20.1,20.10,20.459999,19.76,20.030001,CMCM,570200
2015-02-13,20.200001,20.200001,20.57,20.049999,20.110001,CMCM,211800
2015-02-17,19.389999,19.389999,20.280001,19.299999,20.200001,CMCM,360500
2015-02-18,19.48,19.48,19.57,19.27,19.290001,CMCM,255000
2015-02-19,20.65,20.65,20.66,19.299999,19.52,CMCM,368400
2015-02-20,19.51,19.51,20.60,19.51,20.52,CMCM,466100
2015-02-23,19.540001,19.540001,20.040001,19.50,19.51,CMCM,256400
2015-02-24,20.040001,20.040001,20.120001,19.49,19.67,CMCM,262700
2015-02-25,19.91,19.91,20.10,19.799999,20.059999,CMCM,177900
2015-02-26,19.34,19.34,19.889999,19.299999,19.76,CMCM,476200
2015-02-27,19.25,19.25,19.780001,19.16,19.299999,CMCM,329700
2015-03-02,18.51,18.51,19.290001,18.040001,19.290001,CMCM,1068600
2015-03-03,16.82,16.82,18.35,16.559999,18.299999,CMCM,1260200
2015-03-04,17.309999,17.309999,18.120001,16.68,16.870001,CMCM,1010000
2015-03-05,17.85,17.85,18.059999,17.040001,17.459999,CMCM,523800
2015-03-06,18.389999,18.389999,18.799999,17.85,17.85,CMCM,699400
2015-03-09,18.51,18.51,19.190001,18.41,18.52,CMCM,555600
2015-03-10,18.33,18.33,18.389999,17.92,18.35,CMCM,214600
2015-03-11,18.309999,18.309999,18.559999,17.82,18.40,CMCM,211800
2015-03-12,18.33,18.33,18.76,18.049999,18.129999,CMCM,283900
2015-03-13,18.84,18.84,18.860001,17.809999,18.549999,CMCM,998200
2015-03-16,18.9,18.90,19.639999,18.82,19.209999,CMCM,992600
2015-03-17,18.290001,18.290001,19.01,18.08,18.809999,CMCM,768200
2015-03-18,18.129999,18.129999,18.639999,17.90,18.17,CMCM,512200
2015-03-19,18.629999,18.629999,19.00,18.01,18.07,CMCM,559800
2015-03-20,17.530001,17.530001,18.690001,17.200001,18.690001,CMCM,2622000
2015-03-23,18.59,18.59,19.40,18.299999,18.719999,CMCM,1560600
2015-03-24,17.5,17.50,18.690001,17.469999,18.60,CMCM,1645300
2015-03-25,16.75,16.75,17.99,16.379999,17.549999,CMCM,1231900
2015-03-26,16.52,16.52,17.139999,16.48,16.75,CMCM,514300
2015-03-27,17.52,17.52,17.67,17.00,17.049999,CMCM,736700
2015-03-30,17.52,17.52,18.25,17.120001,17.709999,CMCM,724500
2015-03-31,17.09,17.09,17.724001,17.02,17.26,CMCM,382400
2015-04-01,17.459999,17.459999,17.90,17.229,17.24,CMCM,595100
2015-04-02,20.09,20.09,20.10,17.77,17.77,CMCM,2414000
2015-04-06,21.290001,21.290001,21.50,19.030001,19.75,CMCM,1786200
2015-04-07,23.950001,23.950001,25.00,21.15,21.15,CMCM,3976000
2015-04-08,24.24,24.24,25.549999,23.209999,24.18,CMCM,2203300
2015-04-09,22.02,22.02,24.110001,21.66,24.110001,CMCM,2196100
2015-04-10,23.67,23.67,23.85,22.280001,22.280001,CMCM,1606700
2015-04-13,22.620001,22.620001,24.280001,22.52,23.66,CMCM,1202200
2015-04-14,22.709999,22.709999,23.200001,21.700001,23.17,CMCM,934500
2015-04-15,22.74,22.74,23.450001,21.879999,23.01,CMCM,875300
2015-04-16,22.959999,22.959999,24.209999,22.60,23.049999,CMCM,1418600
2015-04-17,22.799999,22.799999,23.15,21.629999,22.48,CMCM,1481800
2015-04-20,22.040001,22.040001,23.290001,21.91,23.00,CMCM,724100
2015-04-21,21.77,21.77,22.959999,21.709999,22.200001,CMCM,1560100
2015-04-22,23.51,23.51,23.861,21.90,21.90,CMCM,1788000
2015-04-23,23.98,23.98,24.290001,23.26,23.559999,CMCM,1724800
2015-04-24,24.110001,24.110001,24.469999,23.73,24.200001,CMCM,1423700
2015-04-27,23.48,23.48,24.50,23.07,24.309999,CMCM,867700
2015-04-28,24.1,24.10,24.450001,23.00,23.030001,CMCM,1137400
2015-04-29,23.51,23.51,24.25,23.34,23.950001,CMCM,402600
2015-04-30,22.66,22.66,23.34,22.129999,23.219999,CMCM,984400
2015-05-01,22.83,22.83,23.15,22.00,22.290001,CMCM,401300
2015-05-04,23.43,23.43,24.41,22.889999,23.059999,CMCM,524100
2015-05-05,22.67,22.67,23.190001,22.540001,22.959999,CMCM,597300
2015-05-06,22.73,22.73,22.790001,21.93,22.610001,CMCM,974400
2015-05-07,22.67,22.67,23.09,21.98,22.870001,CMCM,859300
2015-05-08,22.59,22.59,23.18,22.42,22.879999,CMCM,405100
2015-05-11,24.9,24.90,25.50,22.950001,22.98,CMCM,2314400
2015-05-12,25.98,25.98,26.40,23.85,24.639999,CMCM,2920300
2015-05-13,26.83,26.83,26.93,25.459999,25.639999,CMCM,1681500
2015-05-14,28.85,28.85,29.879999,26.950001,27.00,CMCM,3075400
2015-05-15,30.530001,30.530001,30.84,28.41,28.549999,CMCM,2513200
2015-05-18,30.040001,30.040001,30.68,29.139999,30.17,CMCM,1930300
2015-05-19,34.73,34.73,35.00,30.065001,30.57,CMCM,4676200
2015-05-20,35.080002,35.080002,36.630001,32.68,34.450001,CMCM,3515500
2015-05-21,33.990002,33.990002,34.919998,32.810001,34.919998,CMCM,1842200
2015-05-22,33.459999,33.459999,34.290001,32.299999,34.119999,CMCM,1568000
2015-05-26,32.259998,32.259998,33.459999,31.700001,33.200001,CMCM,1230800
2015-05-27,32.970001,32.970001,33.310001,30.889999,32.459999,CMCM,1287700
2015-05-28,32.07,32.07,32.759998,31.15,32.50,CMCM,791800
2015-05-29,31.84,31.84,33.16,31.52,31.99,CMCM,888100
2015-06-01,32.400002,32.400002,33.990002,31.799999,33.00,CMCM,1411000
2015-06-02,32.48,32.48,33.50,32.099998,32.490002,CMCM,900300
2015-06-03,33.540001,33.540001,34.00,32.029999,32.740002,CMCM,960500
2015-06-04,33.099998,33.099998,34.589001,32.52,33.389999,CMCM,854900
2015-06-05,34.84,34.84,35.529999,32.119999,32.529999,CMCM,1608100
2015-06-08,34.25,34.25,36.130001,34.02,34.639999,CMCM,1070700
2015-06-09,32.68,32.68,34.740002,30.74,34.16,CMCM,1817900
2015-06-10,31.92,31.92,32.650002,31.485001,32.59,CMCM,708000
2015-06-11,32.240002,32.240002,32.68,31.559999,32.00,CMCM,852800
2015-06-12,34.099998,34.099998,34.849998,32.240002,32.25,CMCM,1512500
2015-06-15,33.490002,33.490002,33.990002,32.799999,33.669998,CMCM,553800
2015-06-16,32.389999,32.389999,33.50,31.32,33.50,CMCM,1082200
2015-06-17,33.759998,33.759998,34.50,32.50,33.09,CMCM,1493100
2015-06-18,34.959999,34.959999,36.369999,32.700001,33.470001,CMCM,2534900
2015-06-19,33.75,33.75,35.360001,33.200001,35.02,CMCM,1171600
2015-06-22,33.09,33.09,35.02,31.610001,34.970001,CMCM,984900
2015-06-23,33.080002,33.080002,33.73,32.209999,33.540001,CMCM,649400
2015-06-24,33.080002,33.080002,35.669998,32.580002,33.259998,CMCM,1750800
2015-06-25,33.060001,33.060001,34.285,32.866001,33.060001,CMCM,682900
2015-06-26,31.01,31.01,32.880001,30.10,32.580002,CMCM,3139300
