Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,39.939999,39.939999,40.950001,39.044998,40.50,CRTO,153900
2015-01-05,37.830002,37.830002,39.950001,37.700001,39.099998,CRTO,412200
2015-01-06,39.209999,39.209999,40.00,37.950001,37.950001,CRTO,581300
2015-01-07,39.639999,39.639999,40.00,39.118,39.41,CRTO,188500
2015-01-08,40.66,40.66,41.00,39.509998,40.00,CRTO,419100
2015-01-09,40.970001,40.970001,41.400002,40.150002,40.709999,CRTO,240600
2015-01-12,40.23,40.23,40.950001,39.308998,40.950001,CRTO,264000
2015-01-13,39.73,39.73,41.09,39.509998,40.509998,CRTO,376900
2015-01-14,40.439999,40.439999,40.700001,39.220001,39.220001,CRTO,216900
2015-01-15,39.25,39.25,40.869999,38.66,40.689999,CRTO,539900
2015-01-16,39.91,39.91,40.106998,38.619999,39.349998,CRTO,371800
2015-01-20,41.650002,41.650002,41.77,39.400002,40.150002,CRTO,513300
2015-01-21,41.470001,41.470001,42.00,40.939999,41.380001,CRTO,365500
2015-01-22,43.0,43.00,43.380001,41.009998,42.00,CRTO,578200
2015-01-23,41.57,41.57,42.974998,41.00,42.900002,CRTO,359000
2015-01-26,41.02,41.02,42.279999,40.880001,42.279999,CRTO,159700
2015-01-27,41.209999,41.209999,41.389999,39.549999,40.369999,CRTO,295600
2015-01-28,39.779999,39.779999,41.880001,39.639999,41.18,CRTO,169900
2015-01-29,39.98,39.98,40.400002,38.560001,39.900002,CRTO,334100
2015-01-30,38.950001,38.950001,40.16,38.759998,39.580002,CRTO,277000
2015-02-02,38.880001,38.880001,39.959999,38.549999,39.119999,CRTO,501500
2015-02-03,39.73,39.73,39.889999,38.540001,39.060001,CRTO,313500
2015-02-04,39.459999,39.459999,40.084999,38.560001,39.43,CRTO,309500
2015-02-05,40.810001,40.810001,41.209999,39.00,39.439999,CRTO,385700
2015-02-06,38.950001,38.950001,41.07,38.919998,41.07,CRTO,545900
2015-02-09,38.869999,38.869999,39.57,38.66,38.84,CRTO,238400
2015-02-10,40.860001,40.860001,41.07,38.939999,38.939999,CRTO,463600
2015-02-11,40.389999,40.389999,41.130001,40.009998,40.82,CRTO,101200
2015-02-12,40.290001,40.290001,41.220001,40.00,40.59,CRTO,317300
2015-02-13,40.700001,40.700001,41.18,40.049999,40.23,CRTO,720100
2015-02-17,42.900002,42.900002,43.139999,40.50,40.919998,CRTO,1397300
2015-02-18,43.43,43.43,46.50,41.50,46.00,CRTO,2227800
2015-02-19,44.5,44.50,45.00,42.509998,44.25,CRTO,1765400
2015-02-20,44.630001,44.630001,45.00,43.50,44.25,CRTO,949400
2015-02-23,44.529999,44.529999,44.880001,43.599998,44.849998,CRTO,827900
2015-02-24,43.259998,43.259998,44.549999,43.00,44.259998,CRTO,388600
2015-02-25,44.689999,44.689999,45.189999,43.310001,43.400002,CRTO,885400
2015-02-26,44.34,44.34,45.130001,44.02,44.02,CRTO,590600
2015-02-27,45.360001,45.360001,45.720001,44.00,44.00,CRTO,845300
2015-03-02,45.689999,45.689999,46.25,45.209999,45.599998,CRTO,802100
2015-03-03,44.59,44.59,45.950001,44.049999,45.389999,CRTO,549600
2015-03-04,43.700001,43.700001,44.990002,43.669998,44.220001,CRTO,389100
2015-03-05,43.669998,43.669998,44.610001,42.630001,43.75,CRTO,317500
