Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,52.669998,52.669998,53.77,52.00,52.889999,CTSH,2370900
2015-01-05,52.34,52.34,53.970001,52.07,53.970001,CTSH,3017300
2015-01-06,50.98,50.98,52.32,50.709999,52.110001,CTSH,4183800
2015-01-07,52.650002,52.650002,52.68,51.209999,51.209999,CTSH,4411400
2015-01-08,53.880001,53.880001,54.110001,52.599998,52.84,CTSH,5570200
2015-01-09,54.119999,54.119999,54.650002,53.540001,54.549999,CTSH,4164500
2015-01-12,54.150002,54.150002,54.799999,53.810001,54.029999,CTSH,6146300
2015-01-13,54.150002,54.150002,55.68,53.700001,54.790001,CTSH,3629300
2015-01-14,54.41,54.41,54.41,53.139999,53.830002,CTSH,4155300
2015-01-15,53.84,53.84,54.669998,53.43,54.360001,CTSH,4758300
2015-01-16,55.040001,55.040001,55.119999,53.630001,53.93,CTSH,4376800
2015-01-20,55.599998,55.599998,55.740002,54.700001,55.23,CTSH,4715300
2015-01-21,55.279999,55.279999,55.75,54.860001,55.549999,CTSH,4586100
2015-01-22,56.18,56.18,56.200001,55.049999,55.349998,CTSH,4849800
2015-01-23,56.060001,56.060001,56.619999,55.830002,56.049999,CTSH,3501000
2015-01-26,56.099998,56.099998,56.25,55.669998,56.169998,CTSH,4145400
2015-01-27,55.259998,55.259998,55.91,54.849998,55.700001,CTSH,3269200
2015-01-28,54.43,54.43,55.720001,54.299999,55.389999,CTSH,4798700
2015-01-29,55.48,55.48,55.50,54.02,54.389999,CTSH,3545400
2015-01-30,54.130001,54.130001,55.310001,54.040001,55.009998,CTSH,3756400
2015-02-02,54.310001,54.310001,54.419998,53.330002,54.41,CTSH,4581400
2015-02-03,55.099998,55.099998,55.220001,54.07,54.720001,CTSH,5447100
2015-02-04,57.880001,57.880001,59.639999,57.00,57.00,CTSH,11625800
2015-02-05,57.639999,57.639999,58.209999,56.529999,57.91,CTSH,5591400
2015-02-06,57.439999,57.439999,57.939999,56.900002,57.639999,CTSH,4100200
2015-02-09,57.450001,57.450001,57.900002,56.900002,57.189999,CTSH,4540400
2015-02-10,58.400002,58.400002,58.50,57.73,57.75,CTSH,4742400
2015-02-11,58.889999,58.889999,59.09,58.43,58.50,CTSH,3619200
2015-02-12,60.279999,60.279999,60.299999,59.02,59.060001,CTSH,3859700
