Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,46.470001,46.470001,48.16,46.00,47.77,EPAM,379300
2015-01-05,46.27,46.27,47.619999,45.799999,46.00,EPAM,294300
2015-01-06,46.290001,46.290001,47.23,45.77,46.290001,EPAM,426200
2015-01-07,47.290001,47.290001,47.560001,46.470001,46.50,EPAM,253900
2015-01-08,48.669998,48.669998,48.779999,47.509998,47.919998,EPAM,562300
2015-01-09,48.34,48.34,49.209999,48.259998,48.68,EPAM,232600
2015-01-12,47.75,47.75,48.330002,47.290001,48.330002,EPAM,204600
2015-01-13,47.869999,47.869999,49.34,46.75,48.310001,EPAM,338800
2015-01-14,46.419998,46.419998,48.00,45.27,47.490002,EPAM,385800
2015-01-15,45.41,45.41,46.779999,45.279999,46.459999,EPAM,191700
2015-01-16,47.450001,47.450001,47.540001,45.310001,45.310001,EPAM,241200
2015-01-20,46.529999,46.529999,47.98,45.279999,47.439999,EPAM,251100
2015-01-21,46.41,46.41,47.189999,46.240002,46.57,EPAM,239300
2015-01-22,46.82,46.82,46.84,45.779999,46.689999,EPAM,160000
2015-01-23,46.389999,46.389999,47.00,46.130001,46.830002,EPAM,156800
2015-01-26,47.299999,47.299999,47.360001,46.00,46.220001,EPAM,251400
2015-01-27,46.610001,46.610001,47.07,46.25,47.060001,EPAM,162400
2015-01-28,47.5,47.50,48.439999,46.830002,46.849998,EPAM,360400
2015-01-29,47.810001,47.810001,47.900002,46.490002,47.709999,EPAM,219600
2015-01-30,48.93,48.93,50.450001,47.290001,47.290001,EPAM,631600
2015-02-02,46.740002,46.740002,49.16,45.740002,49.07,EPAM,505000
2015-02-03,47.459999,47.459999,47.689999,46.799999,46.860001,EPAM,268700
2015-02-04,50.509998,50.509998,50.810001,47.240002,47.240002,EPAM,376300
2015-02-05,51.389999,51.389999,51.450001,50.310001,50.919998,EPAM,262000
2015-02-06,51.009998,51.009998,52.029999,50.52,51.299999,EPAM,208300
2015-02-09,51.0,51.00,51.66,50.68,50.869999,EPAM,270900
2015-02-10,51.400002,51.400002,51.66,50.77,51.150002,EPAM,205500
2015-02-11,51.41,51.41,51.700001,51.009998,51.400002,EPAM,192000
2015-02-12,56.009998,56.009998,56.50,51.259998,51.400002,EPAM,725500
2015-02-13,54.080002,54.080002,56.330002,52.599998,56.330002,EPAM,456000
2015-02-17,52.849998,52.849998,54.310001,52.540001,53.990002,EPAM,243700
2015-02-18,53.259998,53.259998,53.32,51.720001,52.630001,EPAM,319300
2015-02-19,55.900002,55.900002,56.75,52.939999,53.009998,EPAM,408900
2015-02-20,57.32,57.32,57.48,55.040001,56.00,EPAM,337300
2015-02-23,56.880001,56.880001,57.560001,56.060001,57.00,EPAM,324600
