Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,31.035,31.035,32.009998,30.60,31.889999,FEYE,4306100
2015-01-05,32.009998,32.009998,32.189999,30.65,30.940001,FEYE,4696800
2015-01-06,29.780001,29.780001,31.98,29.25,31.969999,FEYE,6727300
2015-01-07,30.889999,30.889999,31.50,30.290001,30.889999,FEYE,5684700
2015-01-08,33.099998,33.099998,33.389999,31.209999,31.24,FEYE,6737400
2015-01-09,33.68,33.68,34.169998,32.610001,33.18,FEYE,6997900
2015-01-12,35.290001,35.290001,35.580002,33.360001,33.700001,FEYE,10314800
2015-01-13,34.169998,34.169998,35.439999,33.330002,35.369999,FEYE,7831300
2015-01-14,34.150002,34.150002,34.82,33.32,33.549999,FEYE,3886300
2015-01-15,32.459999,32.459999,34.450001,32.400002,34.450001,FEYE,5624800
2015-01-16,32.889999,32.889999,32.98,32.110001,32.490002,FEYE,3845700
2015-01-20,33.529999,33.529999,33.880001,32.25,33.009998,FEYE,4348500
2015-01-21,34.220001,34.220001,34.610001,33.310001,34.00,FEYE,4943100
2015-01-22,33.540001,33.540001,34.349998,33.25,34.259998,FEYE,4785600
2015-01-23,34.93,34.93,35.32,33.599998,33.740002,FEYE,6394400
2015-01-26,35.389999,35.389999,35.790001,34.400002,35.110001,FEYE,5857400
2015-01-27,34.849998,34.849998,35.50,33.919998,34.349998,FEYE,4674500
2015-01-28,33.009998,33.009998,35.310001,33.00,35.200001,FEYE,5635300
2015-01-29,32.740002,32.740002,32.950001,31.370001,32.900002,FEYE,5528700
2015-01-30,33.810001,33.810001,34.700001,32.830002,32.860001,FEYE,6604200
2015-02-02,34.360001,34.360001,34.509998,33.369999,34.16,FEYE,3804400
2015-02-03,35.119999,35.119999,35.389999,34.060001,34.580002,FEYE,6012300
2015-02-04,34.509998,34.509998,35.110001,34.130001,35.00,FEYE,3200400
2015-02-05,36.52,36.52,36.849998,35.50,35.50,FEYE,10157700
2015-02-06,36.049999,36.049999,36.75,35.310001,36.740002,FEYE,5826300
2015-02-09,35.540001,35.540001,36.290001,35.439999,35.75,FEYE,4597500
2015-02-10,36.52,36.52,36.549999,35.169998,35.740002,FEYE,5752300
2015-02-11,35.689999,35.689999,36.799999,35.439999,36.799999,FEYE,11592000
2015-02-12,39.630001,39.630001,40.400002,37.869999,38.040001,FEYE,29348300
2015-02-13,42.259998,42.259998,42.48,40.560001,40.974998,FEYE,23018800
2015-02-17,43.84,43.84,44.470001,42.00,42.299999,FEYE,16173700
2015-02-18,43.665001,43.665001,44.900002,43.060001,44.73,FEYE,13472000
2015-02-19,44.27,44.27,44.689999,42.360001,43.639999,FEYE,9013800
2015-02-20,46.150002,46.150002,46.18,43.93,44.130001,FEYE,11983800
2015-02-23,43.349998,43.349998,45.790001,43.09,45.75,FEYE,11910800
2015-02-24,43.970001,43.970001,44.470001,42.700001,43.759998,FEYE,7612500
2015-02-25,45.395,45.395,45.639999,43.919998,44.470001,FEYE,7420900
2015-02-26,45.41,45.41,46.439999,44.849998,45.639999,FEYE,6363400
2015-02-27,44.27,44.27,45.900002,44.200001,45.209999,FEYE,5425600
2015-03-02,44.82,44.82,44.84,43.403999,44.509998,FEYE,5658800
2015-03-03,45.07,45.07,45.439999,44.09,44.490002,FEYE,4705500
2015-03-04,43.82,43.82,44.779999,42.799999,44.66,FEYE,8873900
2015-03-05,43.91,43.91,44.43,43.25,43.799999,FEYE,4541800
2015-03-06,42.830002,42.830002,44.27,42.509998,43.73,FEYE,4832600
2015-03-09,43.264999,43.264999,43.389999,42.130001,43.080002,FEYE,4035800
2015-03-10,41.43,41.43,42.50,40.779999,42.439999,FEYE,5779600
2015-03-11,42.060001,42.060001,42.470001,41.060001,41.68,FEYE,3636000
2015-03-12,43.060001,43.060001,43.275002,41.91,42.18,FEYE,4799600
2015-03-13,42.040001,42.040001,43.48,41.720001,43.009998,FEYE,4531700
2015-03-16,42.369999,42.369999,42.790001,41.060001,42.419998,FEYE,5313300
2015-03-17,42.595001,42.595001,43.080002,41.790001,42.23,FEYE,3299700
2015-03-18,43.360001,43.360001,43.599998,42.189999,42.279999,FEYE,5751400
2015-03-19,43.02,43.02,43.919998,42.869999,43.369999,FEYE,3454600
2015-03-20,41.695,41.695,43.630001,41.349998,43.630001,FEYE,6511300
2015-03-23,41.330002,41.330002,42.880001,41.139999,42.009998,FEYE,5073800
2015-03-24,40.790001,40.790001,41.82,40.700001,41.740002,FEYE,4088000
2015-03-25,39.209999,39.209999,41.23,38.400002,41.07,FEYE,9557300
2015-03-26,39.310001,39.310001,39.790001,38.02,38.529999,FEYE,4426000
2015-03-27,39.810001,39.810001,40.080002,38.810001,39.130001,FEYE,3809500
2015-03-30,40.035,40.035,40.50,39.619999,40.310001,FEYE,3237200
2015-03-31,39.25,39.25,40.00,39.230999,39.860001,FEYE,3458300
2015-04-01,38.139999,38.139999,39.299999,37.66,38.98,FEYE,5265500
2015-04-02,38.66,38.66,38.835999,37.810001,38.439999,FEYE,2933700
2015-04-06,38.939999,38.939999,39.240002,38.119999,38.169998,FEYE,2839300
2015-04-07,39.91,39.91,40.779999,39.205002,39.290001,FEYE,5980100
