Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,11.1,11.10,11.24,10.96,11.22,FLEX,3145100
2015-01-05,10.82,10.82,11.02,10.75,11.01,FLEX,4109400
2015-01-06,10.47,10.47,10.84,10.35,10.82,FLEX,9527500
2015-01-07,10.89,10.89,10.91,10.50,10.55,FLEX,7791000
2015-01-08,11.09,11.09,11.11,10.92,10.94,FLEX,3509500
2015-01-09,11.09,11.09,11.17,11.02,11.09,FLEX,2579600
2015-01-12,10.81,10.81,11.12,10.71,11.06,FLEX,3303800
2015-01-13,10.8,10.80,11.06,10.65,10.87,FLEX,4620400
2015-01-14,10.82,10.82,10.91,10.62,10.70,FLEX,4791100
2015-01-15,10.68,10.68,10.93,10.66,10.89,FLEX,3408700
2015-01-16,10.87,10.87,10.89,10.62,10.69,FLEX,2543200
2015-01-20,10.74,10.74,10.97,10.72,10.97,FLEX,3169600
2015-01-21,10.86,10.86,10.90,10.61,10.75,FLEX,4410400
2015-01-22,10.87,10.87,10.95,10.75,10.90,FLEX,3758600
2015-01-23,11.0,11.00,11.05,10.89,10.95,FLEX,3689000
2015-01-26,11.04,11.04,11.10,10.99,11.04,FLEX,2795300
2015-01-27,10.65,10.65,10.99,10.62,10.90,FLEX,4202500
2015-01-28,10.57,10.57,10.93,10.56,10.92,FLEX,5022000
2015-01-29,11.35,11.35,11.35,10.95,11.09,FLEX,12198600
2015-01-30,11.12,11.12,11.26,11.00,11.14,FLEX,6647500
2015-02-02,11.2,11.20,11.25,10.93,11.09,FLEX,4865800
2015-02-03,11.68,11.68,11.71,11.27,11.30,FLEX,6329900
2015-02-04,11.62,11.62,11.87,11.56,11.68,FLEX,4586000
2015-02-05,11.88,11.88,11.94,11.67,11.70,FLEX,3934200
2015-02-06,11.74,11.74,11.91,11.69,11.89,FLEX,3705700
2015-02-09,11.63,11.63,11.85,11.61,11.70,FLEX,3276500
2015-02-10,11.86,11.86,11.90,11.60,11.74,FLEX,3165600
2015-02-11,11.93,11.93,11.95,11.76,11.81,FLEX,3953900
2015-02-12,12.14,12.14,12.16,11.94,12.00,FLEX,4229500
2015-02-13,12.05,12.05,12.16,11.89,12.15,FLEX,5749800
2015-02-17,12.15,12.15,12.25,12.00,12.05,FLEX,4155600
2015-02-18,12.03,12.03,12.25,11.98,12.20,FLEX,5717200
2015-02-19,12.07,12.07,12.21,11.97,12.04,FLEX,3090500
2015-02-20,12.23,12.23,12.23,12.00,12.07,FLEX,2781400
2015-02-23,12.21,12.21,12.26,12.06,12.25,FLEX,2483300
2015-02-24,12.4,12.40,12.44,12.22,12.23,FLEX,4604500
2015-02-25,12.29,12.29,12.44,12.25,12.39,FLEX,2589400
2015-02-26,12.28,12.28,12.48,12.25,12.30,FLEX,4554100
2015-02-27,12.18,12.18,12.35,12.12,12.29,FLEX,7612500
2015-03-02,12.23,12.23,12.36,12.15,12.15,FLEX,4081600
2015-03-03,11.92,11.92,12.21,11.89,12.19,FLEX,6133500
2015-03-04,11.95,11.95,12.07,11.80,11.92,FLEX,6790300
2015-03-05,11.96,11.96,12.03,11.90,11.96,FLEX,3122000
2015-03-06,11.76,11.76,11.94,11.70,11.93,FLEX,3471100
2015-03-09,11.65,11.65,11.82,11.62,11.76,FLEX,3565700
2015-03-10,11.41,11.41,11.65,11.35,11.53,FLEX,3274500
2015-03-11,11.48,11.48,11.55,11.34,11.41,FLEX,2338100
2015-03-12,11.55,11.55,11.59,11.41,11.41,FLEX,1765400
2015-03-13,11.69,11.69,11.79,11.57,11.67,FLEX,2938800
2015-03-16,11.9,11.90,11.93,11.69,11.73,FLEX,3435100
2015-03-17,11.95,11.95,12.00,11.80,11.82,FLEX,3957800
2015-03-18,12.08,12.08,12.24,11.91,11.95,FLEX,4936700
2015-03-19,12.12,12.12,12.23,12.03,12.06,FLEX,4422300
2015-03-20,12.28,12.28,12.35,12.18,12.25,FLEX,3328900
2015-03-23,12.36,12.36,12.40,12.22,12.39,FLEX,2692300
2015-03-24,12.45,12.45,12.50,12.31,12.34,FLEX,4287400
2015-03-25,12.21,12.21,12.61,12.21,12.46,FLEX,7488700
2015-03-26,12.34,12.34,12.41,12.12,12.18,FLEX,5464000
2015-03-27,12.38,12.38,12.45,12.25,12.25,FLEX,2939200
2015-03-30,12.65,12.65,12.74,12.40,12.42,FLEX,4233400
2015-03-31,12.68,12.68,12.78,12.60,12.63,FLEX,6396800
2015-04-01,12.57,12.57,12.63,12.44,12.61,FLEX,4864400
2015-04-02,12.52,12.52,12.65,12.47,12.60,FLEX,3543800
2015-04-06,12.59,12.59,12.63,12.40,12.40,FLEX,2723100
2015-04-07,12.57,12.57,12.74,12.53,12.60,FLEX,2550300
2015-04-08,12.79,12.79,12.79,12.55,12.60,FLEX,3188300
2015-04-09,12.78,12.78,12.86,12.65,12.72,FLEX,2441600
2015-04-10,12.84,12.84,12.84,12.66,12.71,FLEX,1940600
2015-04-13,12.61,12.61,12.83,12.59,12.83,FLEX,2402100
2015-04-14,12.55,12.55,12.61,12.42,12.58,FLEX,3951300
2015-04-15,12.76,12.76,12.79,12.60,12.64,FLEX,3105700
2015-04-16,12.61,12.61,12.72,12.59,12.67,FLEX,1898100
2015-04-17,12.35,12.35,12.55,12.20,12.48,FLEX,2675700
2015-04-20,12.46,12.46,12.52,12.33,12.36,FLEX,2004200
2015-04-21,12.45,12.45,12.54,12.38,12.50,FLEX,2053800
2015-04-22,12.59,12.59,12.61,12.18,12.45,FLEX,2652000
2015-04-23,12.53,12.53,12.64,12.38,12.52,FLEX,2784500
2015-04-24,12.35,12.35,12.54,12.29,12.50,FLEX,2592100
2015-04-27,12.27,12.27,12.46,12.20,12.36,FLEX,2383000
2015-04-28,12.17,12.17,12.32,12.05,12.22,FLEX,3193400
2015-04-29,12.22,12.22,12.32,12.05,12.11,FLEX,3685500
