Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,19.6,19.60,20.07,19.450001,19.68,IDTI,1143800
2015-01-05,18.9,18.90,19.57,18.82,19.440001,IDTI,1999900
2015-01-06,17.25,17.25,17.90,16.719999,17.90,IDTI,9788300
2015-01-07,18.26,18.26,18.540001,17.42,17.57,IDTI,4579600
2015-01-08,18.530001,18.530001,18.969999,18.360001,18.360001,IDTI,2991700
2015-01-09,18.32,18.32,18.90,18.25,18.610001,IDTI,2229300
2015-01-12,17.799999,17.799999,18.559999,17.65,18.40,IDTI,2805700
2015-01-13,17.43,17.43,18.23,17.219999,18.00,IDTI,2968500
2015-01-14,17.08,17.08,17.719999,17.049999,17.139999,IDTI,2729900
2015-01-15,17.01,17.01,17.68,16.860001,17.43,IDTI,4824700
2015-01-16,17.440001,17.440001,17.58,16.66,16.93,IDTI,2931300
2015-01-20,17.59,17.59,17.83,17.27,17.43,IDTI,2238000
2015-01-21,18.42,18.42,18.450001,17.49,17.549999,IDTI,2821100
2015-01-22,18.690001,18.690001,18.790001,18.120001,18.50,IDTI,2633000
2015-01-23,18.93,18.93,19.190001,18.620001,18.68,IDTI,2172500
2015-01-26,18.860001,18.860001,19.030001,18.639999,18.870001,IDTI,1643000
2015-01-27,18.43,18.43,18.75,18.309999,18.59,IDTI,1924100
2015-01-28,18.379999,18.379999,19.030001,18.32,18.60,IDTI,3153300
2015-01-29,18.77,18.77,18.870001,18.07,18.450001,IDTI,2332500
2015-01-30,18.290001,18.290001,19.00,18.23,18.690001,IDTI,2251600
2015-02-02,18.639999,18.639999,18.709999,17.65,18.360001,IDTI,5367800
2015-02-03,19.25,19.25,20.15,18.370001,19.66,IDTI,10097600
2015-02-04,19.66,19.66,19.969999,19.120001,19.209999,IDTI,4047300
2015-02-05,20.24,20.24,20.27,19.799999,19.83,IDTI,3577200
2015-02-06,20.27,20.27,20.790001,20.190001,20.530001,IDTI,4184400
2015-02-09,19.85,19.85,20.209999,19.639999,20.139999,IDTI,2190500
2015-02-10,20.27,20.27,20.280001,19.57,20.01,IDTI,2207700
2015-02-11,20.74,20.74,20.870001,20.200001,20.200001,IDTI,2355800
2015-02-12,20.940001,20.940001,21.450001,20.83,20.90,IDTI,2644700
2015-02-13,20.559999,20.559999,21.040001,20.42,21.00,IDTI,3391600
2015-02-17,20.92,20.92,21.049999,20.52,20.52,IDTI,2142900
2015-02-18,20.68,20.68,20.93,20.60,20.84,IDTI,1649000
2015-02-19,20.9,20.90,20.959999,20.540001,20.639999,IDTI,1751500
2015-02-20,20.84,20.84,20.93,20.469999,20.809999,IDTI,2126400
2015-02-23,20.6,20.60,20.83,20.41,20.83,IDTI,1504500
2015-02-24,21.07,21.07,21.08,20.559999,20.66,IDTI,2188500
2015-02-25,20.799999,20.799999,21.059999,20.709999,21.049999,IDTI,1996300
2015-02-26,20.74,20.74,21.17,20.65,20.809999,IDTI,2662100
2015-02-27,20.639999,20.639999,20.950001,20.610001,20.790001,IDTI,1811800
2015-03-02,21.209999,21.209999,21.209999,20.59,20.700001,IDTI,4530300
2015-03-03,20.309999,20.309999,21.219999,20.190001,21.209999,IDTI,4410500
2015-03-04,20.4,20.40,20.52,20.02,20.16,IDTI,3088700
2015-03-05,20.24,20.24,20.59,20.139999,20.48,IDTI,1871300
2015-03-06,19.84,19.84,20.440001,19.790001,20.17,IDTI,2279000
2015-03-09,20.0,20.00,20.34,19.940001,19.99,IDTI,2911600
2015-03-10,19.610001,19.610001,19.98,19.389999,19.799999,IDTI,1834700
2015-03-11,20.16,20.16,20.309999,19.65,19.690001,IDTI,2096300
2015-03-12,20.549999,20.549999,20.67,19.92,20.059999,IDTI,3032100
2015-03-13,20.450001,20.450001,20.65,20.059999,20.559999,IDTI,1660600
2015-03-16,20.530001,20.530001,20.709999,20.209999,20.530001,IDTI,1835700
2015-03-17,20.43,20.43,20.540001,20.02,20.379999,IDTI,1601100
2015-03-18,20.459999,20.459999,20.709999,20.15,20.360001,IDTI,1972900
2015-03-19,20.85,20.85,20.879999,20.299999,20.40,IDTI,1512600
2015-03-20,21.530001,21.530001,21.58,20.68,21.02,IDTI,4122100
2015-03-23,21.07,21.07,21.67,21.01,21.540001,IDTI,2614600
2015-03-24,21.5,21.50,21.73,21.15,21.15,IDTI,3442400
2015-03-25,19.540001,19.540001,21.559999,19.530001,21.51,IDTI,4580600
2015-03-26,19.4,19.40,19.530001,18.85,19.200001,IDTI,5316600
2015-03-27,19.790001,19.790001,19.889999,19.16,19.370001,IDTI,2077000
2015-03-30,20.42,20.42,20.48,19.85,19.870001,IDTI,2568800
2015-03-31,20.02,20.02,20.309999,19.85,20.25,IDTI,1701800
2015-04-01,19.85,19.85,20.129999,19.52,19.92,IDTI,1804500
2015-04-02,19.75,19.75,20.16,19.73,19.889999,IDTI,1133500
2015-04-06,20.049999,20.049999,20.08,19.09,19.52,IDTI,2551500
2015-04-07,19.52,19.52,20.190001,19.50,20.16,IDTI,2505200
2015-04-08,19.959999,19.959999,20.040001,19.52,19.52,IDTI,1997700
2015-04-09,20.559999,20.559999,20.610001,19.879999,19.889999,IDTI,1878000
2015-04-10,20.26,20.26,20.68,20.139999,20.65,IDTI,1393700
2015-04-13,20.459999,20.459999,20.74,20.25,20.25,IDTI,1316900
2015-04-14,19.85,19.85,20.41,19.74,20.379999,IDTI,1578000
2015-04-15,20.379999,20.379999,20.530001,19.90,19.90,IDTI,2296900
2015-04-16,20.32,20.32,20.52,20.17,20.309999,IDTI,1042000
2015-04-17,20.049999,20.049999,20.10,19.68,20.10,IDTI,1631800
2015-04-20,20.540001,20.540001,20.690001,20.10,20.190001,IDTI,1470800
2015-04-21,20.52,20.52,20.709999,20.41,20.66,IDTI,939000
2015-04-22,20.639999,20.639999,20.700001,20.10,20.51,IDTI,1042500
2015-04-23,19.690001,19.690001,20.24,19.40,20.18,IDTI,2856000
2015-04-24,18.41,18.41,19.639999,18.309999,19.639999,IDTI,5929700
2015-04-27,18.530001,18.530001,19.139999,18.360001,18.360001,IDTI,3812900
2015-04-28,18.549999,18.549999,18.76,18.129999,18.57,IDTI,3913000
2015-04-29,18.299999,18.299999,18.559999,18.139999,18.450001,IDTI,2584300
2015-04-30,18.190001,18.190001,18.65,18.02,18.15,IDTI,4410300
2015-05-01,18.76,18.76,18.82,18.08,18.24,IDTI,3968500
2015-05-04,18.370001,18.370001,18.91,18.110001,18.889999,IDTI,6631000
2015-05-05,19.32,19.32,19.950001,19.129999,19.129999,IDTI,9945600
2015-05-06,19.51,19.51,19.549999,19.02,19.370001,IDTI,3801200
2015-05-07,20.129999,20.129999,20.219999,19.51,19.51,IDTI,3209900
2015-05-08,20.48,20.48,20.709999,20.10,20.16,IDTI,2464200
2015-05-11,20.76,20.76,20.879999,20.40,20.450001,IDTI,2148100
2015-05-12,21.41,21.41,21.50,20.74,20.790001,IDTI,4353500
2015-05-13,21.52,21.52,22.059999,21.24,21.41,IDTI,4402700
2015-05-14,21.950001,21.950001,22.01,21.57,21.639999,IDTI,3775900
2015-05-15,21.98,21.98,22.030001,21.65,22.00,IDTI,2778100
2015-05-18,22.4,22.40,22.50,21.780001,21.85,IDTI,3184300
2015-05-19,22.129999,22.129999,22.50,21.98,22.40,IDTI,2357500
2015-05-20,22.26,22.26,22.52,22.030001,22.129999,IDTI,1797700
2015-05-21,22.309999,22.309999,22.58,22.200001,22.32,IDTI,1878100
2015-05-22,22.620001,22.620001,22.75,22.280001,22.32,IDTI,1386200
2015-05-26,22.34,22.34,22.620001,22.190001,22.57,IDTI,2300200
2015-05-27,23.16,23.16,23.41,22.190001,22.540001,IDTI,3963200
2015-05-28,23.620001,23.620001,24.15,23.49,23.85,IDTI,5658700
2015-05-29,23.66,23.66,23.940001,23.52,23.83,IDTI,2718100
2015-06-01,24.09,24.09,24.10,23.43,23.809999,IDTI,3602600
2015-06-02,23.99,23.99,24.110001,23.799999,24.02,IDTI,2350700
2015-06-03,23.99,23.99,24.389999,23.950001,24.139999,IDTI,2067300
2015-06-04,23.879999,23.879999,24.059999,23.75,23.90,IDTI,1900500
2015-06-05,24.18,24.18,24.24,23.610001,23.879999,IDTI,1792600
