Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,44.114172,46.00,46.16,45.279999,45.799999,LLTC,1636700
2015-01-05,43.433281,45.290001,46.150002,45.25,46.07,LLTC,3237500
2015-01-06,42.253706,44.060001,45.689999,43.98,45.580002,LLTC,3165300
2015-01-07,42.426327,44.240002,44.669998,43.57,44.290001,LLTC,2895900
2015-01-08,43.596309,45.459999,45.549999,44.470001,44.470001,LLTC,1790800
2015-01-09,43.797699,45.669998,45.810001,45.02,45.48,LLTC,1254600
2015-01-12,43.586721,45.450001,45.75,44.869999,45.650002,LLTC,2179700
2015-01-13,43.318197,45.169998,46.939999,45.099998,46.009998,LLTC,4179800
2015-01-14,43.74975,45.619999,47.110001,45.18,46.91,LLTC,6099800
2015-01-15,43.001728,44.84,46.34,44.810001,45.779999,LLTC,3148800
2015-01-16,43.462049,45.32,45.389999,44.48,44.610001,LLTC,3907600
2015-01-20,44.027862,45.91,46.220001,45.43,45.52,LLTC,2411600
2015-01-21,44.430645,46.330002,46.490002,45.639999,45.639999,LLTC,2722300
2015-01-22,44.938916,46.860001,46.959999,45.689999,46.459999,LLTC,3267400
2015-01-23,44.843014,46.759998,46.990002,46.380001,46.77,LLTC,2045300
2015-01-26,44.881375,46.799999,46.990002,46.23,46.630001,LLTC,1578700
2015-01-27,44.152533,46.040001,46.549999,45.82,46.200001,LLTC,2057400
2015-01-28,43.673031,45.540001,46.68,45.459999,46.50,LLTC,1752300
2015-01-29,43.874421,45.75,46.040001,45.139999,45.57,LLTC,2316100
2015-01-30,43.097627,44.939999,45.950001,44.900002,45.360001,LLTC,4702300
2015-02-02,43.1264,44.970001,45.169998,44.299999,45.169998,LLTC,2746000
2015-02-03,44.200483,46.09,46.119999,45.119999,45.119999,LLTC,3341300
2015-02-04,43.874421,45.75,46.139999,45.43,45.990002,LLTC,3092400
2015-02-05,44.459414,46.360001,46.389999,45.52,45.91,LLTC,1564900
2015-02-06,44.478595,46.380001,46.860001,46.209999,46.349998,LLTC,2451800
2015-02-09,44.018273,45.900002,46.32,45.810001,46.209999,LLTC,1699100
2015-02-10,45.245797,47.18,47.220001,45.950001,46.240002,LLTC,2321800
2015-02-11,45.583598,47.23,47.50,46.880001,47.029999,LLTC,2188100
2015-02-12,46.259197,47.93,47.939999,47.169998,47.360001,LLTC,2136600
2015-02-13,46.703161,48.389999,48.639999,47.900002,48.060001,LLTC,2136500
2015-02-17,47.050612,48.75,48.889999,48.00,48.220001,LLTC,2169700
2015-02-18,46.28815,47.959999,48.209999,47.48,47.48,LLTC,2692700
2015-02-19,46.210941,47.880001,48.009998,47.669998,47.889999,LLTC,1248800
2015-02-20,46.568042,48.25,48.25,47.57,47.959999,LLTC,1309000
2015-02-23,46.249543,47.919998,48.290001,47.669998,48.200001,LLTC,1334200
2015-02-24,46.88654,48.580002,48.720001,47.849998,48.00,LLTC,1339900
2015-02-25,46.790024,48.48,48.68,48.330002,48.57,LLTC,1054400
2015-02-26,46.712814,48.400002,48.709999,48.18,48.639999,LLTC,1097900
2015-02-27,46.510132,48.189999,48.540001,48.099998,48.540001,LLTC,1393000
2015-03-02,47.822724,49.549999,49.57,48.380001,48.650002,LLTC,1664100
2015-03-03,46.519785,48.200001,49.43,48.16,49.110001,LLTC,3774400
2015-03-04,45.892442,47.549999,48.299999,47.360001,48.009998,LLTC,3938900
2015-03-05,46.683858,48.369999,48.470001,47.509998,47.619999,LLTC,3392300
2015-03-06,45.988959,47.650002,48.400002,47.52,48.099998,LLTC,1598300
2015-03-09,46.104775,47.77,47.939999,47.43,47.639999,LLTC,2053000
2015-03-10,45.226497,46.860001,47.529999,46.860001,47.450001,LLTC,2200000
2015-03-11,45.458128,47.099998,47.450001,46.720001,47.00,LLTC,2585800
2015-03-12,45.17824,46.810001,46.959999,46.34,46.84,LLTC,1960800
2015-03-13,45.168587,46.799999,47.029999,46.349998,46.810001,LLTC,1420800
2015-03-16,45.911746,47.57,47.619999,47.040001,47.169998,LLTC,1510500
2015-03-17,45.583598,47.23,47.34,46.900002,47.330002,LLTC,1034400
2015-03-18,45.902096,47.560001,47.759998,46.419998,47.23,LLTC,1939200
2015-03-19,45.931049,47.59,47.790001,47.290001,47.470001,LLTC,1024500
2015-03-20,46.83828,48.529999,48.740002,47.66,47.900002,LLTC,2686300
2015-03-23,46.577691,48.259998,48.669998,48.25,48.669998,LLTC,1769600
2015-03-24,46.037215,47.700001,48.439999,47.66,48.23,LLTC,1968200
2015-03-25,43.884952,45.470001,47.82,45.450001,47.689999,LLTC,2844700
2015-03-26,44.020071,45.610001,45.82,44.439999,44.66,LLTC,3551400
2015-03-27,45.052771,46.68,47.00,45.330002,45.400002,LLTC,2304500
2015-03-30,45.931049,47.59,47.77,46.540001,46.889999,LLTC,2794600
2015-03-31,45.168587,46.799999,47.529999,46.639999,47.41,LLTC,2342500
2015-04-01,44.521944,46.130001,46.689999,45.669998,46.619999,LLTC,2437600
2015-04-02,44.512291,46.119999,46.689999,45.919998,46.450001,LLTC,3213100
2015-04-06,44.62811,46.240002,46.389999,45.41,45.82,LLTC,2604200
2015-04-07,44.473688,46.080002,46.560001,45.959999,46.080002,LLTC,1552500
2015-04-08,44.570201,46.18,46.439999,45.889999,46.07,LLTC,1283000
2015-04-09,44.734273,46.349998,46.439999,45.889999,46.130001,LLTC,1731500
2015-04-10,44.879045,46.50,46.57,46.200001,46.439999,LLTC,1592900
2015-04-13,44.406125,46.009998,46.610001,46.00,46.509998,LLTC,2187900
2015-04-14,43.846345,45.43,46.119999,45.25,45.799999,LLTC,3540400
2015-04-15,44.560547,46.169998,46.689999,45.450001,46.299999,LLTC,4958800
2015-04-16,45.014164,46.639999,46.709999,46.139999,46.18,LLTC,3399000
2015-04-17,44.560547,46.169998,46.619999,45.869999,46.220001,LLTC,2647100
2015-04-20,45.371266,47.009998,47.16,46.32,46.459999,LLTC,2040500
2015-04-21,45.969655,47.630001,47.77,47.040001,47.310001,LLTC,2856700
2015-04-22,45.950352,47.610001,47.91,47.169998,47.759998,LLTC,3119500
2015-04-23,45.786276,47.439999,48.110001,46.50,46.869999,LLTC,4676200
2015-04-24,44.492988,46.099998,47.34,46.00,47.34,LLTC,3235200
2015-04-27,44.570201,46.18,46.830002,46.049999,46.299999,LLTC,1476200
2015-04-28,45.12998,46.759998,46.759998,45.950001,46.099998,LLTC,2239300
2015-04-29,44.599154,46.209999,46.669998,45.990002,46.369999,LLTC,1539700
2015-04-30,44.521944,46.130001,46.389999,45.650002,45.73,LLTC,1897800
2015-05-01,45.351966,46.990002,47.080002,46.279999,46.43,LLTC,1746400
2015-05-04,45.400222,47.040001,47.290001,46.669998,47.209999,LLTC,1854500
2015-05-05,44.116583,45.709999,46.880001,45.560001,46.880001,LLTC,2333400
2015-05-06,44.232403,45.830002,46.00,45.290001,45.799999,LLTC,2357600
2015-05-07,44.299962,45.900002,46.279999,45.669998,45.82,LLTC,1836000
2015-05-08,44.917652,46.540001,46.84,46.07,46.099998,LLTC,1836500
2015-05-11,44.724623,46.34,46.599998,46.200001,46.439999,LLTC,1250000
2015-05-12,44.396475,46.00,46.25,45.549999,46.130001,LLTC,1889700
2015-05-13,44.755919,46.07,46.279999,45.650002,45.75,LLTC,1911000
2015-05-14,45.766255,47.110001,47.27,46.630001,46.77,LLTC,1854600
2015-05-15,45.737112,47.080002,47.459999,46.889999,47.299999,LLTC,1663500
2015-05-18,45.989695,47.34,47.400002,46.860001,47.029999,LLTC,1583300
2015-05-19,45.620533,46.959999,47.50,46.790001,47.32,LLTC,1201200
2015-05-20,45.581673,46.919998,47.380001,46.759998,46.970001,LLTC,1433600
2015-05-21,45.620533,46.959999,47.150002,46.599998,46.82,LLTC,1188400
2015-05-22,45.717682,47.060001,47.25,46.860001,46.900002,LLTC,1261800
2015-05-26,45.2708,46.599998,47.02,46.349998,47.009998,LLTC,1368700
2015-05-27,46.378287,47.740002,47.939999,46.560001,46.720001,LLTC,1993700
2015-05-28,46.669729,48.040001,48.220001,47.52,47.77,LLTC,2406500
2015-05-29,46.485146,47.849998,48.290001,47.77,47.900002,LLTC,2078600
2015-06-01,46.397713,47.759998,48.27,47.450001,48.130001,LLTC,1701100
2015-06-02,45.941122,47.290001,47.68,47.060001,47.470001,LLTC,3167600
2015-06-03,45.571959,46.91,47.540001,46.73,47.439999,LLTC,1871700
2015-06-04,45.280517,46.610001,46.900002,46.389999,46.650002,LLTC,1628500
2015-06-05,45.299947,46.630001,46.740002,46.169998,46.540001,LLTC,1081000
2015-06-08,44.610196,45.919998,46.549999,45.790001,46.52,LLTC,1291000
2015-06-09,44.687916,46.00,46.18,45.599998,45.91,LLTC,1578300
2015-06-10,45.32909,46.66,46.759998,46.110001,46.18,LLTC,959100
2015-06-11,45.154224,46.48,46.759998,46.43,46.75,LLTC,1070400
2015-06-12,44.483907,45.790001,46.18,45.639999,46.18,LLTC,1456900
2015-06-15,44.561623,45.869999,46.009998,45.200001,45.27,LLTC,1325200
2015-06-16,44.687916,46.00,46.119999,45.669998,45.740002,LLTC,945300
2015-06-17,44.921072,46.240002,46.48,45.970001,46.00,LLTC,1044800
2015-06-18,45.688536,47.029999,47.200001,46.419998,46.450001,LLTC,1524700
2015-06-19,45.921692,47.27,47.369999,46.369999,47.07,LLTC,3748500
2015-06-22,45.805115,47.150002,47.52,46.950001,47.50,LLTC,1954200
2015-06-23,45.231944,46.560001,47.43,46.450001,47.299999,LLTC,1521800
2015-06-24,44.911355,46.23,46.68,46.040001,46.50,LLTC,1624600
2015-06-25,44.872495,46.189999,46.509998,46.16,46.459999,LLTC,1048200
2015-06-26,44.075885,45.369999,46.220001,45.18,46.139999,LLTC,2279900
2015-06-29,43.084978,44.349998,45.389999,44.310001,45.02,LLTC,2694700
2015-06-30,42.968402,44.23,44.77,44.18,44.77,LLTC,2816400
2015-07-01,42.997545,44.259998,44.630001,44.040001,44.540001,LLTC,2474800
2015-07-02,43.182128,44.450001,44.630001,44.009998,44.540001,LLTC,2158800
2015-07-06,42.404948,43.650002,44.43,43.48,44.07,LLTC,2605500
2015-07-07,42.511807,43.759998,43.970001,42.540001,43.439999,LLTC,3463800
2015-07-08,41.608338,42.830002,43.369999,42.630001,43.299999,LLTC,2312800
2015-07-09,41.268319,42.48,43.990002,42.459999,43.709999,LLTC,2173200
