Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,39.02,39.02,39.209999,38.27,38.84,LXFT,83800
2015-01-05,38.709999,38.709999,39.299999,38.400002,38.970001,LXFT,112100
2015-01-06,37.509998,37.509998,38.889999,37.130001,38.630001,LXFT,157500
2015-01-07,37.029999,37.029999,37.900002,36.939999,37.709999,LXFT,66900
2015-01-08,37.549999,37.549999,37.84,37.09,37.48,LXFT,93700
2015-01-09,38.27,38.27,38.720001,37.41,37.459999,LXFT,64600
2015-01-12,38.59,38.59,39.450001,37.990002,38.299999,LXFT,121000
2015-01-13,38.799999,38.799999,39.91,38.040001,38.880001,LXFT,308000
2015-01-14,39.380001,39.380001,39.869999,38.290001,38.360001,LXFT,178800
2015-01-15,39.029999,39.029999,39.779999,38.75,39.709999,LXFT,131700
2015-01-16,39.34,39.34,39.549999,38.830002,38.830002,LXFT,123900
2015-01-20,39.93,39.93,40.110001,39.34,39.349998,LXFT,222200
2015-01-21,39.939999,39.939999,40.00,38.889999,39.59,LXFT,174700
2015-01-22,39.98,39.98,40.240002,39.560001,40.049999,LXFT,55100
2015-01-23,39.330002,39.330002,39.939999,38.75,39.939999,LXFT,115400
2015-01-26,38.580002,38.580002,39.25,38.470001,39.25,LXFT,97600
2015-01-27,38.240002,38.240002,38.349998,37.419998,38.130001,LXFT,82100
2015-01-28,37.810001,37.810001,38.950001,37.490002,38.580002,LXFT,131500
2015-01-29,38.73,38.73,38.830002,37.099998,37.919998,LXFT,103700
2015-01-30,39.02,39.02,39.310001,37.900002,38.610001,LXFT,181300
2015-02-02,38.849998,38.849998,39.290001,38.09,39.00,LXFT,226100
2015-02-03,39.66,39.66,40.049999,38.970001,39.119999,LXFT,157300
2015-02-04,40.599998,40.599998,40.919998,39.220001,39.380001,LXFT,139800
2015-02-05,42.259998,42.259998,42.279999,40.610001,40.889999,LXFT,534200
2015-02-06,42.93,42.93,43.099998,42.00,42.07,LXFT,451600
2015-02-09,42.0,42.00,42.880001,40.849998,42.880001,LXFT,222500
2015-02-10,42.91,42.91,43.00,42.169998,42.400002,LXFT,107200
2015-02-11,43.16,43.16,43.169998,42.48,42.799999,LXFT,415900
2015-02-12,48.860001,48.860001,49.23,43.970001,44.099998,LXFT,2479000
2015-02-13,48.860001,48.860001,49.919998,46.810001,49.77,LXFT,514900
2015-02-17,48.07,48.07,49.389999,46.00,49.07,LXFT,642600
2015-02-18,48.75,48.75,48.869999,47.639999,48.07,LXFT,154500
2015-02-19,49.720001,49.720001,49.880001,48.18,48.68,LXFT,187100
2015-02-20,49.860001,49.860001,49.970001,49.380001,49.830002,LXFT,246600
2015-02-23,49.470001,49.470001,50.00,49.16,50.00,LXFT,201600
2015-02-24,50.02,50.02,50.50,48.900002,49.599998,LXFT,407600
2015-02-25,51.450001,51.450001,52.439999,50.66,50.939999,LXFT,338900
2015-02-26,51.59,51.59,52.75,51.119999,51.700001,LXFT,186300
2015-02-27,50.700001,50.700001,51.900002,50.380001,51.549999,LXFT,196100
2015-03-02,51.470001,51.470001,51.490002,50.529999,50.529999,LXFT,206000
2015-03-03,49.849998,49.849998,51.889999,49.580002,51.709999,LXFT,267900
2015-03-04,49.700001,49.700001,49.919998,49.049999,49.540001,LXFT,107900
2015-03-05,49.580002,49.580002,49.939999,48.07,49.599998,LXFT,508900
2015-03-06,49.130001,49.130001,49.91,49.049999,49.27,LXFT,140200
2015-03-09,49.189999,49.189999,49.889999,49.00,49.139999,LXFT,175000
2015-03-10,49.419998,49.419998,49.700001,48.32,48.639999,LXFT,221900
2015-03-11,49.630001,49.630001,49.799999,49.09,49.419998,LXFT,173200
2015-03-12,49.299999,49.299999,50.029999,48.75,49.950001,LXFT,224100
2015-03-13,49.32,49.32,49.990002,48.73,49.240002,LXFT,225100
2015-03-16,53.349998,53.349998,53.41,49.419998,49.689999,LXFT,370200
2015-03-17,52.48,52.48,54.00,51.77,53.34,LXFT,218200
2015-03-18,52.119999,52.119999,53.34,51.029999,52.009998,LXFT,188200
2015-03-19,52.599998,52.599998,53.060001,52.09,52.09,LXFT,99600
2015-03-20,52.23,52.23,53.18,52.099998,52.669998,LXFT,144500
