Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,21.499271,21.77,22.24,21.41,22.07,MENT,321000
2015-01-05,21.212876,21.48,21.799999,21.299999,21.42,MENT,562500
2015-01-06,20.699342,20.959999,21.68,20.85,21.48,MENT,446500
2015-01-07,21.02524,21.290001,21.299999,20.790001,20.99,MENT,295500
2015-01-08,21.380762,21.65,21.860001,21.200001,21.42,MENT,889500
2015-01-09,21.25238,21.52,21.76,21.370001,21.60,MENT,226100
2015-01-12,21.015364,21.280001,21.60,21.049999,21.450001,MENT,336000
2015-01-13,21.469643,21.74,22.129999,21.33,21.459999,MENT,527400
2015-01-14,21.677032,21.950001,22.00,21.42,21.42,MENT,530700
2015-01-15,21.400514,21.67,22.00,21.41,22.00,MENT,782300
2015-01-16,21.88442,22.16,22.190001,21.530001,21.59,MENT,500700
2015-01-20,21.815291,22.09,22.51,21.709999,22.280001,MENT,417500
2015-01-21,21.677032,21.950001,22.32,21.82,22.07,MENT,416400
2015-01-22,22.35845,22.639999,22.67,21.82,22.15,MENT,535200
2015-01-23,22.467083,22.75,22.950001,22.57,22.58,MENT,366800
2015-01-26,22.862108,23.15,23.200001,22.469999,22.65,MENT,865500
2015-01-27,22.595465,22.879999,23.10,22.620001,22.790001,MENT,334300
2015-01-28,22.457207,22.74,23.120001,22.629999,23.040001,MENT,455400
2015-01-29,22.862108,23.15,23.17,22.629999,22.84,MENT,736700
2015-01-30,22.72385,23.01,23.200001,22.90,23.01,MENT,1194200
2015-02-02,22.970741,23.26,23.290001,22.719999,23.00,MENT,1022800
2015-02-03,23.454647,23.75,23.82,23.200001,23.299999,MENT,642600
2015-02-04,23.602781,23.90,23.950001,23.60,23.629999,MENT,841400
2015-02-05,23.691662,23.99,24.15,23.709999,23.90,MENT,797900
2015-02-06,23.948429,24.25,24.309999,23.83,24.00,MENT,962100
2015-02-09,23.770667,24.07,24.34,24.030001,24.15,MENT,767700
2015-02-10,24.086687,24.389999,24.50,23.950001,24.27,MENT,431300
2015-02-11,23.829921,24.129999,24.41,24.02,24.27,MENT,412000
2015-02-12,24.145943,24.450001,24.540001,24.16,24.16,MENT,339100
2015-02-13,24.274325,24.58,24.67,24.34,24.48,MENT,327000
2015-02-17,24.363206,24.67,24.709999,24.35,24.50,MENT,494300
2015-02-18,24.432335,24.74,24.74,24.559999,24.57,MENT,401200
2015-02-19,24.73848,25.049999,25.059999,24.459999,24.639999,MENT,547800
2015-02-20,24.985371,25.299999,25.389999,24.73,25.030001,MENT,535500
2015-02-23,24.787859,25.10,25.219999,25.00,25.139999,MENT,580100
2015-02-24,24.787859,25.10,25.43,24.809999,24.83,MENT,917500
2015-02-25,24.935993,25.25,25.26,24.889999,25.15,MENT,527600
2015-02-26,24.254573,24.559999,25.23,24.49,25.15,MENT,1078500
2015-02-27,23.168253,23.459999,24.65,23.33,24.549999,MENT,2236200
2015-03-02,23.8793,24.18,24.209999,23.35,23.35,MENT,1168500
2015-03-03,23.494151,23.790001,24.219999,23.52,24.120001,MENT,617800
2015-03-04,23.029994,23.32,23.93,23.18,23.780001,MENT,979800
2015-03-05,22.931237,23.219999,23.50,22.959999,23.309999,MENT,838300
2015-03-06,22.837197,23.07,23.309999,22.92,23.040001,MENT,593700
2015-03-09,22.787703,23.02,23.280001,22.99,23.059999,MENT,578100
2015-03-10,22.678812,22.91,23.139999,22.780001,22.93,MENT,1622200
2015-03-11,23.302456,23.540001,23.620001,22.90,22.99,MENT,901400
2015-03-12,23.698419,23.940001,23.99,23.59,23.690001,MENT,707900
2015-03-13,23.639023,23.879999,24.030001,23.24,23.959999,MENT,606600
2015-03-16,23.846905,24.09,24.27,23.90,24.030001,MENT,694200
2015-03-17,23.56973,23.809999,24.10,23.66,24.10,MENT,485100
2015-03-18,23.520235,23.76,24.07,23.65,23.709999,MENT,765200
2015-03-19,23.827106,24.07,24.08,23.690001,23.75,MENT,577000
2015-03-20,24.203273,24.450001,24.59,24.200001,24.24,MENT,1288900
2015-03-23,24.034988,24.280001,24.49,24.18,24.370001,MENT,312100
2015-03-24,23.757813,24.00,24.450001,23.98,24.309999,MENT,334600
2015-03-25,22.926289,23.16,24.030001,23.040001,24.00,MENT,1415700
2015-03-26,23.005482,23.24,23.33,22.870001,23.01,MENT,505300
2015-03-27,23.549933,23.790001,23.82,23.08,23.27,MENT,676900
2015-03-30,24.173575,24.42,24.549999,23.889999,23.90,MENT,646900
2015-03-31,23.787511,24.030001,24.309999,23.940001,24.219999,MENT,863700
2015-04-01,24.094382,24.34,24.360001,23.73,24.02,MENT,526700
2015-04-02,24.094382,24.34,24.68,24.27,24.32,MENT,378100
2015-04-06,24.638831,24.889999,24.950001,23.92,24.10,MENT,768400
2015-04-07,24.203273,24.450001,24.91,24.440001,24.889999,MENT,704300
2015-04-08,24.589337,24.84,24.92,24.26,24.42,MENT,396700
2015-04-09,24.520043,24.77,24.90,24.40,24.73,MENT,416800
2015-04-10,24.77742,25.030001,25.129999,24.60,24.799999,MENT,583300
2015-04-13,24.371557,24.620001,25.129999,24.60,25.00,MENT,828100
2015-04-14,24.351759,24.60,24.73,24.33,24.549999,MENT,335900
2015-04-15,24.084483,24.33,24.65,24.299999,24.58,MENT,658900
2015-04-16,24.054785,24.299999,24.43,24.110001,24.190001,MENT,1075600
2015-04-17,23.658822,23.90,24.110001,23.83,24.110001,MENT,816000
2015-04-20,24.500245,24.75,25.110001,24.02,24.190001,MENT,1376800
2015-04-21,24.084483,24.33,24.99,24.32,24.879999,MENT,689200
2015-04-22,24.549739,24.799999,24.860001,24.139999,24.26,MENT,932400
2015-04-23,24.826914,25.08,25.190001,24.58,24.77,MENT,428800
2015-04-24,24.430951,24.68,25.18,24.60,25.110001,MENT,266800
2015-04-27,24.054785,24.299999,24.85,24.24,24.690001,MENT,356100
2015-04-28,24.33196,24.58,24.75,24.139999,24.299999,MENT,340600
2015-04-29,24.232969,24.48,24.73,24.299999,24.370001,MENT,512000
2015-04-30,23.68852,23.93,24.68,23.93,24.27,MENT,534900
2015-05-01,23.817207,24.059999,24.299999,23.90,23.950001,MENT,373500
2015-05-04,23.668721,23.91,24.379999,23.870001,24.309999,MENT,526100
2015-05-05,23.312353,23.549999,23.91,23.42,23.76,MENT,621600
2015-05-06,23.787511,24.030001,24.200001,23.530001,23.700001,MENT,539500
2015-05-07,23.67862,23.92,24.190001,23.809999,24.07,MENT,375300
2015-05-08,24.064684,24.309999,24.440001,24.110001,24.200001,MENT,302700
2015-05-11,24.143877,24.389999,24.52,24.23,24.23,MENT,322200
2015-05-12,23.757813,24.00,24.26,23.83,24.200001,MENT,423600
2015-05-13,23.965693,24.209999,24.34,24.040001,24.059999,MENT,246000
2015-05-14,24.421052,24.67,24.76,24.32,24.32,MENT,366300
2015-05-15,24.33196,24.58,24.700001,24.41,24.68,MENT,295700
2015-05-18,24.886308,25.139999,25.299999,24.360001,24.57,MENT,1085700
2015-05-19,24.886308,25.139999,25.209999,24.879999,25.200001,MENT,755800
2015-05-20,25.232777,25.49,25.60,24.98,25.17,MENT,1089400
2015-05-21,25.084291,25.34,25.719999,25.120001,25.43,MENT,1070900
2015-05-22,25.509952,25.77,26.00,25.34,26.00,MENT,1147100
2015-05-26,25.589145,25.85,25.92,25.200001,25.77,MENT,961700
2015-05-27,26.014806,26.280001,26.309999,25.610001,25.799999,MENT,636700
2015-05-28,25.945511,26.209999,26.40,25.940001,26.299999,MENT,539900
2015-05-29,25.846521,26.110001,26.34,25.780001,26.34,MENT,568400
2015-06-01,26.212787,26.48,26.67,26.040001,26.309999,MENT,700900
2015-06-02,26.262283,26.530001,26.790001,26.18,26.26,MENT,1687800
2015-06-03,26.816632,27.09,27.129999,26.50,26.620001,MENT,800600
2015-06-04,26.361272,26.629999,26.93,26.370001,26.809999,MENT,954600
2015-06-05,26.747338,27.02,27.059999,26.42,26.620001,MENT,573100
2015-06-08,26.484476,26.700001,27.18,26.68,27.049999,MENT,944800
2015-06-09,26.375364,26.59,26.83,26.440001,26.75,MENT,597100
2015-06-10,26.811812,27.030001,27.139999,26.41,26.530001,MENT,832100
2015-06-11,26.772134,26.99,27.299999,26.959999,27.23,MENT,669200
2015-06-12,26.643185,26.860001,27.01,26.76,26.91,MENT,576400
2015-06-15,26.226575,26.440001,26.860001,26.040001,26.540001,MENT,1255600
2015-06-16,26.603507,26.82,26.98,26.40,26.549999,MENT,593100
2015-06-17,26.603507,26.82,27.059999,26.629999,26.91,MENT,593200
2015-06-18,26.950682,27.17,27.379999,26.66,26.959999,MENT,875200
2015-06-19,26.226575,26.440001,27.32,26.370001,27.209999,MENT,2279300
2015-06-22,26.305929,26.52,26.690001,26.440001,26.690001,MENT,914100
2015-06-23,26.216655,26.43,26.610001,26.309999,26.50,MENT,986100
2015-06-24,26.266251,26.48,26.549999,26.17,26.43,MENT,689600
2015-06-25,26.663022,26.879999,26.950001,26.309999,26.60,MENT,860200
2015-06-26,26.643185,26.860001,27.02,26.709999,27.02,MENT,810000
2015-06-29,25.859561,26.07,26.639999,26.040001,26.57,MENT,480400
2015-06-30,26.216655,26.43,26.52,26.09,26.360001,MENT,966700
2015-07-01,26.325768,26.540001,26.959999,26.32,26.58,MENT,734400
2015-07-02,26.048027,26.26,26.32,25.940001,26.280001,MENT,931200
2015-07-06,25.8794,26.09,26.280001,25.709999,25.799999,MENT,884900
2015-07-07,25.780206,25.99,26.09,25.540001,26.059999,MENT,810100
2015-07-08,25.750448,25.959999,26.030001,25.65,25.809999,MENT,1045100
2015-07-09,26.038108,26.25,26.49,26.08,26.23,MENT,1393100
2015-07-10,25.919076,26.129999,26.52,26.129999,26.50,MENT,580900
2015-07-13,25.988512,26.200001,26.40,26.09,26.18,MENT,619900
2015-07-14,26.048027,26.26,26.34,26.059999,26.219999,MENT,468600
2015-07-15,26.137301,26.35,26.48,26.059999,26.26,MENT,695100
2015-07-16,25.988512,26.200001,26.59,26.18,26.40,MENT,369000
2015-07-17,25.750448,25.959999,26.24,25.860001,26.24,MENT,588700
2015-07-20,25.770287,25.98,26.059999,25.85,25.969999,MENT,476100
2015-07-21,25.859561,26.07,26.25,25.959999,26.00,MENT,713400
2015-07-22,25.919076,26.129999,26.15,25.52,25.74,MENT,661300
2015-07-23,25.671094,25.879999,26.370001,25.860001,26.25,MENT,511400
2015-07-24,25.294162,25.50,25.93,25.389999,25.799999,MENT,524900
2015-07-27,24.897391,25.10,25.32,25.049999,25.23,MENT,478200
2015-07-28,25.621498,25.83,25.92,25.049999,25.120001,MENT,836500
2015-07-29,25.948834,26.16,26.17,25.66,25.809999,MENT,582300
2015-07-30,25.909158,26.120001,26.299999,25.91,26.120001,MENT,435900
2015-07-31,25.8794,26.09,26.379999,26.00,26.09,MENT,521900
2015-08-03,25.700852,25.91,26.040001,25.620001,25.99,MENT,359800
2015-08-04,25.730611,25.940001,26.16,25.790001,25.870001,MENT,333200
2015-08-05,26.038108,26.25,26.57,26.040001,26.040001,MENT,348800
2015-08-06,25.442951,25.65,26.33,25.57,26.17,MENT,519600
2015-08-07,25.690933,25.90,25.90,25.530001,25.530001,MENT,348400
2015-08-10,26.077786,26.290001,26.370001,25.809999,26.030001,MENT,328400
2015-08-11,25.502466,25.709999,26.209999,25.57,26.209999,MENT,523000
2015-08-12,25.304082,25.51,25.66,25.059999,25.66,MENT,460700
2015-08-13,25.254484,25.459999,25.77,25.43,25.48,MENT,539900
2015-08-14,25.99843,26.209999,26.280001,25.32,25.35,MENT,852400
2015-08-17,26.434879,26.65,26.65,26.02,26.26,MENT,655400
2015-08-18,25.492548,25.700001,26.629999,25.67,26.52,MENT,1146300
2015-08-19,25.790126,26.00,26.17,25.360001,25.50,MENT,914400
2015-08-20,24.877552,25.08,25.76,25.01,25.76,MENT,704000
