Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,44.882326,46.759998,47.419998,46.540001,46.66,MSFT,27913900
2015-01-05,44.469596,46.330002,46.73,46.25,46.369999,MSFT,39673900
2015-01-06,43.816902,45.650002,46.75,45.540001,46.380001,MSFT,36447900
2015-01-07,44.373609,46.23,46.459999,45.490002,45.98,MSFT,29114100
2015-01-08,45.678998,47.59,47.75,46.720001,46.75,MSFT,29645200
2015-01-09,45.295059,47.189999,47.82,46.900002,47.610001,MSFT,23942800
2015-01-12,44.728751,46.599998,47.540001,46.360001,47.419998,MSFT,23651900
2015-01-13,44.49839,46.360001,47.91,46.060001,46.970001,MSFT,35270600
2015-01-14,44.114451,45.959999,46.240002,45.619999,45.959999,MSFT,29719600
2015-01-15,43.653726,45.48,46.380001,45.41,46.220001,MSFT,32742300
2015-01-16,44.38321,46.240002,46.279999,45.169998,45.310001,MSFT,35695300
2015-01-20,44.527184,46.389999,46.650002,45.57,46.299999,MSFT,36161900
2015-01-21,44.076056,45.919998,46.139999,45.48,45.939999,MSFT,39081100
2015-01-22,45.237471,47.130001,47.139999,46.080002,46.380001,MSFT,35898000
2015-01-23,45.285462,47.18,47.389999,46.799999,47.360001,MSFT,26211600
2015-01-26,45.122287,47.009998,47.130001,46.240002,47.00,MSFT,42525500
2015-01-27,40.946965,42.66,43.200001,42.110001,42.950001,MSFT,169164000
2015-01-28,39.535992,41.189999,42.790001,41.16,42.740002,MSFT,84507100
2015-01-29,40.323065,42.009998,42.119999,40.790001,40.93,MSFT,63585300
2015-01-30,38.777718,40.400002,41.580002,40.349998,41.549999,MSFT,78004900
2015-02-02,39.622379,41.279999,41.369999,40.23,40.59,MSFT,50352500
2015-02-03,39.929528,41.599998,41.93,41.049999,41.630001,MSFT,52082400
2015-02-04,40.159893,41.84,42.209999,41.360001,41.939999,MSFT,41614800
2015-02-05,40.745398,42.450001,42.639999,41.860001,42.220001,MSFT,36548200
2015-02-06,40.707004,42.41,42.790001,42.150002,42.68,MSFT,34311700
2015-02-09,40.659012,42.360001,42.740002,42.209999,42.240002,MSFT,31381100
2015-02-10,40.889373,42.599998,42.77,42.18,42.740002,MSFT,29670700
2015-02-11,40.67821,42.380001,42.650002,42.209999,42.650002,MSFT,38262500
2015-02-12,41.359698,43.09,43.09,42.509998,42.66,MSFT,33268800
2015-02-13,42.108376,43.869999,43.869999,43.150002,43.380001,MSFT,40264900
2015-02-17,42.127713,43.580002,44.00,43.189999,43.970001,MSFT,33695700
2015-02-18,42.079376,43.529999,43.700001,43.389999,43.630001,MSFT,27111700
2015-02-19,42.050377,43.50,43.529999,43.049999,43.18,MSFT,27603400
2015-02-20,42.398381,43.860001,43.880001,43.290001,43.509998,MSFT,29721100
2015-02-23,42.678718,44.150002,44.189999,43.650002,43.700001,MSFT,32518800
2015-02-24,42.620716,44.09,44.299999,43.919998,44.150002,MSFT,25271700
2015-02-25,42.52405,43.990002,44.09,43.799999,43.950001,MSFT,29759800
2015-02-26,42.591717,44.060001,44.23,43.889999,43.990002,MSFT,28957300
2015-02-27,42.388712,43.849998,44.200001,43.66,44.130001,MSFT,33807700
2015-03-02,42.417715,43.880001,44.189999,43.549999,43.669998,MSFT,31924000
2015-03-03,41.837708,43.279999,43.830002,43.09,43.560001,MSFT,31748600
2015-03-04,41.625042,43.060001,43.209999,42.880001,43.009998,MSFT,25748700
2015-03-05,41.673375,43.110001,43.240002,42.82,43.07,MSFT,23193500
2015-03-06,40.948368,42.360001,43.110001,42.150002,43.00,MSFT,36248800
2015-03-09,41.422037,42.849998,43.130001,42.189999,42.189999,MSFT,32108000
2015-03-10,40.629363,42.029999,42.709999,42.029999,42.349998,MSFT,39159700
2015-03-11,40.58103,41.98,42.369999,41.84,42.310001,MSFT,32215300
2015-03-12,39.653023,41.02,41.650002,40.860001,41.330002,MSFT,59992500
2015-03-13,40.001027,41.380001,41.470001,40.610001,40.700001,MSFT,58007700
2015-03-16,40.175029,41.560001,41.639999,41.279999,41.470001,MSFT,35273500
2015-03-17,40.310362,41.700001,41.830002,41.150002,41.369999,MSFT,31673400
2015-03-18,41.083702,42.50,42.830002,41.330002,41.43,MSFT,44194800
2015-03-19,40.880701,42.290001,42.59,42.220001,42.259998,MSFT,33879100
2015-03-20,41.45104,42.880001,42.98,42.490002,42.560001,MSFT,71904500
2015-03-23,41.431706,42.860001,43.130001,42.779999,42.880001,MSFT,26246100
2015-03-24,41.470374,42.900002,43.169998,42.75,42.779999,MSFT,25513300
2015-03-25,40.078359,41.459999,42.93,41.439999,42.919998,MSFT,43469900
2015-03-26,39.83669,41.209999,41.610001,40.919998,41.220001,MSFT,37495600
2015-03-27,39.60469,40.970001,41.43,40.830002,41.119999,MSFT,34401400
2015-03-30,39.595021,40.959999,41.540001,40.91,41.099998,MSFT,35049700
2015-03-31,39.305019,40.66,41.029999,40.540001,40.779999,MSFT,34887200
2015-04-01,39.363021,40.720001,40.759998,40.310001,40.599998,MSFT,36865300
2015-04-02,38.94735,40.290001,40.740002,40.119999,40.66,MSFT,37487500
2015-04-06,40.16536,41.549999,41.779999,40.18,40.34,MSFT,39223700
2015-04-07,40.146026,41.529999,41.91,41.310001,41.610001,MSFT,28809400
2015-04-08,40.039691,41.419998,41.689999,41.040001,41.459999,MSFT,24753400
2015-04-09,40.097693,41.48,41.619999,41.25,41.25,MSFT,25723900
2015-04-10,40.329696,41.720001,41.950001,41.41,41.630001,MSFT,28022000
2015-04-13,40.368361,41.759998,42.060001,41.389999,41.400002,MSFT,30276700
2015-04-14,40.262029,41.650002,42.029999,41.389999,41.799999,MSFT,24244400
2015-04-15,40.851698,42.259998,42.459999,41.68,41.759998,MSFT,27343600
2015-04-16,40.755032,42.16,42.34,41.82,41.950001,MSFT,22509700
2015-04-17,40.233027,41.619999,41.740002,41.16,41.669998,MSFT,42387600
2015-04-20,41.480039,42.91,43.169998,41.68,41.73,MSFT,46057700
2015-04-21,41.219036,42.639999,43.150002,42.529999,43.00,MSFT,26013800
2015-04-22,41.557375,42.990002,43.130001,42.549999,42.669998,MSFT,25064300
2015-04-23,41.895709,43.34,43.610001,42.799999,42.889999,MSFT,46309500
2015-04-24,46.274748,47.869999,48.139999,45.650002,45.66,MSFT,130933700
2015-04-27,46.429415,48.029999,48.130001,47.220001,47.23,MSFT,59248200
2015-04-28,47.52176,49.16,49.209999,47.700001,47.779999,MSFT,60730800
2015-04-29,47.425094,49.060001,49.310001,48.50,48.720001,MSFT,47804600
2015-04-30,47.019088,48.639999,49.540001,48.599998,48.700001,MSFT,64725500
2015-05-01,47.038422,48.66,48.880001,48.400002,48.580002,MSFT,38937300
2015-05-04,46.63242,48.240002,48.869999,48.18,48.369999,MSFT,34039500
2015-05-05,46.013745,47.599998,48.16,47.310001,47.82,MSFT,50369200
2015-05-06,44.737734,46.279999,47.77,46.02,47.57,MSFT,52433000
2015-05-07,45.143739,46.700001,47.09,46.16,46.27,MSFT,32971700
2015-05-08,46.158748,47.75,47.98,47.52,47.549999,MSFT,35364900
2015-05-11,45.79141,47.369999,47.91,47.369999,47.549999,MSFT,24609400
