Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,7.815262,8.01,8.03,7.93,7.97,NOK,7918100
2015-01-05,7.473771,7.66,7.75,7.59,7.74,NOK,13274100
2015-01-06,7.356688,7.54,7.64,7.46,7.59,NOK,12899300
2015-01-07,7.376202,7.56,7.60,7.50,7.54,NOK,11571800
2015-01-08,7.415229,7.60,7.66,7.53,7.54,NOK,11394800
2015-01-09,7.366445,7.55,7.58,7.49,7.57,NOK,8303000
2015-01-12,7.337174,7.52,7.57,7.47,7.57,NOK,5043700
2015-01-13,7.278633,7.46,7.62,7.40,7.57,NOK,9635800
2015-01-14,7.512798,7.70,7.71,7.55,7.65,NOK,22680800
2015-01-15,7.249362,7.43,7.51,7.41,7.47,NOK,13794100
2015-01-16,7.376202,7.56,7.57,7.41,7.45,NOK,8478500
2015-01-20,7.483528,7.67,7.70,7.57,7.68,NOK,11814600
2015-01-21,7.522555,7.71,7.74,7.61,7.65,NOK,7095400
2015-01-22,7.678665,7.87,7.92,7.78,7.81,NOK,13248200
2015-01-23,7.707936,7.90,8.05,7.89,7.99,NOK,10392100
2015-01-26,7.805505,8.00,8.02,7.91,7.95,NOK,20090600
2015-01-27,7.815262,8.01,8.05,7.94,8.02,NOK,12502600
2015-01-28,7.698179,7.89,8.13,7.88,8.12,NOK,28758900
2015-01-29,7.561583,7.75,7.88,7.64,7.87,NOK,25483200
2015-01-30,7.415229,7.60,7.75,7.60,7.72,NOK,15509400
2015-02-02,7.415229,7.60,7.62,7.49,7.58,NOK,14713800
2015-02-03,7.678665,7.87,7.88,7.73,7.78,NOK,10988200
2015-02-04,7.503042,7.69,7.79,7.69,7.74,NOK,8460000
2015-02-05,7.629881,7.82,7.85,7.75,7.76,NOK,7253700
2015-02-06,7.464014,7.65,7.82,7.63,7.82,NOK,9400800
2015-02-09,7.356688,7.54,7.57,7.50,7.51,NOK,10208500
2015-02-10,7.581097,7.77,7.78,7.71,7.75,NOK,11278800
2015-02-11,7.649395,7.84,7.87,7.75,7.78,NOK,12543000
2015-02-12,7.776234,7.97,8.00,7.91,7.94,NOK,8423400
2015-02-13,7.825019,8.02,8.06,7.98,8.01,NOK,9556500
2015-02-17,7.844532,8.04,8.09,7.95,7.98,NOK,10239500
2015-02-18,7.834775,8.03,8.07,7.98,8.04,NOK,9887600
2015-02-19,7.834775,8.03,8.09,8.02,8.05,NOK,10335000
2015-02-20,7.873803,8.07,8.08,7.93,7.96,NOK,11976500
2015-02-23,7.776234,7.97,8.00,7.93,7.96,NOK,10335300
2015-02-24,7.815262,8.01,8.01,7.92,7.95,NOK,4808300
2015-02-25,7.825019,8.02,8.06,8.01,8.01,NOK,5702200
2015-02-26,7.815262,8.01,8.05,7.97,8.02,NOK,8367300
2015-02-27,7.815262,8.01,8.05,7.91,7.96,NOK,6413900
2015-03-02,7.88356,8.08,8.09,8.01,8.01,NOK,5811000
2015-03-03,7.864046,8.06,8.14,8.00,8.09,NOK,12508100
2015-03-04,7.854289,8.05,8.08,7.95,8.00,NOK,11348000
2015-03-05,7.864046,8.06,8.07,8.01,8.05,NOK,19748900
2015-03-06,7.639638,7.83,7.97,7.81,7.95,NOK,18332800
2015-03-09,7.668909,7.86,7.89,7.80,7.85,NOK,26485600
2015-03-10,7.4445,7.63,7.76,7.62,7.74,NOK,25530700
2015-03-11,7.542069,7.73,7.78,7.63,7.65,NOK,21384200
2015-03-12,7.532312,7.72,7.74,7.64,7.69,NOK,36966900
2015-03-13,7.512798,7.70,7.70,7.62,7.67,NOK,35419300
2015-03-16,7.590854,7.78,7.81,7.67,7.68,NOK,33374800
2015-03-17,7.483528,7.67,7.75,7.65,7.70,NOK,44033200
2015-03-18,7.698179,7.89,7.93,7.66,7.66,NOK,35287800
2015-03-19,7.590854,7.78,7.83,7.75,7.76,NOK,52579500
2015-03-20,7.668909,7.86,7.95,7.81,7.84,NOK,53649100
2015-03-23,7.688422,7.88,7.93,7.84,7.89,NOK,9077400
2015-03-24,7.75672,7.95,8.01,7.91,7.96,NOK,16058000
2015-03-25,7.668909,7.86,8.03,7.86,8.02,NOK,12626200
2015-03-26,7.454257,7.64,7.68,7.60,7.67,NOK,15758100
2015-03-27,7.512798,7.70,7.73,7.67,7.70,NOK,9046200
2015-03-30,7.542069,7.73,7.75,7.65,7.69,NOK,17730000
2015-03-31,7.395716,7.58,7.71,7.58,7.63,NOK,28576300
2015-04-01,7.366445,7.55,7.61,7.50,7.57,NOK,11958100
2015-04-02,7.464014,7.65,7.70,7.63,7.65,NOK,8233000
2015-04-06,7.610367,7.80,7.86,7.65,7.67,NOK,14339000
2015-04-07,7.551826,7.74,7.77,7.70,7.71,NOK,12223800
2015-04-08,7.551826,7.74,7.77,7.70,7.74,NOK,15093700
2015-04-09,7.542069,7.73,7.76,7.62,7.68,NOK,49841500
2015-04-10,7.864046,8.06,8.10,7.69,7.72,NOK,37090000
2015-04-13,8.098211,8.30,8.37,8.04,8.18,NOK,74468600
2015-04-14,7.766477,7.96,8.07,7.87,8.06,NOK,80269800
2015-04-15,7.649395,7.84,8.01,7.62,7.96,NOK,120783300
2015-04-16,7.581097,7.77,7.85,7.72,7.84,NOK,53359800
2015-04-17,7.434743,7.62,7.75,7.59,7.72,NOK,89883400
2015-04-20,7.424987,7.61,7.66,7.57,7.58,NOK,36237900
2015-04-21,7.649395,7.84,7.89,7.79,7.84,NOK,43060500
2015-04-22,7.805505,8.00,8.02,7.92,7.98,NOK,31755100
2015-04-23,7.659151,7.85,7.92,7.80,7.83,NOK,19785400
2015-04-24,7.57134,7.76,7.85,7.69,7.84,NOK,19508300
2015-04-27,7.464014,7.65,7.73,7.62,7.72,NOK,25312100
2015-04-28,7.483528,7.67,7.68,7.60,7.65,NOK,26102400
2015-04-29,7.307904,7.49,7.59,7.46,7.54,NOK,38665300
2015-04-30,6.420028,6.58,7.49,6.53,7.49,NOK,82617900
2015-05-01,6.341973,6.50,6.66,6.46,6.66,NOK,36115300
2015-05-04,6.381,6.54,6.62,6.52,6.62,NOK,34622400
2015-05-05,6.38,6.38,6.44,6.30,6.42,NOK,32912200
2015-05-06,6.48,6.48,6.59,6.38,6.58,NOK,52050800
2015-05-07,6.72,6.72,6.81,6.60,6.66,NOK,53082300
2015-05-08,6.93,6.93,6.99,6.86,6.89,NOK,45295900
2015-05-11,6.89,6.89,7.04,6.86,6.98,NOK,14493000
2015-05-12,6.82,6.82,6.89,6.82,6.88,NOK,11255800
2015-05-13,6.87,6.87,6.98,6.84,6.97,NOK,15929500
2015-05-14,6.98,6.98,7.00,6.86,6.92,NOK,14197500
2015-05-15,6.9,6.90,6.93,6.84,6.87,NOK,11277400
2015-05-18,6.96,6.96,7.03,6.80,6.83,NOK,24263900
2015-05-19,6.98,6.98,7.02,6.95,6.98,NOK,12223000
2015-05-20,7.13,7.13,7.18,7.02,7.05,NOK,21113600
