Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,67.379997,67.379997,68.489998,66.269997,67.809998,NOW,815800
2015-01-05,67.150002,67.150002,68.370003,66.43,66.57,NOW,800500
2015-01-06,66.330002,66.330002,67.870003,65.169998,67.18,NOW,855900
2015-01-07,67.089996,67.089996,67.470001,66.00,66.910004,NOW,623000
2015-01-08,68.889999,68.889999,69.080002,67.440002,67.870003,NOW,637100
2015-01-09,67.110001,67.110001,69.279999,66.230003,69.279999,NOW,1035500
2015-01-12,68.190002,68.190002,68.440002,66.50,67.120003,NOW,799300
2015-01-13,67.269997,67.269997,69.440002,66.459999,67.800003,NOW,628400
2015-01-14,66.339996,66.339996,66.599998,65.419998,66.190002,NOW,753500
2015-01-15,63.630001,63.630001,66.690002,63.439999,66.690002,NOW,1017300
2015-01-16,63.959999,63.959999,64.209999,63.099998,63.619999,NOW,837200
2015-01-20,64.830002,64.830002,65.050003,62.549999,63.84,NOW,874500
2015-01-21,65.519997,65.519997,66.839996,64.370003,64.709999,NOW,755600
2015-01-22,66.139999,66.139999,66.550003,64.57,66.190002,NOW,490200
2015-01-23,68.739998,68.739998,69.50,66.550003,66.589996,NOW,1029800
2015-01-26,68.010002,68.010002,68.699997,66.50,68.699997,NOW,883400
2015-01-27,67.910004,67.910004,68.18,66.410004,67.260002,NOW,879700
2015-01-28,68.910004,68.910004,70.209999,66.940002,68.50,NOW,2673500
2015-01-29,73.879997,73.879997,74.349998,70.040001,73.050003,NOW,3752000
2015-01-30,72.900002,72.900002,73.449997,70.50,72.610001,NOW,2233500
2015-02-02,72.989998,72.989998,73.00,70.07,72.330002,NOW,2084800
2015-02-03,72.650002,72.650002,73.440002,71.730003,72.989998,NOW,1335900
2015-02-04,74.610001,74.610001,74.75,71.959999,72.50,NOW,1608800
2015-02-05,74.220001,74.220001,75.269997,73.790001,74.900002,NOW,1549500
2015-02-06,74.940002,74.940002,75.150002,73.360001,73.919998,NOW,1053800
2015-02-09,72.879997,72.879997,74.650002,72.769997,74.269997,NOW,930600
2015-02-10,73.32,73.32,73.540001,72.550003,73.129997,NOW,1148000
2015-02-11,73.879997,73.879997,74.00,72.459999,72.82,NOW,1039800
2015-02-12,75.949997,75.949997,75.970001,73.849998,73.879997,NOW,1488900
2015-02-13,77.550003,77.550003,77.639999,74.989998,76.25,NOW,1470900
2015-02-17,76.879997,76.879997,77.25,75.459999,77.120003,NOW,949700
2015-02-18,77.480003,77.480003,77.720001,76.099998,77.00,NOW,871200
2015-02-19,78.160004,78.160004,78.989998,77.07,77.379997,NOW,1057600
2015-02-20,79.059998,79.059998,79.300003,77.519997,77.910004,NOW,1004300
2015-02-23,78.669998,78.669998,79.370003,78.360001,78.769997,NOW,1124200
2015-02-24,78.75,78.75,79.00,77.93,78.779999,NOW,1156500
2015-02-25,79.029999,79.029999,79.410004,78.07,78.169998,NOW,1422600
2015-02-26,79.529999,79.529999,81.239998,78.860001,80.010002,NOW,1960200
2015-02-27,76.260002,76.260002,79.199997,75.949997,79.199997,NOW,3542000
2015-03-02,76.440002,76.440002,76.800003,75.129997,75.970001,NOW,1382000
2015-03-03,75.449997,75.449997,76.940002,74.610001,76.120003,NOW,1148100
2015-03-04,73.599998,73.599998,75.059998,73.370003,74.970001,NOW,1190300
2015-03-05,74.699997,74.699997,75.440002,73.449997,73.599998,NOW,1052100
2015-03-06,74.059998,74.059998,75.290001,73.519997,74.279999,NOW,907400
2015-03-09,74.239998,74.239998,74.32,72.419998,74.00,NOW,721700
2015-03-10,73.589996,73.589996,74.07,72.610001,73.599998,NOW,873500
2015-03-11,74.239998,74.239998,74.809998,73.440002,73.75,NOW,710200
2015-03-12,76.660004,76.660004,76.660004,74.239998,74.349998,NOW,1781300
2015-03-13,76.919998,76.919998,77.300003,75.970001,76.620003,NOW,1116700
2015-03-16,78.650002,78.650002,79.18,76.949997,77.260002,NOW,1212900
2015-03-17,79.900002,79.900002,80.150002,78.900002,79.169998,NOW,1569100
2015-03-18,80.050003,80.050003,81.00,79.059998,80.00,NOW,1126100
2015-03-19,80.459999,80.459999,80.989998,79.849998,79.879997,NOW,702200
2015-03-20,79.379997,79.379997,81.00,79.00,80.540001,NOW,1304900
2015-03-23,79.279999,79.279999,79.82,78.760002,79.370003,NOW,570200
2015-03-24,79.25,79.25,80.389999,79.050003,79.279999,NOW,654900
2015-03-25,76.199997,76.199997,79.489998,76.110001,79.489998,NOW,1430800
2015-03-26,77.029999,77.029999,77.68,75.00,75.559998,NOW,1621000
2015-03-27,78.470001,78.470001,78.800003,76.900002,77.309998,NOW,782500
2015-03-30,79.440002,79.440002,80.00,78.830002,78.959999,NOW,611600
2015-03-31,78.779999,78.779999,80.040001,78.610001,79.260002,NOW,975000
