Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,121.419998,121.419998,122.959999,117.599998,122.599998,PANW,1650400
2015-01-05,123.730003,123.730003,124.190002,120.18,120.730003,PANW,1350200
2015-01-06,121.849998,121.849998,125.190002,118.089996,124.00,PANW,1351200
2015-01-07,125.529999,125.529999,126.970001,123.629997,124.360001,PANW,1263800
2015-01-08,127.209999,127.209999,127.620003,125.800003,126.559998,PANW,714800
2015-01-09,125.82,125.82,129.419998,125.779999,127.190002,PANW,927200
2015-01-12,127.279999,127.279999,128.029999,124.00,125.989998,PANW,875500
2015-01-13,124.75,124.75,128.589996,123.18,127.400002,PANW,1138400
2015-01-14,126.300003,126.300003,126.480003,123.199997,123.790001,PANW,815600
2015-01-15,122.080002,122.080002,127.190002,121.300003,127.059998,PANW,1161300
2015-01-16,125.010002,125.010002,125.18,121.580002,121.669998,PANW,846000
2015-01-20,124.459999,124.459999,125.970001,122.260002,125.010002,PANW,776400
2015-01-21,125.349998,125.349998,126.190002,123.059998,124.669998,PANW,758300
2015-01-22,123.68,123.68,125.629997,121.110001,125.50,PANW,1041300
2015-01-23,126.809998,126.809998,128.179993,121.769997,122.279999,PANW,1186800
2015-01-26,126.93,126.93,127.330002,124.559998,126.620003,PANW,1134900
2015-01-27,126.0,126.00,127.550003,123.75,124.50,PANW,638500
2015-01-28,125.449997,125.449997,128.820007,124.599998,127.169998,PANW,865900
2015-01-29,129.289993,129.289993,130.00,125.029999,125.690002,PANW,1211600
2015-01-30,126.389999,126.389999,129.570007,125.669998,128.529999,PANW,1175800
2015-02-02,125.110001,125.110001,126.730003,122.639999,126.160004,PANW,1441900
2015-02-03,123.529999,123.529999,125.599998,121.309998,125.599998,PANW,1390300
2015-02-04,125.68,125.68,126.230003,122.150002,122.150002,PANW,906300
2015-02-05,127.110001,127.110001,127.400002,125.809998,126.849998,PANW,799600
2015-02-06,125.620003,125.620003,128.149994,124.709999,127.610001,PANW,708000
2015-02-09,125.029999,125.029999,126.099998,123.589996,125.589996,PANW,647300
2015-02-10,128.429993,128.429993,128.940002,125.800003,126.360001,PANW,651100
2015-02-11,131.720001,131.720001,132.179993,129.149994,129.410004,PANW,1221000
2015-02-12,133.009995,133.009995,134.960007,132.229996,134.520004,PANW,1166600
2015-02-13,135.270004,135.270004,135.970001,132.630005,135.149994,PANW,1237600
2015-02-17,136.889999,136.889999,138.320007,134.860001,136.589996,PANW,1295400
2015-02-18,136.880005,136.880005,137.25,134.899994,136.929993,PANW,728900
2015-02-19,137.910004,137.910004,139.179993,136.820007,137.889999,PANW,800800
2015-02-20,141.610001,141.610001,142.490005,137.759995,138.070007,PANW,1116600
2015-02-23,138.199997,138.199997,143.50,136.639999,142.539993,PANW,1687100
2015-02-24,138.610001,138.610001,140.210007,137.940002,138.520004,PANW,936500
2015-02-25,142.059998,142.059998,142.350006,138.929993,139.00,PANW,1179100
2015-02-26,143.050003,143.050003,146.279999,142.729996,142.839996,PANW,1706500
2015-02-27,142.220001,142.220001,144.529999,141.589996,144.50,PANW,1657500
2015-03-02,145.979996,145.979996,146.399994,142.220001,142.220001,PANW,3189100
2015-03-03,148.899994,148.899994,149.350006,139.990005,142.169998,PANW,5195500
2015-03-04,143.509995,143.509995,148.570007,142.429993,148.570007,PANW,2913200
2015-03-05,143.139999,143.139999,144.729996,142.380005,143.960007,PANW,1770600
2015-03-06,140.729996,140.729996,144.00,140.220001,143.179993,PANW,1378600
