Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,30.959999,30.959999,31.43,30.52,31.15,QLIK,793100
2015-01-05,30.01,30.01,30.959999,29.91,30.709999,QLIK,1295600
2015-01-06,29.860001,29.860001,30.129999,29.26,30.129999,QLIK,1114400
2015-01-07,30.08,30.08,30.65,29.889999,30.110001,QLIK,1092100
2015-01-08,30.559999,30.559999,30.83,29.77,29.77,QLIK,1208600
2015-01-09,29.99,29.99,30.25,29.23,29.799999,QLIK,974500
2015-01-12,30.049999,30.049999,30.43,29.58,30.049999,QLIK,876000
2015-01-13,29.969999,29.969999,30.940001,29.719999,30.59,QLIK,1147600
2015-01-14,29.530001,29.530001,30.059999,29.41,29.540001,QLIK,799500
2015-01-15,28.690001,28.690001,29.879999,28.60,29.75,QLIK,920600
2015-01-16,29.27,29.27,29.389999,28.50,28.700001,QLIK,3844500
2015-01-20,29.610001,29.610001,29.799999,28.940001,29.32,QLIK,876700
2015-01-21,29.690001,29.690001,30.190001,29.280001,29.57,QLIK,1527300
2015-01-22,30.209999,30.209999,30.389999,29.360001,29.940001,QLIK,1161400
2015-01-23,30.58,30.58,30.98,29.709999,30.360001,QLIK,945200
2015-01-26,30.01,30.01,30.549999,29.440001,30.549999,QLIK,1235800
2015-01-27,29.23,29.23,29.84,28.74,29.51,QLIK,1126900
2015-01-28,28.690001,28.690001,29.950001,28.66,29.530001,QLIK,1237500
2015-01-29,29.24,29.24,29.41,28.379999,28.66,QLIK,739100
2015-01-30,28.4,28.40,29.389999,28.32,29.08,QLIK,1104700
2015-02-02,28.08,28.08,29.040001,27.549999,28.49,QLIK,2071400
2015-02-03,28.67,28.67,28.799999,28.16,28.16,QLIK,1090700
2015-02-04,28.48,28.48,28.85,27.620001,28.50,QLIK,2116200
2015-02-05,29.41,29.41,29.780001,28.74,29.25,QLIK,1941500
2015-02-06,29.5,29.50,30.09,29.309999,29.309999,QLIK,1262400
2015-02-09,29.1,29.10,29.549999,29.00,29.389999,QLIK,1028700
2015-02-10,29.65,29.65,29.75,28.92,29.370001,QLIK,1124600
2015-02-11,29.639999,29.639999,29.77,29.290001,29.540001,QLIK,1239500
2015-02-12,30.08,30.08,30.35,29.85,29.85,QLIK,3320900
2015-02-13,31.17,31.17,32.27,30.50,30.950001,QLIK,3573000
2015-02-17,31.049999,31.049999,31.379999,30.719999,31.190001,QLIK,897600
2015-02-18,30.99,30.99,31.209999,30.74,31.049999,QLIK,1239200
2015-02-19,31.17,31.17,31.18,30.799999,30.84,QLIK,1137300
2015-02-20,31.5,31.50,31.77,30.959999,31.200001,QLIK,2130400
2015-02-23,30.75,30.75,31.49,30.74,31.32,QLIK,1566900
2015-02-24,31.030001,31.030001,31.09,30.60,30.83,QLIK,1865000
2015-02-25,31.99,31.99,32.009998,30.92,30.92,QLIK,1988900
2015-02-26,32.610001,32.610001,32.689999,32.00,32.029999,QLIK,3080700
2015-02-27,32.439999,32.439999,33.099998,32.25,32.75,QLIK,2394200
2015-03-02,32.59,32.59,32.740002,32.360001,32.389999,QLIK,1283800
2015-03-03,32.349998,32.349998,32.599998,32.09,32.349998,QLIK,1660400
2015-03-04,31.860001,31.860001,32.330002,31.690001,32.25,QLIK,1063500
2015-03-05,32.549999,32.549999,32.59,31.48,32.040001,QLIK,948800
2015-03-06,32.0,32.00,32.740002,31.870001,32.189999,QLIK,2453300
2015-03-09,31.860001,31.860001,32.049999,31.32,31.969999,QLIK,1117400
2015-03-10,31.41,31.41,31.82,31.24,31.49,QLIK,1235200
2015-03-11,30.77,30.77,31.690001,30.690001,31.540001,QLIK,2045100
2015-03-12,30.940001,30.940001,31.129999,30.709999,30.860001,QLIK,1117600
2015-03-13,30.73,30.73,31.02,30.18,30.780001,QLIK,964400
2015-03-16,30.950001,30.950001,31.040001,30.559999,30.790001,QLIK,799500
2015-03-17,30.5,30.50,31.040001,30.469999,30.76,QLIK,1071200
2015-03-18,31.1,31.10,31.209999,30.290001,30.309999,QLIK,2446600
2015-03-19,31.549999,31.549999,31.66,31.02,31.08,QLIK,1570100
2015-03-20,32.119999,32.119999,32.209999,31.68,31.940001,QLIK,1399900
2015-03-23,32.220001,32.220001,32.450001,31.99,31.99,QLIK,934600
2015-03-24,31.870001,31.870001,32.389999,31.799999,32.150002,QLIK,550000
2015-03-25,31.040001,31.040001,32.439999,30.959999,31.879999,QLIK,859700
2015-03-26,31.370001,31.370001,31.42,30.51,30.91,QLIK,982200
2015-03-27,31.559999,31.559999,31.629999,30.98,31.370001,QLIK,713100
2015-03-30,31.68,31.68,32.040001,31.440001,31.809999,QLIK,711800
2015-03-31,31.129999,31.129999,31.620001,30.719999,31.469999,QLIK,1198600
2015-04-01,31.219999,31.219999,31.360001,30.610001,31.09,QLIK,723600
2015-04-02,31.719999,31.719999,31.860001,31.120001,31.15,QLIK,653500
2015-04-06,32.09,32.09,32.41,31.450001,31.450001,QLIK,904500
2015-04-07,32.619999,32.619999,33.00,32.259998,32.299999,QLIK,1325200
2015-04-08,32.68,32.68,33.09,32.380001,32.380001,QLIK,1013400
2015-04-09,33.389999,33.389999,33.509998,32.849998,32.849998,QLIK,1177100
2015-04-10,33.259998,33.259998,33.66,33.16,33.380001,QLIK,1013500
2015-04-13,33.080002,33.080002,33.77,33.00,33.189999,QLIK,1022000
2015-04-14,33.59,33.59,33.619999,32.990002,33.18,QLIK,1163700
2015-04-15,33.52,33.52,33.740002,33.25,33.619999,QLIK,844200
