Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,28.469999,28.469999,28.68,28.030001,28.030001,QUNR,575200
2015-01-05,28.559999,28.559999,28.92,28.18,28.469999,QUNR,710700
2015-01-06,27.780001,27.780001,28.77,26.40,28.49,QUNR,774800
2015-01-07,27.709999,27.709999,28.290001,27.24,28.290001,QUNR,999800
2015-01-08,28.76,28.76,29.200001,27.719999,28.02,QUNR,511100
2015-01-09,29.049999,29.049999,29.190001,28.700001,28.90,QUNR,453800
2015-01-12,29.370001,29.370001,29.60,28.469999,29.00,QUNR,749200
2015-01-13,30.07,30.07,30.379999,29.50,29.50,QUNR,2048200
2015-01-14,29.99,29.99,30.24,29.51,29.870001,QUNR,955500
2015-01-15,29.35,29.35,30.00,28.959999,29.879999,QUNR,708500
2015-01-16,29.07,29.07,29.57,28.870001,29.389999,QUNR,646600
2015-01-20,28.940001,28.940001,29.49,28.209999,29.209999,QUNR,586900
2015-01-21,29.540001,29.540001,29.85,28.68,28.99,QUNR,429400
2015-01-22,29.719999,29.719999,30.129999,29.389999,29.60,QUNR,738100
2015-01-23,29.790001,29.790001,30.030001,29.41,29.799999,QUNR,538500
2015-01-26,29.879999,29.879999,30.00,29.52,29.67,QUNR,204900
2015-01-27,29.82,29.82,30.09,29.559999,29.559999,QUNR,202800
2015-01-28,29.530001,29.530001,29.98,28.799999,28.799999,QUNR,227400
2015-01-29,28.75,28.75,29.35,28.040001,29.35,QUNR,520400
2015-01-30,29.34,29.34,29.76,28.49,28.709999,QUNR,629600
2015-02-02,29.139999,29.139999,29.50,28.870001,29.17,QUNR,493100
2015-02-03,29.0,29.00,29.66,28.700001,29.219999,QUNR,364700
2015-02-04,30.120001,30.120001,30.190001,29.00,29.00,QUNR,868100
2015-02-05,30.290001,30.290001,30.48,29.67,30.00,QUNR,764400
2015-02-06,30.09,30.09,30.549999,29.870001,30.07,QUNR,1205500
2015-02-09,29.42,29.42,30.110001,29.10,30.110001,QUNR,488100
2015-02-10,29.200001,29.200001,29.57,28.709999,29.469999,QUNR,295700
2015-02-11,28.799999,28.799999,29.280001,28.60,29.110001,QUNR,264700
2015-02-12,28.4,28.40,28.790001,28.02,28.780001,QUNR,465000
2015-02-13,28.42,28.42,28.709999,28.09,28.280001,QUNR,441700
2015-02-17,28.709999,28.709999,29.00,28.33,28.530001,QUNR,1047100
2015-02-18,28.690001,28.690001,29.190001,28.549999,28.77,QUNR,766700
2015-02-19,28.84,28.84,29.030001,28.620001,28.76,QUNR,327500
2015-02-20,28.82,28.82,29.379999,28.780001,28.98,QUNR,292000
2015-02-23,28.42,28.42,28.790001,28.309999,28.75,QUNR,233500
2015-02-24,28.389999,28.389999,28.629999,28.23,28.309999,QUNR,220500
2015-02-25,28.0,28.00,28.450001,27.889999,28.35,QUNR,374500
2015-02-26,27.84,27.84,28.32,27.799999,28.09,QUNR,498500
2015-02-27,27.190001,27.190001,27.959999,26.85,27.84,QUNR,976700
2015-03-02,27.1,27.10,27.65,26.879999,27.200001,QUNR,488700
2015-03-03,27.85,27.85,27.969999,26.959999,26.959999,QUNR,482800
2015-03-04,28.6,28.60,28.73,27.76,27.85,QUNR,608300
2015-03-05,28.99,28.99,29.360001,28.469999,28.870001,QUNR,410000
2015-03-06,28.74,28.74,29.26,28.42,28.889999,QUNR,607700
2015-03-09,28.76,28.76,29.139999,28.35,28.76,QUNR,619300
2015-03-10,28.01,28.01,28.75,27.84,28.639999,QUNR,322900
2015-03-11,27.68,27.68,28.059999,27.459999,27.969999,QUNR,236400
2015-03-12,28.299999,28.299999,28.50,27.639999,27.639999,QUNR,213400
2015-03-13,28.51,28.51,28.709999,28.16,28.299999,QUNR,328500
2015-03-16,29.059999,29.059999,29.379999,28.610001,28.74,QUNR,1275900
2015-03-17,32.009998,32.009998,32.009998,29.52,29.52,QUNR,2896000
