Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,8.037487,8.32,8.38,7.53,7.58,SFUN,8818500
2015-01-05,8.066469,8.35,8.83,8.17,8.41,SFUN,7816100
2015-01-06,8.211375,8.50,8.51,7.99,8.16,SFUN,7696000
2015-01-07,7.960203,8.24,8.65,8.16,8.60,SFUN,4000900
2015-01-08,7.834618,8.11,8.15,7.82,8.12,SFUN,7146700
2015-01-09,7.65107,7.92,8.10,7.88,8.04,SFUN,4870800
2015-01-12,7.148727,7.40,7.96,7.39,7.92,SFUN,6763400
2015-01-13,7.245331,7.50,7.72,7.37,7.53,SFUN,4718000
2015-01-14,7.00382,7.25,7.44,7.11,7.40,SFUN,4800500
2015-01-15,6.375891,6.60,7.42,6.50,7.29,SFUN,7097700
2015-01-16,6.57876,6.81,7.03,6.70,6.72,SFUN,4550600
2015-01-20,6.443514,6.67,6.86,6.66,6.85,SFUN,5877900
2015-01-21,6.665705,6.90,7.24,6.68,6.68,SFUN,8457200
2015-01-22,6.887895,7.13,7.18,6.88,6.94,SFUN,3005000
2015-01-23,6.607742,6.84,7.19,6.81,7.19,SFUN,3637000
2015-01-26,6.810611,7.05,7.19,6.90,6.90,SFUN,5535800
2015-01-27,6.675365,6.91,7.02,6.82,6.90,SFUN,3134600
2015-01-28,6.385552,6.61,6.93,6.59,6.86,SFUN,4535100
2015-01-29,6.192343,6.41,6.72,6.38,6.61,SFUN,4757300
2015-01-30,5.90253,6.11,6.44,6.10,6.44,SFUN,5954200
2015-02-02,5.90253,6.11,6.24,5.98,6.19,SFUN,6934000
2015-02-03,6.163362,6.38,6.49,6.13,6.13,SFUN,6891700
2015-02-04,6.34691,6.57,7.14,6.55,6.99,SFUN,14363500
2015-02-05,6.298608,6.52,6.60,6.43,6.55,SFUN,6411100
2015-02-06,6.78163,7.02,7.10,6.50,6.50,SFUN,8651900
2015-02-09,6.694686,6.93,7.17,6.80,7.00,SFUN,8508700
2015-02-10,6.424194,6.65,7.10,6.54,7.02,SFUN,12700400
