Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,4.61,4.61,4.72,4.61,4.63,SMI,81900
2015-01-05,4.68,4.68,4.72,4.65,4.70,SMI,42200
2015-01-06,4.52,4.52,4.56,4.50,4.52,SMI,61400
2015-01-07,4.56,4.56,4.60,4.53,4.53,SMI,39400
2015-01-08,4.56,4.56,4.60,4.53,4.60,SMI,18500
2015-01-09,4.53,4.53,4.58,4.53,4.56,SMI,22500
2015-01-12,4.51,4.51,4.59,4.51,4.59,SMI,41000
2015-01-13,4.57,4.57,4.58,4.50,4.57,SMI,42400
2015-01-14,4.53,4.53,4.58,4.52,4.57,SMI,28600
2015-01-15,4.55,4.55,4.62,4.55,4.55,SMI,88000
2015-01-16,4.5,4.50,4.52,4.48,4.50,SMI,29400
2015-01-20,4.54,4.54,4.55,4.50,4.52,SMI,47800
2015-01-21,4.58,4.58,4.58,4.52,4.55,SMI,29200
2015-01-22,4.56,4.56,4.59,4.56,4.58,SMI,26700
2015-01-23,4.5,4.50,4.57,4.50,4.52,SMI,62600
2015-01-26,4.5,4.50,4.52,4.49,4.50,SMI,55200
2015-01-27,4.46,4.46,4.50,4.46,4.50,SMI,18900
2015-01-28,4.41,4.41,4.47,4.41,4.45,SMI,14800
2015-01-29,4.38,4.38,4.44,4.34,4.44,SMI,20900
2015-01-30,4.23,4.23,4.38,4.23,4.33,SMI,227300
2015-02-02,4.28,4.28,4.29,4.24,4.28,SMI,59900
2015-02-03,4.38,4.38,4.46,4.38,4.39,SMI,87400
2015-02-04,4.45,4.45,4.54,4.44,4.54,SMI,183900
2015-02-05,4.37,4.37,4.45,4.37,4.41,SMI,79300
2015-02-06,4.35,4.35,4.49,4.35,4.43,SMI,124800
2015-02-09,4.33,4.33,4.48,4.33,4.42,SMI,56500
2015-02-10,4.55,4.55,4.63,4.51,4.55,SMI,231900
2015-02-11,4.51,4.51,4.58,4.50,4.54,SMI,59200
2015-02-12,4.51,4.51,4.54,4.46,4.51,SMI,125200
2015-02-13,4.68,4.68,4.70,4.65,4.65,SMI,75400
2015-02-17,4.5,4.50,4.58,4.50,4.55,SMI,53000
2015-02-18,4.43,4.43,4.46,4.39,4.45,SMI,53300
2015-02-19,4.44,4.44,4.46,4.39,4.39,SMI,30900
2015-02-20,4.43,4.43,4.45,4.40,4.45,SMI,98400
2015-02-23,4.39,4.39,4.41,4.39,4.39,SMI,22000
2015-02-24,4.32,4.32,4.35,4.32,4.35,SMI,83700
2015-02-25,4.42,4.42,4.50,4.40,4.40,SMI,96200
2015-02-26,4.32,4.32,4.38,4.32,4.38,SMI,38100
2015-02-27,4.37,4.37,4.38,4.32,4.33,SMI,44200
2015-03-02,4.5,4.50,4.50,4.40,4.40,SMI,37200
2015-03-03,4.43,4.43,4.50,4.43,4.50,SMI,19400
2015-03-04,4.4,4.40,4.46,4.40,4.43,SMI,74700
2015-03-05,4.4,4.40,4.42,4.36,4.38,SMI,75700
2015-03-06,4.43,4.43,4.51,4.42,4.51,SMI,38900
2015-03-09,4.44,4.44,4.49,4.41,4.41,SMI,20500
2015-03-10,4.35,4.35,4.43,4.33,4.43,SMI,25100
2015-03-11,4.38,4.38,4.39,4.35,4.35,SMI,18400
2015-03-12,4.39,4.39,4.45,4.37,4.45,SMI,25900
2015-03-13,4.3,4.30,4.33,4.30,4.33,SMI,31000
2015-03-16,4.38,4.38,4.45,4.38,4.45,SMI,30100
2015-03-17,4.35,4.35,4.36,4.34,4.35,SMI,22900
2015-03-18,4.36,4.36,4.37,4.31,4.31,SMI,30100
2015-03-19,4.33,4.33,4.35,4.30,4.30,SMI,33300
2015-03-20,4.1,4.10,4.35,4.10,4.35,SMI,424200
2015-03-23,4.24,4.24,4.33,4.24,4.29,SMI,117600
2015-03-24,4.37,4.37,4.45,4.37,4.42,SMI,90800
2015-03-25,4.48,4.48,4.56,4.47,4.52,SMI,77000
2015-03-26,4.56,4.56,4.56,4.52,4.53,SMI,57300
2015-03-27,4.54,4.54,4.56,4.48,4.56,SMI,28100
2015-03-30,4.65,4.65,4.74,4.65,4.71,SMI,94700
2015-03-31,4.73,4.73,4.77,4.71,4.71,SMI,53200
2015-04-01,4.96,4.96,4.99,4.93,4.98,SMI,175100
2015-04-02,4.96,4.96,4.98,4.94,4.97,SMI,116600
2015-04-06,4.98,4.98,5.00,4.96,5.00,SMI,95700
2015-04-07,5.01,5.01,5.02,4.94,4.95,SMI,64500
2015-04-08,5.7,5.70,5.74,5.44,5.45,SMI,714700
2015-04-09,6.06,6.06,6.06,5.87,5.93,SMI,736600
2015-04-10,6.03,6.03,6.03,5.87,5.94,SMI,332100
2015-04-13,5.93,5.93,6.03,5.88,6.03,SMI,181400
2015-04-14,5.58,5.58,5.63,5.52,5.55,SMI,246300
2015-04-15,5.57,5.57,5.62,5.55,5.58,SMI,92400
2015-04-16,5.48,5.48,5.58,5.44,5.53,SMI,386700
2015-04-17,5.2,5.20,5.28,5.18,5.24,SMI,176500
2015-04-20,5.11,5.11,5.14,5.10,5.12,SMI,38900
2015-04-21,5.35,5.35,5.38,5.32,5.38,SMI,184900
2015-04-22,5.45,5.45,5.52,5.43,5.45,SMI,97600
2015-04-23,5.46,5.46,5.48,5.45,5.45,SMI,51600
2015-04-24,5.4,5.40,5.40,5.32,5.40,SMI,68600
2015-04-27,5.49,5.49,5.52,5.42,5.44,SMI,85600
2015-04-28,5.49,5.49,5.52,5.49,5.52,SMI,28100
2015-04-29,5.54,5.54,5.55,5.52,5.52,SMI,30100
2015-04-30,5.47,5.47,5.53,5.46,5.53,SMI,35700
2015-05-01,5.47,5.47,5.49,5.46,5.48,SMI,14200
2015-05-04,5.48,5.48,5.55,5.46,5.55,SMI,37100
2015-05-05,5.29,5.29,5.39,5.26,5.39,SMI,82800
2015-05-06,5.03,5.03,5.11,5.02,5.11,SMI,97100
2015-05-07,5.31,5.31,5.38,5.22,5.24,SMI,185000
2015-05-08,5.37,5.37,5.39,5.35,5.39,SMI,73100
2015-05-11,5.42,5.42,5.42,5.34,5.34,SMI,35900
2015-05-12,5.28,5.28,5.29,5.20,5.28,SMI,43300
2015-05-13,5.25,5.25,5.28,5.24,5.26,SMI,51900
2015-05-14,5.18,5.18,5.19,5.17,5.19,SMI,42500
2015-05-15,5.25,5.25,5.25,5.19,5.22,SMI,26700
2015-05-18,5.34,5.34,5.35,5.24,5.24,SMI,49700
