Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,25.709999,25.709999,26.16,25.139999,26.02,SPWR,1156700
2015-01-05,24.43,24.43,25.440001,24.27,25.35,SPWR,2214700
2015-01-06,23.35,23.35,24.43,23.15,24.41,SPWR,2559000
2015-01-07,23.85,23.85,23.90,23.379999,23.700001,SPWR,1433800
2015-01-08,25.67,25.67,25.73,24.02,24.040001,SPWR,2938200
2015-01-09,25.5,25.50,25.799999,25.08,25.719999,SPWR,1285300
2015-01-12,25.51,25.51,25.59,24.620001,25.32,SPWR,1533600
2015-01-13,26.57,26.57,27.50,26.07,26.48,SPWR,4771800
2015-01-14,26.879999,26.879999,27.059999,26.00,26.15,SPWR,3254800
2015-01-15,24.530001,24.530001,27.379999,24.50,27.139999,SPWR,4133400
2015-01-16,24.51,24.51,24.74,23.889999,24.549999,SPWR,3002800
2015-01-20,23.799999,23.799999,24.74,23.60,24.60,SPWR,2275200
2015-01-21,24.360001,24.360001,24.66,23.66,23.75,SPWR,2152900
2015-01-22,24.43,24.43,24.59,23.90,24.49,SPWR,1294200
2015-01-23,24.639999,24.639999,24.870001,24.17,24.459999,SPWR,1592400
2015-01-26,25.33,25.33,25.41,24.51,24.559999,SPWR,1356900
2015-01-27,25.370001,25.370001,25.440001,24.530001,24.799999,SPWR,1594300
2015-01-28,24.219999,24.219999,25.690001,24.129999,25.67,SPWR,2999500
2015-01-29,23.98,23.98,24.59,23.290001,24.290001,SPWR,1981300
2015-01-30,24.120001,24.120001,24.90,23.91,24.49,SPWR,1990600
2015-02-02,25.76,25.76,25.870001,24.299999,24.309999,SPWR,2536700
2015-02-03,27.4,27.40,27.940001,26.129999,26.16,SPWR,4038200
2015-02-04,26.92,26.92,27.34,26.58,27.07,SPWR,2249900
2015-02-05,27.09,27.09,27.309999,26.59,27.16,SPWR,1658600
2015-02-06,26.809999,26.809999,27.35,26.68,27.35,SPWR,1754200
2015-02-09,26.950001,26.950001,27.290001,26.50,26.719999,SPWR,1838200
2015-02-10,27.129999,27.129999,27.25,26.309999,27.139999,SPWR,1929000
2015-02-11,27.42,27.42,27.620001,26.76,27.01,SPWR,2305800
2015-02-12,28.23,28.23,28.60,27.60,27.60,SPWR,2504300
2015-02-13,28.299999,28.299999,28.639999,28.049999,28.549999,SPWR,2031500
2015-02-17,28.49,28.49,28.559999,27.85,28.379999,SPWR,2020400
2015-02-18,28.1,28.10,28.83,27.969999,28.41,SPWR,2074100
2015-02-19,27.379999,27.379999,28.17,27.190001,27.41,SPWR,2322700
2015-02-20,28.030001,28.030001,28.440001,27.370001,28.18,SPWR,3252100
2015-02-23,27.799999,27.799999,28.27,27.540001,27.91,SPWR,3601300
2015-02-24,32.799999,32.799999,33.16,31.52,32.299999,SPWR,12928700
2015-02-25,32.869999,32.869999,33.25,31.959999,33.16,SPWR,4603600
2015-02-26,32.060001,32.060001,32.66,31.780001,32.610001,SPWR,2754100
2015-02-27,32.66,32.66,32.939999,31.610001,31.65,SPWR,3117600
2015-03-02,33.450001,33.450001,33.450001,32.080002,32.080002,SPWR,2747100
2015-03-03,33.330002,33.330002,33.860001,32.869999,33.310001,SPWR,2331500
2015-03-04,33.049999,33.049999,33.490002,32.790001,32.959999,SPWR,2071800
2015-03-05,33.599998,33.599998,33.810001,32.880001,33.220001,SPWR,2696700
2015-03-06,33.560001,33.560001,34.240002,33.290001,33.490002,SPWR,2558000
2015-03-09,33.169998,33.169998,33.720001,32.91,33.560001,SPWR,1916700
2015-03-10,32.290001,32.290001,33.00,32.110001,32.91,SPWR,2096800
2015-03-11,32.639999,32.639999,32.970001,32.259998,32.439999,SPWR,2220700
2015-03-12,32.720001,32.720001,32.810001,32.259998,32.439999,SPWR,1269600
2015-03-13,32.259998,32.259998,32.73,31.809999,32.279999,SPWR,1704400
2015-03-16,32.490002,32.490002,32.560001,31.889999,32.450001,SPWR,1372400
