Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,19.904557,25.59,26.110001,25.469999,25.790001,SYMC,2508900
2015-01-05,19.624539,25.23,25.77,25.190001,25.559999,SYMC,4177000
2015-01-06,19.321188,24.84,25.450001,24.77,25.450001,SYMC,5307700
2015-01-07,19.500087,25.07,25.209999,24.74,24.90,SYMC,3040200
2015-01-08,19.857888,25.530001,25.66,25.190001,25.209999,SYMC,3527800
2015-01-09,19.725658,25.360001,25.73,25.07,25.530001,SYMC,5470800
2015-01-12,19.67121,25.290001,25.440001,24.969999,25.360001,SYMC,3518700
2015-01-13,19.710101,25.34,26.049999,25.129999,25.59,SYMC,3892300
2015-01-14,19.608983,25.209999,25.35,24.940001,25.120001,SYMC,2886100
2015-01-15,19.375635,24.91,25.360001,24.84,25.219999,SYMC,2904000
2015-01-16,19.935669,25.629999,25.67,24.799999,24.91,SYMC,4486500
2015-01-20,19.974561,25.68,25.940001,25.450001,25.719999,SYMC,3941500
2015-01-21,19.927892,25.620001,25.790001,25.48,25.629999,SYMC,3256700
2015-01-22,20.760166,26.690001,26.690001,25.450001,25.75,SYMC,6008000
2015-01-23,20.729052,26.65,27.32,26.559999,26.700001,SYMC,5154600
2015-01-26,20.682383,26.59,26.66,26.23,26.620001,SYMC,2473400
2015-01-27,20.176796,25.940001,26.34,25.68,26.139999,SYMC,4133400
2015-01-28,19.741213,25.379999,26.049999,25.360001,25.879999,SYMC,3796900
2015-01-29,19.912336,25.60,25.620001,25.08,25.32,SYMC,3199800
2015-01-30,19.26674,24.77,25.440001,24.74,25.379999,SYMC,4128600
2015-02-02,19.398971,24.940001,25.00,24.360001,24.93,SYMC,3948100
2015-02-03,19.811217,25.469999,25.50,25.01,25.02,SYMC,2900100
2015-02-04,19.912336,25.60,25.790001,25.23,25.440001,SYMC,3041700
2015-02-05,20.20013,25.969999,26.02,25.469999,25.66,SYMC,3567500
2015-02-06,19.274519,24.780001,25.940001,24.57,25.700001,SYMC,6362600
