Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,58.169998,58.169998,59.00,57.459999,58.369999,VRNT,406600
2015-01-05,57.330002,57.330002,58.450001,57.040001,57.889999,VRNT,368300
2015-01-06,56.57,56.57,57.459999,55.779999,57.41,VRNT,438300
2015-01-07,56.509998,56.509998,57.82,56.169998,57.02,VRNT,402300
2015-01-08,57.23,57.23,57.23,56.43,57.189999,VRNT,752000
2015-01-09,56.380001,56.380001,57.490002,56.32,57.23,VRNT,236500
2015-01-12,55.779999,55.779999,56.48,55.43,56.48,VRNT,385800
2015-01-13,55.880001,55.880001,57.00,54.98,56.09,VRNT,386600
2015-01-14,55.349998,55.349998,56.00,54.509998,55.029999,VRNT,295700
2015-01-15,54.080002,54.080002,55.810001,53.439999,55.380001,VRNT,598200
2015-01-16,54.93,54.93,55.130001,53.650002,53.889999,VRNT,835000
2015-01-20,55.490002,55.490002,56.00,54.669998,55.02,VRNT,703100
2015-01-21,55.549999,55.549999,55.98,55.00,55.209999,VRNT,429800
2015-01-22,56.5,56.50,56.599998,55.18,55.970001,VRNT,468000
2015-01-23,56.330002,56.330002,57.169998,56.290001,56.50,VRNT,254700
2015-01-26,55.700001,55.700001,56.990002,55.470001,56.349998,VRNT,358600
2015-01-27,54.98,54.98,55.369999,54.16,54.970001,VRNT,423600
2015-01-28,54.450001,54.450001,55.549999,54.360001,55.48,VRNT,382000
2015-01-29,53.599998,53.599998,54.400002,52.84,54.389999,VRNT,709600
2015-01-30,53.380001,53.380001,53.709999,52.880001,53.360001,VRNT,820400
2015-02-02,53.700001,53.700001,54.16,52.790001,53.439999,VRNT,433200
2015-02-03,54.639999,54.639999,55.18,54.029999,54.029999,VRNT,560000
2015-02-04,55.150002,55.150002,55.689999,54.52,54.52,VRNT,365700
2015-02-05,56.07,56.07,56.68,55.23,55.50,VRNT,658400
2015-02-06,55.5,55.50,56.610001,55.259998,56.07,VRNT,454100
2015-02-09,55.060001,55.060001,55.459999,54.599998,55.130001,VRNT,280300
2015-02-10,55.470001,55.470001,55.509998,54.82,55.419998,VRNT,306000
2015-02-11,55.299999,55.299999,55.630001,55.099998,55.50,VRNT,213400
2015-02-12,55.400002,55.400002,55.689999,55.16,55.540001,VRNT,340700
2015-02-13,55.639999,55.639999,55.860001,54.959999,55.369999,VRNT,398600
2015-02-17,56.5,56.50,56.650002,55.549999,55.560001,VRNT,465900
2015-02-18,57.52,57.52,57.689999,56.259998,56.57,VRNT,477300
2015-02-19,57.779999,57.779999,58.450001,57.349998,57.52,VRNT,344300
2015-02-20,58.240002,58.240002,58.439999,57.060001,57.919998,VRNT,211600
2015-02-23,58.869999,58.869999,58.970001,58.009998,58.32,VRNT,395800
2015-02-24,59.200001,59.200001,59.349998,58.509998,58.75,VRNT,299900
2015-02-25,60.27,60.27,60.330002,58.939999,58.990002,VRNT,432700
2015-02-26,60.130001,60.130001,60.259998,59.810001,60.119999,VRNT,587600
2015-02-27,60.880001,60.880001,61.459999,59.779999,60.00,VRNT,1730700
2015-03-02,61.41,61.41,61.450001,60.310001,61.099998,VRNT,596100
2015-03-03,60.099998,60.099998,61.369999,59.889999,61.349998,VRNT,302500
2015-03-04,59.68,59.68,59.959999,59.32,59.599998,VRNT,210200
2015-03-05,59.790001,59.790001,59.970001,59.200001,59.509998,VRNT,297600
2015-03-06,59.709999,59.709999,59.720001,58.860001,59.349998,VRNT,321500
