Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,63.970001,63.970001,65.00,63.049999,64.080002,VRSK,529700
2015-01-05,63.139999,63.139999,63.98,62.709999,63.82,VRSK,885800
2015-01-06,62.919998,62.919998,63.740002,62.82,63.049999,VRSK,754600
2015-01-07,62.959999,62.959999,63.349998,62.740002,63.02,VRSK,632100
2015-01-08,63.59,63.59,63.93,63.189999,63.189999,VRSK,890800
2015-01-09,63.09,63.09,63.610001,62.799999,63.32,VRSK,561800
2015-01-12,62.970001,62.970001,63.669998,62.599998,63.330002,VRSK,472400
2015-01-13,63.43,63.43,64.089996,63.02,63.400002,VRSK,575300
2015-01-14,62.970001,62.970001,64.059998,62.560001,63.02,VRSK,484000
2015-01-15,62.700001,62.700001,63.110001,62.43,62.919998,VRSK,479700
2015-01-16,62.900002,62.900002,63.240002,62.279999,62.50,VRSK,584600
2015-01-20,63.200001,63.200001,63.490002,62.43,63.00,VRSK,828900
2015-01-21,63.43,63.43,63.630001,62.740002,62.869999,VRSK,540300
2015-01-22,64.260002,64.260002,64.440002,63.389999,63.540001,VRSK,1548500
2015-01-23,65.110001,65.110001,65.339996,63.970001,64.139999,VRSK,668300
2015-01-26,64.910004,64.910004,65.290001,64.529999,65.00,VRSK,628900
2015-01-27,64.300003,64.300003,64.910004,64.010002,64.239998,VRSK,483400
2015-01-28,64.010002,64.010002,64.779999,63.740002,64.379997,VRSK,462600
2015-01-29,64.260002,64.260002,64.529999,63.66,64.080002,VRSK,1009000
2015-01-30,64.349998,64.349998,64.720001,63.619999,64.059998,VRSK,800800
2015-02-02,64.870003,64.870003,64.879997,63.790001,64.410004,VRSK,831200
2015-02-03,65.739998,65.739998,65.739998,64.93,64.93,VRSK,775500
2015-02-04,65.75,65.75,66.190002,65.379997,65.639999,VRSK,563700
2015-02-05,66.769997,66.769997,66.870003,65.75,66.00,VRSK,652100
2015-02-06,65.959999,65.959999,67.00,65.669998,66.889999,VRSK,671800
2015-02-09,65.970001,65.970001,66.300003,65.360001,65.779999,VRSK,417500
2015-02-10,66.080002,66.080002,66.919998,65.559998,66.019997,VRSK,427000
2015-02-11,66.459999,66.459999,66.57,65.550003,66.07,VRSK,343600
2015-02-12,67.440002,67.440002,67.68,66.410004,66.690002,VRSK,844400
2015-02-13,67.900002,67.900002,68.059998,67.449997,67.75,VRSK,485900
2015-02-17,67.559998,67.559998,67.989998,67.360001,67.690002,VRSK,561000
2015-02-18,67.690002,67.690002,67.82,67.169998,67.550003,VRSK,374000
2015-02-19,67.510002,67.510002,67.910004,67.230003,67.400002,VRSK,665600
2015-02-20,67.800003,67.800003,67.970001,67.080002,67.779999,VRSK,644900
2015-02-23,67.800003,67.800003,68.019997,67.360001,67.889999,VRSK,1117600
2015-02-24,67.910004,67.910004,68.050003,67.43,67.739998,VRSK,858200
2015-02-25,72.18,72.18,74.75,70.00,70.00,VRSK,3931100
2015-02-26,72.269997,72.269997,72.75,71.080002,71.25,VRSK,1566500
2015-02-27,71.809998,71.809998,72.879997,71.75,72.639999,VRSK,813200
2015-03-02,71.870003,71.870003,72.279999,71.550003,71.809998,VRSK,1095700
2015-03-03,71.599998,71.599998,72.110001,71.339996,71.870003,VRSK,655400
2015-03-04,70.690002,70.690002,71.459999,70.50,71.160004,VRSK,710600
2015-03-05,71.089996,71.089996,71.199997,70.529999,71.089996,VRSK,749200
