Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,80.410004,80.410004,81.970001,79.25,81.82,WDAY,1630000
2015-01-05,80.010002,80.010002,80.970001,79.110001,80.00,WDAY,1591400
2015-01-06,79.419998,79.419998,81.480003,78.25,80.839996,WDAY,1584000
2015-01-07,79.349998,79.349998,80.370003,78.860001,79.730003,WDAY,1106100
2015-01-08,82.779999,82.779999,83.209999,79.379997,79.559998,WDAY,2090100
2015-01-09,82.599998,82.599998,83.75,82.040001,82.889999,WDAY,1062400
2015-01-12,83.489998,83.489998,84.260002,82.110001,82.599998,WDAY,1220200
2015-01-13,83.849998,83.849998,85.599998,82.68,84.00,WDAY,1784200
2015-01-14,81.010002,81.010002,83.25,79.330002,82.709999,WDAY,1847200
2015-01-15,78.059998,78.059998,81.339996,78.019997,81.260002,WDAY,1500600
2015-01-16,78.400002,78.400002,78.50,76.360001,78.00,WDAY,1383300
2015-01-20,78.32,78.32,78.980003,77.00,78.720001,WDAY,1359800
2015-01-21,80.389999,80.389999,81.400002,77.900002,78.269997,WDAY,1571600
2015-01-22,81.400002,81.400002,81.870003,79.629997,80.699997,WDAY,970900
2015-01-23,83.199997,83.199997,84.330002,81.32,81.650002,WDAY,1423200
2015-01-26,82.779999,82.779999,83.809998,82.120003,82.919998,WDAY,707800
2015-01-27,80.629997,80.629997,81.610001,80.029999,81.18,WDAY,1065500
2015-01-28,78.660004,78.660004,81.550003,78.660004,81.360001,WDAY,1427800
2015-01-29,79.169998,79.169998,79.949997,77.400002,79.150002,WDAY,1727900
2015-01-30,79.459999,79.459999,79.879997,77.93,78.989998,WDAY,1802500
2015-02-02,81.389999,81.389999,81.440002,78.400002,79.650002,WDAY,1165300
2015-02-03,84.739998,84.739998,84.989998,81.699997,81.790001,WDAY,2152300
2015-02-04,84.919998,84.919998,85.540001,83.690002,84.029999,WDAY,1036900
2015-02-05,87.629997,87.629997,87.970001,85.410004,85.75,WDAY,1444900
2015-02-06,86.43,86.43,87.580002,86.269997,87.370003,WDAY,679400
2015-02-09,86.089996,86.089996,86.730003,85.07,85.989998,WDAY,680400
2015-02-10,86.139999,86.139999,87.040001,85.589996,86.790001,WDAY,748000
2015-02-11,88.870003,88.870003,89.269997,85.949997,86.089996,WDAY,1338800
2015-02-12,91.169998,91.169998,91.260002,88.639999,88.879997,WDAY,1295900
2015-02-13,91.839996,91.839996,92.379997,90.349998,91.00,WDAY,993900
2015-02-17,90.919998,90.919998,91.709999,90.349998,91.370003,WDAY,1640800
2015-02-18,91.300003,91.300003,91.709999,90.550003,90.629997,WDAY,814900
2015-02-19,91.870003,91.870003,92.110001,90.790001,90.830002,WDAY,783300
2015-02-20,92.739998,92.739998,92.739998,91.099998,91.68,WDAY,842800
2015-02-23,91.989998,91.989998,93.160004,91.809998,93.00,WDAY,825400
2015-02-24,93.029999,93.029999,93.059998,91.059998,91.489998,WDAY,1233100
2015-02-25,93.940002,93.940002,95.169998,91.559998,92.489998,WDAY,2112600
2015-02-26,88.650002,88.650002,94.720001,84.650002,94.519997,WDAY,6924000
2015-02-27,85.5,85.50,89.089996,85.309998,88.650002,WDAY,2761700
2015-03-02,88.809998,88.809998,88.959999,84.800003,85.599998,WDAY,2342500
2015-03-03,88.120003,88.120003,90.610001,87.790001,89.129997,WDAY,2477500
2015-03-04,82.639999,82.639999,88.279999,82.32,88.00,WDAY,3430800
2015-03-05,84.209999,84.209999,84.419998,81.809998,82.720001,WDAY,1800000
2015-03-06,82.610001,82.610001,84.709999,82.199997,83.830002,WDAY,1313000
2015-03-09,83.029999,83.029999,83.050003,81.300003,82.660004,WDAY,1145800
2015-03-10,81.290001,81.290001,82.00,80.82,81.970001,WDAY,1116800
2015-03-11,82.330002,82.330002,82.970001,80.889999,81.730003,WDAY,993400
2015-03-12,83.169998,83.169998,83.629997,82.010002,82.769997,WDAY,1037600
2015-03-13,82.559998,82.559998,83.50,81.949997,82.540001,WDAY,544500
2015-03-16,83.870003,83.870003,83.919998,82.290001,83.150002,WDAY,713700
2015-03-17,83.400002,83.400002,83.870003,82.739998,82.910004,WDAY,969900
2015-03-18,84.889999,84.889999,85.50,82.699997,82.900002,WDAY,1165800
2015-03-19,85.349998,85.349998,86.00,84.489998,84.660004,WDAY,952300
2015-03-20,84.910004,84.910004,86.190002,84.43,86.019997,WDAY,1315300
2015-03-23,85.220001,85.220001,86.00,83.889999,84.75,WDAY,1201700
2015-03-24,86.489998,86.489998,87.839996,84.940002,85.089996,WDAY,1358900
2015-03-25,83.260002,83.260002,86.379997,82.68,86.209999,WDAY,1446800
2015-03-26,83.980003,83.980003,84.559998,82.50,82.809998,WDAY,2130900
2015-03-27,85.059998,85.059998,85.599998,83.199997,83.879997,WDAY,970400
2015-03-30,86.139999,86.139999,86.370003,84.489998,85.410004,WDAY,858000
2015-03-31,84.410004,84.410004,86.769997,84.269997,85.900002,WDAY,1173600
2015-04-01,83.410004,83.410004,84.739998,81.389999,83.589996,WDAY,2494300
2015-04-02,86.230003,86.230003,86.730003,82.889999,83.25,WDAY,1474200
2015-04-06,88.5,88.50,89.330002,85.209999,85.660004,WDAY,1518800
2015-04-07,87.480003,87.480003,89.32,87.309998,88.919998,WDAY,1155600
2015-04-08,88.0,88.00,89.150002,87.260002,87.690002,WDAY,1163500
2015-04-09,87.690002,87.690002,88.459999,86.620003,88.019997,WDAY,991400
2015-04-10,88.699997,88.699997,89.650002,87.660004,87.910004,WDAY,861300
2015-04-13,87.269997,87.269997,89.57,87.160004,88.400002,WDAY,1706900
2015-04-14,86.379997,86.379997,87.400002,84.949997,87.25,WDAY,1120100
2015-04-15,88.18,88.18,88.510002,85.160004,87.110001,WDAY,1345700
2015-04-16,89.720001,89.720001,90.290001,88.300003,88.300003,WDAY,1737000
2015-04-17,84.370003,84.370003,88.129997,84.169998,87.669998,WDAY,3560700
2015-04-20,86.110001,86.110001,86.290001,84.209999,85.00,WDAY,1677500
2015-04-21,86.019997,86.019997,87.50,85.830002,86.57,WDAY,951700
2015-04-22,87.589996,87.589996,87.669998,85.440002,85.900002,WDAY,1055800
2015-04-23,87.900002,87.900002,88.699997,85.639999,86.760002,WDAY,904800
2015-04-24,88.529999,88.529999,89.410004,87.790001,88.459999,WDAY,819900
2015-04-27,87.769997,87.769997,89.519997,87.650002,88.599998,WDAY,617500
2015-04-28,86.639999,86.639999,88.400002,86.25,87.919998,WDAY,885700
2015-04-29,90.220001,90.220001,92.50,85.800003,86.150002,WDAY,3585200
2015-04-30,91.209999,91.209999,91.330002,88.959999,89.050003,WDAY,1680200
2015-05-01,89.5,89.50,91.870003,88.82,91.209999,WDAY,1160500
2015-05-04,90.739998,90.739998,91.449997,89.370003,89.489998,WDAY,753900
2015-05-05,90.07,90.07,92.480003,89.059998,90.139999,WDAY,1665400
2015-05-06,90.480003,90.480003,91.300003,88.940002,89.970001,WDAY,1111400
2015-05-07,89.68,89.68,90.230003,87.690002,90.230003,WDAY,1425400
2015-05-08,89.510002,89.510002,91.220001,89.379997,90.260002,WDAY,611100
2015-05-11,90.260002,90.260002,90.480003,89.290001,89.599998,WDAY,708900
2015-05-12,88.410004,88.410004,89.589996,87.599998,89.480003,WDAY,1106900
2015-05-13,89.190002,89.190002,89.959999,88.410004,88.900002,WDAY,868400
2015-05-14,90.849998,90.849998,91.919998,88.300003,89.510002,WDAY,2248400
2015-05-15,90.080002,90.080002,90.779999,89.550003,90.290001,WDAY,955700
2015-05-18,91.900002,91.900002,92.360001,90.059998,90.25,WDAY,1186600
2015-05-19,90.650002,90.650002,92.50,90.540001,91.769997,WDAY,924900
2015-05-20,90.43,90.43,92.00,88.809998,92.00,WDAY,1637800
2015-05-21,91.82,91.82,92.290001,89.709999,91.690002,WDAY,1268000
2015-05-22,92.18,92.18,92.720001,91.010002,91.699997,WDAY,1458000
2015-05-26,92.489998,92.489998,93.620003,91.519997,91.669998,WDAY,4304200
2015-05-27,82.0,82.00,85.00,81.139999,84.029999,WDAY,9324300
2015-05-28,80.139999,80.139999,82.639999,79.699997,82.209999,WDAY,4362000
2015-05-29,78.919998,78.919998,80.019997,78.459999,79.889999,WDAY,3061100
2015-06-01,79.089996,79.089996,79.540001,78.239998,79.089996,WDAY,2007800
2015-06-02,79.800003,79.800003,80.739998,78.68,79.610001,WDAY,2205300
2015-06-03,80.650002,80.650002,80.989998,78.559998,79.50,WDAY,2248400
2015-06-04,78.209999,78.209999,80.279999,77.800003,79.970001,WDAY,1983400
2015-06-05,79.379997,79.379997,79.580002,77.50,78.620003,WDAY,1320000
2015-06-08,78.040001,78.040001,79.379997,77.18,79.269997,WDAY,1313700
2015-06-09,78.129997,78.129997,78.360001,77.050003,78.169998,WDAY,896900
2015-06-10,79.599998,79.599998,79.720001,78.139999,78.32,WDAY,1793000
2015-06-11,80.059998,80.059998,80.489998,79.339996,79.989998,WDAY,1507800
2015-06-12,79.629997,79.629997,80.010002,79.029999,79.910004,WDAY,1495900
2015-06-15,79.57,79.57,79.690002,78.029999,78.849998,WDAY,712000
2015-06-16,78.989998,78.989998,79.910004,78.50,79.32,WDAY,669100
2015-06-17,79.099998,79.099998,79.50,78.620003,79.50,WDAY,900100
2015-06-18,80.470001,80.470001,80.510002,78.739998,78.959999,WDAY,1079900
2015-06-19,79.970001,79.970001,80.480003,79.510002,80.480003,WDAY,1124700
2015-06-22,80.349998,80.349998,81.029999,80.099998,80.370003,WDAY,913000
2015-06-23,81.459999,81.459999,81.540001,80.150002,80.57,WDAY,1050200
2015-06-24,79.199997,79.199997,81.510002,78.639999,81.199997,WDAY,1113400
2015-06-25,79.540001,79.540001,80.230003,79.139999,79.360001,WDAY,710300
2015-06-26,78.599998,78.599998,79.739998,77.970001,79.739998,WDAY,1290300
2015-06-29,76.309998,76.309998,78.080002,76.110001,77.489998,WDAY,1175800
2015-06-30,76.389999,76.389999,77.269997,75.699997,77.150002,WDAY,1077500
2015-07-01,75.900002,75.900002,77.510002,75.230003,76.959999,WDAY,1277000
2015-07-02,75.790001,75.790001,76.18,75.160004,75.800003,WDAY,821600
2015-07-06,76.68,76.68,76.809998,74.260002,75.099998,WDAY,1554100
2015-07-07,77.650002,77.650002,78.18,75.43,76.559998,WDAY,1473200
2015-07-08,76.830002,76.830002,77.709999,76.330002,76.900002,WDAY,1101200
2015-07-09,77.959999,77.959999,79.230003,77.419998,78.300003,WDAY,1292900
2015-07-10,79.519997,79.519997,79.889999,78.709999,78.779999,WDAY,1381200
2015-07-13,79.269997,79.269997,80.379997,78.860001,79.910004,WDAY,1192900
2015-07-14,82.18,82.18,82.970001,79.959999,80.080002,WDAY,1974900
2015-07-15,83.209999,83.209999,83.519997,81.580002,82.190002,WDAY,2187900
2015-07-16,84.449997,84.449997,84.769997,83.220001,83.25,WDAY,2261400
2015-07-17,84.699997,84.699997,84.959999,83.900002,84.699997,WDAY,2465300
2015-07-20,84.599998,84.599998,85.25,83.989998,84.760002,WDAY,944700
2015-07-21,84.769997,84.769997,84.989998,83.370003,84.589996,WDAY,935600
2015-07-22,83.989998,83.989998,84.860001,83.870003,84.580002,WDAY,644000
2015-07-23,83.019997,83.019997,84.32,82.50,84.00,WDAY,1091000
2015-07-24,82.589996,82.589996,83.959999,82.510002,83.410004,WDAY,1092700
2015-07-27,81.080002,81.080002,82.57,80.099998,81.989998,WDAY,1409000
2015-07-28,83.150002,83.150002,83.400002,79.589996,81.559998,WDAY,1296100
2015-07-29,83.389999,83.389999,83.529999,80.879997,82.00,WDAY,1196100
2015-07-30,83.75,83.75,83.790001,82.279999,83.269997,WDAY,653100
2015-07-31,84.330002,84.330002,84.419998,83.32,83.480003,WDAY,965500
2015-08-03,84.0,84.00,84.470001,83.120003,84.269997,WDAY,652500
2015-08-04,82.800003,82.800003,84.370003,82.720001,83.769997,WDAY,830600
2015-08-05,83.400002,83.400002,84.639999,83.32,83.779999,WDAY,895700
2015-08-06,81.919998,81.919998,83.989998,80.760002,83.519997,WDAY,768100
2015-08-07,82.510002,82.510002,83.089996,81.379997,81.870003,WDAY,664100
2015-08-10,83.25,83.25,83.639999,82.440002,82.870003,WDAY,520500
2015-08-11,83.059998,83.059998,84.540001,82.309998,82.410004,WDAY,918600
2015-08-12,82.959999,82.959999,83.360001,80.519997,82.610001,WDAY,1148700
2015-08-13,82.260002,82.260002,83.779999,82.169998,83.099998,WDAY,584500
2015-08-14,84.18,84.18,84.589996,82.050003,82.120003,WDAY,1228600
2015-08-17,84.800003,84.800003,84.839996,83.230003,83.589996,WDAY,764200
2015-08-18,82.580002,82.580002,84.800003,82.459999,84.07,WDAY,966900
2015-08-19,82.379997,82.379997,83.470001,81.010002,82.309998,WDAY,826200
2015-08-20,77.019997,77.019997,82.160004,76.959999,81.709999,WDAY,2194200
2015-08-21,71.839996,71.839996,75.379997,71.269997,74.550003,WDAY,4094900
2015-08-24,69.339996,69.339996,70.339996,65.330002,65.839996,WDAY,4423500
2015-08-25,70.019997,70.019997,73.540001,70.019997,72.50,WDAY,1924000
2015-08-26,72.400002,72.400002,72.639999,69.660004,71.739998,WDAY,3391800
2015-08-27,75.370003,75.370003,76.580002,71.489998,71.849998,WDAY,7361100
2015-08-28,72.760002,72.760002,75.00,72.220001,75.00,WDAY,2338300
2015-08-31,70.260002,70.260002,72.779999,69.970001,72.620003,WDAY,2103100
2015-09-01,69.589996,69.589996,70.870003,68.730003,68.860001,WDAY,2337300
2015-09-02,71.110001,71.110001,71.57,69.339996,70.50,WDAY,1605300
2015-09-03,71.690002,71.690002,72.970001,71.07,71.540001,WDAY,1015300
2015-09-04,70.089996,70.089996,70.769997,69.940002,70.629997,WDAY,1075400
2015-09-08,71.769997,71.769997,72.139999,70.309998,71.18,WDAY,1485600
2015-09-09,70.269997,70.269997,72.650002,70.010002,72.260002,WDAY,1097600
2015-09-10,70.160004,70.160004,70.769997,69.379997,69.949997,WDAY,1348800
2015-09-11,71.360001,71.360001,71.389999,70.089996,70.559998,WDAY,1068000
2015-09-14,69.870003,69.870003,71.379997,69.550003,71.279999,WDAY,974500
2015-09-15,70.669998,70.669998,71.330002,69.720001,70.139999,WDAY,1326200
2015-09-16,71.959999,71.959999,72.339996,70.510002,70.800003,WDAY,1159800
2015-09-17,72.019997,72.019997,73.269997,71.059998,71.610001,WDAY,1380400
2015-09-18,73.489998,73.489998,73.709999,71.050003,71.220001,WDAY,1719300
2015-09-21,73.18,73.18,74.379997,72.650002,74.099998,WDAY,1408400
2015-09-22,72.889999,72.889999,73.129997,71.68,72.699997,WDAY,1190300
2015-09-23,72.629997,72.629997,73.370003,71.75,72.68,WDAY,844700
2015-09-24,72.489998,72.489998,72.550003,70.370003,71.959999,WDAY,1406200
2015-09-25,72.57,72.57,74.230003,71.669998,73.230003,WDAY,1763600
2015-09-28,70.550003,70.550003,72.510002,69.870003,71.809998,WDAY,1721100
2015-09-29,70.699997,70.699997,71.540001,68.769997,70.25,WDAY,2008500
2015-09-30,68.860001,68.860001,71.190002,66.360001,69.870003,WDAY,4206800
2015-10-01,72.199997,72.199997,72.290001,69.330002,69.510002,WDAY,3420500
2015-10-02,74.089996,74.089996,74.769997,69.769997,70.949997,WDAY,2431000
2015-10-05,75.5,75.50,76.459999,73.839996,74.300003,WDAY,1914400
2015-10-06,74.849998,74.849998,75.989998,74.160004,75.639999,WDAY,1129800
2015-10-07,76.360001,76.360001,76.389999,74.25,75.389999,WDAY,1006500
2015-10-08,75.860001,75.860001,76.199997,73.839996,76.059998,WDAY,1985700
2015-10-09,77.57,77.57,77.690002,75.760002,76.239998,WDAY,1046000
2015-10-12,77.510002,77.510002,78.370003,77.099998,77.519997,WDAY,804200
2015-10-13,76.5,76.50,78.620003,76.410004,77.550003,WDAY,1233300
2015-10-14,74.93,74.93,76.900002,74.75,76.349998,WDAY,851400
2015-10-15,77.290001,77.290001,77.790001,74.760002,75.099998,WDAY,1996300
2015-10-16,78.690002,78.690002,78.779999,77.160004,77.669998,WDAY,690200
2015-10-19,78.529999,78.529999,79.400002,77.82,78.440002,WDAY,860300
2015-10-20,79.879997,79.879997,79.949997,78.18,79.019997,WDAY,1546000
2015-10-21,78.230003,78.230003,79.989998,77.309998,79.370003,WDAY,1824000
2015-10-22,79.889999,79.889999,81.029999,78.269997,78.510002,WDAY,1780700
2015-10-23,79.849998,79.849998,81.150002,78.150002,81.150002,WDAY,1818600
2015-10-26,78.949997,78.949997,80.220001,78.400002,79.910004,WDAY,1099500
2015-10-27,77.199997,77.199997,78.919998,76.75,78.790001,WDAY,976600
2015-10-28,78.800003,78.800003,78.809998,76.639999,77.57,WDAY,1381100
2015-10-29,78.449997,78.449997,79.080002,77.959999,78.919998,WDAY,520400
2015-10-30,78.970001,78.970001,79.839996,77.870003,78.75,WDAY,767500
2015-11-02,81.349998,81.349998,81.599998,78.82,79.480003,WDAY,1066300
2015-11-03,80.209999,80.209999,81.459999,80.040001,80.889999,WDAY,1151400
2015-11-04,80.25,80.25,81.389999,79.989998,80.400002,WDAY,712800
2015-11-05,78.57,78.57,80.529999,77.900002,80.089996,WDAY,1448100
2015-11-06,82.18,82.18,82.230003,78.510002,79.07,WDAY,1086900
2015-11-09,81.540001,81.540001,82.260002,80.239998,81.860001,WDAY,915300
2015-11-10,81.519997,81.519997,81.989998,80.309998,81.019997,WDAY,851600
2015-11-11,82.0,82.00,82.400002,81.059998,81.75,WDAY,961800
2015-11-12,81.919998,81.919998,82.949997,81.230003,81.470001,WDAY,911600
2015-11-13,78.910004,78.910004,81.870003,78.779999,81.870003,WDAY,1971400
2015-11-16,80.589996,80.589996,80.709999,78.589996,79.18,WDAY,1760900
2015-11-17,80.93,80.93,80.989998,79.010002,80.68,WDAY,1166500
2015-11-18,83.68,83.68,83.879997,81.029999,81.150002,WDAY,2450700
2015-11-19,84.300003,84.300003,85.669998,83.199997,83.93,WDAY,3346000
2015-11-20,83.110001,83.110001,83.82,78.07,78.440002,WDAY,4416000
2015-11-23,80.480003,80.480003,82.50,80.209999,82.440002,WDAY,1753200
