Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,18.370001,18.370001,18.440001,17.780001,18.02,YNDX,2384500
2015-01-05,17.41,17.41,18.43,17.290001,18.389999,YNDX,2430300
2015-01-06,17.530001,17.530001,17.870001,17.18,17.370001,YNDX,1904500
2015-01-07,17.370001,17.370001,17.870001,17.33,17.790001,YNDX,1471300
2015-01-08,18.42,18.42,18.93,17.68,17.68,YNDX,3764200
2015-01-09,18.24,18.24,18.459999,17.809999,18.02,YNDX,1974000
2015-01-12,17.66,17.66,18.030001,17.309999,17.940001,YNDX,2476700
2015-01-13,17.68,17.68,17.83,17.200001,17.26,YNDX,2167900
2015-01-14,18.4,18.40,18.43,17.280001,17.299999,YNDX,2547500
2015-01-15,17.719999,17.719999,18.639999,17.66,18.549999,YNDX,2559400
2015-01-16,17.969999,17.969999,18.059999,17.610001,17.65,YNDX,1783800
2015-01-20,16.41,16.41,17.389999,16.299999,17.24,YNDX,4744300
2015-01-21,16.51,16.51,17.09,16.41,16.41,YNDX,2800800
2015-01-22,17.459999,17.459999,17.530001,16.85,16.950001,YNDX,2651300
2015-01-23,17.190001,17.190001,17.57,17.059999,17.57,YNDX,1472900
2015-01-26,16.25,16.25,17.139999,16.10,16.969999,YNDX,3122600
2015-01-27,16.209999,16.209999,16.49,16.15,16.370001,YNDX,2673000
2015-01-28,15.41,15.41,16.25,15.36,16.120001,YNDX,3372100
2015-01-29,15.44,15.44,15.68,15.02,15.66,YNDX,2388800
2015-01-30,14.89,14.89,15.17,14.76,15.00,YNDX,2947100
2015-02-02,14.91,14.91,15.04,14.14,14.95,YNDX,6028400
2015-02-03,15.63,15.63,15.63,14.87,15.30,YNDX,5866800
2015-02-04,15.42,15.42,15.81,15.19,15.39,YNDX,3364200
2015-02-05,16.24,16.24,16.629999,15.61,15.61,YNDX,5055400
2015-02-06,16.120001,16.120001,16.66,16.01,16.66,YNDX,2094500
2015-02-09,15.87,15.87,16.530001,15.87,16.360001,YNDX,3187600
2015-02-10,15.73,15.73,16.15,15.53,16.049999,YNDX,2663400
2015-02-11,16.0,16.00,16.139999,15.24,15.84,YNDX,5330800
2015-02-12,16.41,16.41,17.049999,16.25,16.959999,YNDX,3752600
2015-02-13,17.0,17.00,17.639999,16.82,16.889999,YNDX,4459900
2015-02-17,16.65,16.65,17.40,16.139999,17.18,YNDX,4693100
2015-02-18,16.85,16.85,18.25,16.76,17.99,YNDX,9468300
2015-02-19,16.870001,16.870001,17.32,16.34,16.809999,YNDX,2974100
2015-02-20,17.01,17.01,17.07,16.66,16.85,YNDX,2133900
2015-02-23,16.25,16.25,16.889999,16.030001,16.780001,YNDX,4775600
2015-02-24,16.35,16.35,16.450001,16.26,16.360001,YNDX,2207300
2015-02-25,16.370001,16.370001,16.51,16.200001,16.450001,YNDX,2181300
2015-02-26,16.540001,16.540001,16.709999,16.42,16.59,YNDX,3551200
2015-02-27,16.450001,16.450001,16.59,16.059999,16.50,YNDX,2252300
2015-03-02,16.02,16.02,16.299999,15.76,16.299999,YNDX,2518400
2015-03-03,15.95,15.95,16.27,15.90,16.059999,YNDX,2298500
2015-03-04,15.76,15.76,16.08,15.66,15.94,YNDX,3580900
2015-03-05,15.48,15.48,15.99,15.40,15.88,YNDX,2998100
2015-03-06,15.13,15.13,15.68,15.12,15.43,YNDX,4034000
2015-03-09,14.68,14.68,15.32,14.61,15.10,YNDX,2890700
2015-03-10,14.12,14.12,14.55,13.95,14.47,YNDX,4385700
2015-03-11,14.5,14.50,14.51,13.90,14.30,YNDX,3532600
2015-03-12,14.53,14.53,14.66,14.40,14.53,YNDX,1998500
2015-03-13,14.68,14.68,14.80,14.12,14.40,YNDX,3124800
2015-03-16,14.21,14.21,14.51,13.96,14.50,YNDX,2407600
2015-03-17,14.49,14.49,14.51,14.05,14.10,YNDX,1648100
2015-03-18,14.49,14.49,14.63,14.16,14.53,YNDX,5380400
2015-03-19,14.46,14.46,14.57,14.18,14.33,YNDX,2964700
2015-03-20,14.63,14.63,14.96,14.39,14.58,YNDX,3462200
2015-03-23,14.74,14.74,15.16,14.60,14.80,YNDX,3098100
2015-03-24,15.27,15.27,15.32,14.71,15.01,YNDX,3679700
2015-03-25,15.27,15.27,15.50,15.15,15.34,YNDX,4964800
2015-03-26,15.19,15.19,15.63,14.94,15.39,YNDX,3883000
2015-03-27,15.45,15.45,15.48,15.09,15.14,YNDX,2849900
2015-03-30,15.3,15.30,15.64,15.13,15.50,YNDX,1986400
2015-03-31,15.17,15.17,15.41,15.05,15.25,YNDX,1692200
2015-04-01,15.77,15.77,15.78,15.17,15.27,YNDX,3056500
2015-04-02,16.24,16.24,16.68,15.66,15.91,YNDX,7212500
2015-04-06,17.18,17.18,17.379999,16.309999,16.48,YNDX,4896200
2015-04-07,17.02,17.02,17.41,16.92,17.25,YNDX,2532700
2015-04-08,17.48,17.48,17.83,17.08,17.200001,YNDX,3215400
