Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,24.57,24.57,24.77,24.110001,24.43,ZEN,304100
2015-01-05,24.059999,24.059999,24.50,23.309999,24.370001,ZEN,374500
2015-01-06,24.52,24.52,24.672001,23.799999,24.209999,ZEN,331600
2015-01-07,24.52,24.52,24.99,24.305,24.75,ZEN,225800
2015-01-08,25.0,25.00,25.67,24.42,24.690001,ZEN,760000
2015-01-09,25.15,25.15,25.360001,24.75,24.99,ZEN,394900
2015-01-12,24.58,24.58,25.40,24.125,25.139999,ZEN,409600
2015-01-13,24.84,24.84,25.49,24.459999,24.709999,ZEN,333700
2015-01-14,24.950001,24.950001,25.00,24.440001,24.59,ZEN,105500
2015-01-15,24.52,24.52,25.10,24.219999,25.00,ZEN,341000
2015-01-16,24.58,24.58,24.75,24.48,24.50,ZEN,153100
2015-01-20,24.23,24.23,24.719999,23.68,24.709999,ZEN,444800
2015-01-21,24.360001,24.360001,24.639999,24.00,24.17,ZEN,148900
2015-01-22,24.75,24.75,24.92,24.049999,24.549999,ZEN,148100
2015-01-23,25.92,25.92,26.00,24.41,24.809999,ZEN,387900
2015-01-26,24.459999,24.459999,25.799999,24.00,25.629999,ZEN,635600
2015-01-27,24.370001,24.370001,25.120001,23.799999,24.08,ZEN,356200
2015-01-28,24.049999,24.049999,24.74,23.889999,24.469999,ZEN,228900
2015-01-29,25.030001,25.030001,25.059999,23.90,24.10,ZEN,210900
2015-01-30,24.190001,24.190001,25.15,24.10,24.91,ZEN,164600
2015-02-02,23.450001,23.450001,24.299999,22.84,24.299999,ZEN,367400
2015-02-03,23.48,23.48,23.700001,23.075001,23.42,ZEN,191200
2015-02-04,23.99,23.99,23.99,23.129999,23.299999,ZEN,104000
2015-02-05,24.77,24.77,24.889999,23.719999,23.809999,ZEN,184200
2015-02-06,26.08,26.08,26.08,24.790001,24.83,ZEN,396200
2015-02-09,25.389999,25.389999,25.969999,24.809999,25.969999,ZEN,595300
2015-02-10,25.82,25.82,25.93,24.92,25.469999,ZEN,406400
2015-02-11,25.389999,25.389999,26.370001,24.93,25.98,ZEN,705100
2015-02-12,24.360001,24.360001,26.35,22.24,25.959999,ZEN,1620300
2015-02-13,25.379999,25.379999,25.42,23.73,24.08,ZEN,574800
2015-02-17,24.26,24.26,25.219999,24.059999,24.91,ZEN,576100
2015-02-18,23.76,23.76,24.16,23.08,24.16,ZEN,523600
2015-02-19,24.1,24.10,24.209999,22.735001,23.559999,ZEN,606300
2015-02-20,24.26,24.26,24.379999,23.809999,24.10,ZEN,323900
2015-02-23,24.08,24.08,24.26,23.785,24.190001,ZEN,418400
2015-02-24,24.120001,24.120001,24.26,23.805,24.07,ZEN,232800
