Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2015-01-02,2.73,2.73,2.73,2.65,2.70,ZNGA,12579300
2015-01-05,2.71,2.71,2.74,2.66,2.70,ZNGA,15018900
2015-01-06,2.7,2.70,2.72,2.61,2.71,ZNGA,14935300
2015-01-07,2.68,2.68,2.75,2.63,2.70,ZNGA,13291600
2015-01-08,2.58,2.58,2.71,2.58,2.68,ZNGA,11770800
2015-01-09,2.64,2.64,2.65,2.55,2.60,ZNGA,10639100
2015-01-12,2.62,2.62,2.62,2.52,2.61,ZNGA,12885800
2015-01-13,2.56,2.56,2.62,2.50,2.60,ZNGA,9970600
2015-01-14,2.6,2.60,2.60,2.48,2.52,ZNGA,9016800
2015-01-15,2.59,2.59,2.62,2.50,2.61,ZNGA,14211100
2015-01-16,2.61,2.61,2.66,2.54,2.55,ZNGA,19408200
2015-01-20,2.63,2.63,2.67,2.58,2.61,ZNGA,19775000
2015-01-21,2.59,2.59,2.63,2.53,2.61,ZNGA,15947900
2015-01-22,2.62,2.62,2.68,2.56,2.60,ZNGA,8082500
2015-01-23,2.73,2.73,2.77,2.62,2.62,ZNGA,11472200
2015-01-26,2.67,2.67,2.76,2.65,2.72,ZNGA,7695000
2015-01-27,2.66,2.66,2.69,2.64,2.65,ZNGA,5742500
2015-01-28,2.58,2.58,2.68,2.57,2.68,ZNGA,8391500
2015-01-29,2.58,2.58,2.63,2.52,2.55,ZNGA,9042800
2015-01-30,2.56,2.56,2.62,2.54,2.56,ZNGA,6233500
2015-02-02,2.57,2.57,2.59,2.54,2.56,ZNGA,8432400
2015-02-03,2.59,2.59,2.63,2.56,2.59,ZNGA,11381400
2015-02-04,2.58,2.58,2.62,2.55,2.62,ZNGA,6932900
2015-02-05,2.64,2.64,2.69,2.60,2.60,ZNGA,9808500
2015-02-06,2.74,2.74,2.78,2.64,2.65,ZNGA,13753400
2015-02-09,2.75,2.75,2.79,2.71,2.75,ZNGA,12017300
2015-02-10,2.8,2.80,2.84,2.73,2.76,ZNGA,11796400
2015-02-11,2.81,2.81,2.87,2.78,2.81,ZNGA,14431900
2015-02-12,2.66,2.66,2.80,2.63,2.80,ZNGA,55525900
2015-02-13,2.24,2.24,2.32,2.20,2.27,ZNGA,92440300
2015-02-17,2.32,2.32,2.37,2.24,2.25,ZNGA,26153000
2015-02-18,2.31,2.31,2.36,2.27,2.35,ZNGA,14900300
2015-02-19,2.32,2.32,2.32,2.24,2.28,ZNGA,17030400
2015-02-20,2.32,2.32,2.33,2.29,2.29,ZNGA,14781600
2015-02-23,2.32,2.32,2.33,2.29,2.30,ZNGA,10195100
2015-02-24,2.32,2.32,2.32,2.28,2.29,ZNGA,9213900
2015-02-25,2.33,2.33,2.35,2.30,2.30,ZNGA,12564100
2015-02-26,2.31,2.31,2.36,2.28,2.35,ZNGA,27700300
2015-02-27,2.3,2.30,2.32,2.27,2.30,ZNGA,13032800
2015-03-02,2.32,2.32,2.33,2.28,2.29,ZNGA,9748500
2015-03-03,2.35,2.35,2.39,2.30,2.34,ZNGA,24959500
2015-03-04,2.39,2.39,2.41,2.33,2.34,ZNGA,24448100
2015-03-05,2.41,2.41,2.44,2.38,2.41,ZNGA,13435800
2015-03-06,2.54,2.54,2.60,2.39,2.40,ZNGA,25639800
2015-03-09,2.54,2.54,2.59,2.48,2.53,ZNGA,13921800
2015-03-10,2.55,2.55,2.56,2.48,2.52,ZNGA,9761000
2015-03-11,2.61,2.61,2.63,2.51,2.56,ZNGA,17064800
2015-03-12,2.68,2.68,2.72,2.59,2.60,ZNGA,25108000
2015-03-13,2.59,2.59,2.72,2.56,2.70,ZNGA,28979500
